all: pɪrɪr
ashes: gɪlɪmɪt
bark: gora
belly: keɛna
big: makájo
bird: lɪkɪdiŋ
bite: kauwa
black: mušč
blood: biǯi
bone: emenan
breast: owɛti
burn: ayige
cloud: balu
cold: lale
come: punši
die: arše
dog: oréša
drink: kodíyo
dry: kile
ear: wɪna
eat: amši
egg: kogološ
eye: keberi
father: manyu
fat (n.): muri
fire: go
fish: ulugut
foot: šo(wa)
give: šo
good: robo
hair: emeta
hand: aši
head: owa
hear: šɪkéyo
I: aneta
kill: rukuši
knee: kušuŋat
know: kogae
leaf: aten
liver: nyoyeti
long: uno
louse: enya
man: et
many: mɪlti
meat: ɪdiŋ
moon: nyiluk
mountain: gulǯeni
mouth: utuk
neck: onyi
night: baln
rain: ǯin
red: bire
road: giluːn
say: kɛdɛm
seed: kɛbere
see: šoríyo
sit: afi a luatan
skin: rušiétɪt
sleep: oŋši
small: kidičo
smoke: šɪlui
snake: kokiat
stand: tiŋaǯin
star: munyit
stone: bea
sun: koro
swim: ereši
tail: tušɛne
thou: ineta
thou: ola
tongue: akat
tooth: nyɪgɪtat
tree: kɛta
walk: kokoyi
warm: abure
water: mam
we: agi
what: ninu
white: ǯoše
who: ŋane
woman: agi
