all: oken.gameiwa
arm: ankang
arm: kau-ita
back: bironi
back: bíroni
bad: oraka
bad: oraki
bark: ropa
belly: kede
big: maina
big: paŋkai
big: pankái
bird: barenkeu
bird: mareːki
bird: nintana-amba
black: buri
black: kakau
black: kakáu
blood: erena
bone: make
bone: máke
branch: kan.gu
breast: bu
breast: bu
breast: bu-u
brother: mari
brother: nara
burn: batampantsi
burn: taimui
chest: kumukumu
chest: kumukumu
child: toto
cloud: tubeitubei
cold: bóimpu
come: pua
count: daːruantsi
crocodile: area
crocodile: aréa
cut: napu
dance: bento
day: donanga
day: uaːki
day: uáki
die: boːpantsi
dog: mosi
drink: nai
ear: domu
ear: kame
ear: káme
earth: ma
earth: meto
eat: tamatama
elbow: sikumasu
elbow: tikumaːki
elbow: tukúmaki
eye: ampang
eye: ampaŋ
eye: uta
eye: uta
eye: úta
face: uta
face: úta
far: inchipo
father: uma
fear: auropantsi
feather: kove
finger: bireng
finger: kakotsi
fingernail: tanga
fire: nta
fish: ta
fish: ta
five: panoko
five: panoko
five: panoko
flower: titi
flower: títi
fly (v.): puranantsi
foot: paŋkiri
foot: pankíri
forehead: kakapi
forehead: kakápi
forest: botang
forest: botáng
forest: botaŋ
four: kairo
four: kairo
four: kairo
fruit: tinang
fruit: tinaŋ
give: avantsi
give: awampa
good: dasina
good: datina
good: datina
grass: muinchi
green: kapiaka
green: kapíaka
hair: ipi
hand: koma
head: borei
hear: lug-
hear: taramba
heart: domang
heavy: manki
here: ena
he/she: ang
he/she: aŋ
he/she: aŋ
he/she: aŋ
he/she: aŋ
he/she: aug
he/she: auŋ
he/she: auŋ
he/she: auŋ
he/she: auŋ
he/she: ba-
he/she: bakana
he/she: bakana
hit: tango
house: paba
how: arere
husband: inung
I: n-
I: (ŋ)kana
I: ning
I: niŋ
I: niŋ
kill: ta
knee: poku
know: taná-
know: tana\antsi
leaf: bara
leaf: bára
leaf: panta
leg: paŋkiri
leg: pankirina
lie: toboro
lightning: piping
lip: muring
liver: nuna
long: insíaka
long: intsiaka
long: intsiaka
long: unsiaki
louse: maumo
louse: panchi
louse: pánsi
louse: pantsi
many: pankareng
moon: itau
moon: itau
moon: iːtau
mosquito: tamuka
mother: ungo
mouth: karang
name: ming
name: miŋ
navel: piokang
near: ipo
near: ipo
neck: kurupati
neck: kurúpati
neck: tunehi
new: nemanu
new: nera\aka
new: nera\aka
new: neráaka
new: neráaka
night: kamuːna
night: kamúna
night: máumo
night: muntey
nose: keni
nose: kéni
not: deːva
not: etoa
old: pankara
old: uriaka
old: uríaka
old: uriaki
one: nara
one: nara
one: nari
person: naniŋ
person: naning/nantáng
rain: mutu
rain: mutu
rain: mutu
rat: utukai
red: korei
river: bóre
river: untongoravuka
root: kakeng
say: tiró-ansi
sea: keːno
sea: kéno
sea: tonu
sea: toːnu
seed: dupumau
short: apuaka
short: apúaka
short: apuaki
shoulder: pau
sing: kobi
sister: marina
skin: lopa
sleep: asi
small: baiaka
small: báiaka
small: baiya
smoke: ita
smoke: ita
smoke: íta
smoke: l-i
smooth: pisikaːra
snake: baki
snake: baki
snake: báki
spit: tutupei
stand: teitoa
star: bento
stone: manto
stone: manto
stone: manto
sun: doŋke
sun: donke
sun: dónke
tail: baːmpu
tail: bámpu
tail: tuti
tail: túti
take: da\antsi
take: larompeng
that: ta
that: tevaŋ
they: avang
they: avaŋ
they: avaŋ
they: bä-
they: bɛːkana
they two: ainta
they two: ainta
they two: ainta
they two: ainta
they two: ainta
they two: bɛːkana
they two: bɛːkana
this: auŋ
this: avaŋ
thou: da
thou: da
thou: da
thou: da-
thou: daː
thou: daː
thou: dakana
thou: daːkana
three: baro
three: bero
three: bɛːro
thunder: kurung
today: ena
today: eːna
tomorrow: ora
tongue: mane-ng
tongue: manɛŋ
tongue: mene
tooth: sidai
tooth: tidai
tooth: tidái
tree: kai
tree: kai
tree: kai
two: keinta
two: keinta
two: kiamnka
vagina: si
walk: beba
walk: mei
walk: minto
wash: uːmari
wash: uːpantsi
water: boːre
water: ntong
water: ntoŋ
water: untong
we (incl.): niː
we (incl.): niː
we (incl.): niː
we (incl.): niː
we: ni
we: ni-
we: niːkana
we two (incl.): naː
we two (incl.): naː
we two (incl.): naː
we two (incl.): naː
we two (incl.): nɛːkana
we two: na
what: are-ra
when: arevai
white: kakata
who: ba
wife: -nan
wife: nang
wind: piong
woman: maniku-ma
wood: dutanu
wood: kai
worm: baki
yellow: keriau
yesterday: maːka
you: da
you: da-
you two: da
you two: daː
you two: daː
you two: daː
you two: daː
you two: dɛːkana
you two: dɛːkana
