belly: poṭṭā
big: daṛyā
bite: xassnā
burn: ercernā
claw: orx
cold: ar-
come: barnā
die: khēʔenā
drink: ōnnā
earth: nāl
ear: xebdā
eat: tindnā
eye: xann
fire: cicc
full(ness): nīnd-
give: ciʔinā
hand: xekkhā
hear: mennā
I: ēn
louse: pēn
man: āl
mouth: baī
name: pinˊjnā
new: punā
nose: muī
one: ōn
one: ort
red: xēso
road: pāb
say: ānnā
seed: goṭā
see: xannā
short: guḍ-
sleep: xandrnā
stand: ilnā
that: a-
thin: ācā
this: īs
thou: nīn
tooth: pall
tree: mann
two: irb
walk: ēknā
we (excl.): ēm
we (incl.): nām
what: endr
white: bilcnā
who: nē
woman: ālī
worm: pocgō
