all: parikə
and: mə
animal: vəvaguəi
ashes: kəbu
back: muru-
bad: kainə
bark: pəl-ə-dəvai
because: təgo
belly: bəla-
bird: beo
bite: kərət
black: koroŋ
blood: gap
blow: vuvu
bone: ur
breast: ū-
breathe: vuvu
burn: tun
child: bul
cloud: bэkut
cold: mədoldol
come: pot
correct: ta-kodo
count: luk
cut: poko
die: mat
dig: kəl
dirty: dur
dog: pap
drink: momo
dry: ge
dull: bot
dust: tobon
ear: təliŋə-
earth: piə
empty: pobono
eye: məta-
fall: minruŋ
far: vəilik
father: təma-
fat (n.): birə
fear: b-un-urut
few: pəupau
fingernail: konuku
fire: iap
fish: en
five: ilimə
float: əlir
flow: əlir
flower: pupū-nə
fly (v.): pururuŋ
fog: gavul
foot: kau-
forest: pui
four: ivat
frog: rokrok
fruit: vuəi
full: bukэ
give: tər
good: boinə
grass: vurə
green: limut
guts: vinau-na-bəla-
guts: vinau-na-bəla-
hair: pepe-nə-ulu-
hand: lima-
head: ulu-
heart: nəwa βūḳ
hear: valoŋor
heavy: məmət
he: īə
hit:  lubə
horn: iti-
how: dave
hunt: rov-e
husband: təulai
ice: [ais]
if: ona
I: iau
in: tə rə  bəla-nə-
kill: doko
knee: buk-na-kake-
know: nunur-e
lake: tavə kikil
large: ŋalə
laugh: noŋon
leaf: məpinai
left: mairƏ
leg: kake-
lie:  ko nuk vā
live: Iəun
liver: kati-
long: lolovinə
louse: ut
man: tutanə
many: peal
meat: vio-
moon: gai
mother: tina-
mountain: buanə
mouth: ŋie-
name: iəŋ
narrow: irivo
near: mərəvai
neck: inoa-
new: kэlэmanэ
night: marum
nose: biləu-
old:  məulanə
one: tikai
person: vərə-gunən
play: libur
pull: əl
push: tulən
rain: batə
red: meme
right: limətunə
river: təvə- nə-əlir
road: [rot]
root: okor
rope: vinau
rotten: mərut
round: kikil
rub: u
salt: tā
sand: veo
say: biti
sea: tā
sea: tā
seed: patinə
sew: iŋit
sharp: maŋi
short: tutukanə
sing: kəil-e
sit: ki
skin: pali-
sky: bələ-nə-bəkut
sleep: və-mat
small: ikilik
smell: aŋine
smoke: mi
smooth: dəmiə
snake: vui
snow: [sinou]
some: təik
spit: ŋəmi
split: ərik
stab: go
stand: tur
star: təgul
stick: bukə
suck: ū
sun: keake
tail: kuru-
they: diat
thick: tabu
think: nuknuk
thin: mədər
thou: avət
thou: u
three: utul
throw: vu-e
tie: vi
tongue: kərəmeā-
tree: dəvai
turn: puku-e
two: uruə
vomit: mərmaru-əi
warm: mələpəŋ
wet: pupuk
what: āvə
when: viŋaiə
which: nuve
white: pua
who: īə
why: dāve
wide: təbabə
wife: təulai
wind: vuvu
wing: bebea-
woman: vavinə
worm: kalolo
wrong: rarə
year: kilalə
yellow: gobol
