all: kuuya
and: ano
and: ano
animal: osoŋ
arm: boro
ashes: toːk
ashes: to\oʔ
ashes: took
back: gemasit-
back: gemasit-
bark: sele
belly: keri-
belly: keri-
big: somata
big: somata
bird: koːŋ
bird: koong
bite: ki-
bite: ki-
black: indzanga
black: indzaŋa
blood: saya
blood: saya-
blow: uː-
blow: uu-
bone: siita-
bone: silʔ
bone: siːta-
breast: adzu-
breast: adzu-
breathe: osonggong-
breathe: osoŋgoŋ
brother: dat
brother: dat-
brother: dat-
burn: dze-
burn: dze-
claw: kosi-
claw: kosi-
cloud: koosuk
cloud: koːsuk
cold: olonga
cold: oloŋa
come: waː-
come: waa-
count: weenggo-
count: weːŋgo-
cut: koto-
cut: koto-
die: komu-
die: komu-
dig: togungken-
dig: toguŋken-
dog: kasu
dog: kasuk
dog: kasuk
dry: tobori-
dry: tobori-
dust: ilawela
dust: ilawela
ear: gedza-
ear: gedza-
ear: gedzi
earth: namok
earth: namok
eat: ne-
eat: ne-
eye: dzaː-
eye: dzaa-
fall: kamaː-
fall: kamaa-
father: nemung-
father: nemuŋ-
fat (n.): kelega
fat (n.): kelega-
fingernail: kosoʔ
fire: gereʔ
flower: dzura-
flower: dzura-
foot: kani-
foot: kani-
fruit: ong-
fruit: oŋ-
full: saa kpe-
full: sa\apke
full: saːkpe-
give: non-
give: non-
good: auaː
good: auaa
green: asong asong
green: asoŋ asoŋ
hair: dzu
hair: dzui-
hair: dzui-
hand: borok
hand: borok
head: osoga
head: osoga-
head: waŋ
heart: bakota
heart: bakota
he/she: e
he/she: i
he/she: i
hit: kpe-
hit: kpe-
hold: me-
hold: me-
how: nomaing
how: nomaiŋ
I: ni
I: ni
knee: siming-
knee: simiŋ-
know: mo-
know: mo-
lake: anggong
lake: aŋgoŋ
laugh: dzomo-
laugh: dzomo-
leaf: seng-
leaf: seŋ-
leaf: siŋ
left: kanik
left: kanik
left: kpani
leg: kani
long: koriga
long: koriga
louse: imong
louse: imoŋ
louse: imɔŋ
man: edzak
man: edzak
many: mamagu
many: mamagu
meat: busi-
meat: busi-
moon: koing
moon: koiŋ
mother: mang-
mother: maŋ-
mother: namo
mountain: baanga
mountain: baːŋa
mouth: kpa\a
name: dzakota
name: dzakota
name: kpat
neck: are-
neck: are-
new: gbili
new: gbilia
new: gbilia
night: ketek
night: ketek
nose: sewang-
not: mende
not: mende
old: kerugaha
old: kerugaha
one: motoːŋgok
one: motoonggok
play: aonggolok
play: aoŋgolok
pull: oro-
pull: oro-
push: kpetanoke-
push: kpetanoke-
rain: kong
rain: koŋ
red: osoga
red: osoga
right: orowak
right: orowak
road: kana
road: kanak
road: kanak
root: tiita-
root: tiːta-
rope: dzowak
rope: dzowak
round: lilik lilik
round: lilik lilik
sand: sakasing
sand: sakasiŋ
say: dzo-
say: dzo-
seed: kota-
seed: kota-
see: niː-
see: nii-
sew: euŋme-
short: torodaamong
short: torodaːmoŋ
sister: naang-
sister: naːŋ-
sister: naɔŋ
sit: ra-
sit: ra-
skin: sele-
skin: sele-
sky: siwek
sky: siwek
sleep: e-
sleep: e-
small: meraak
small: meraːk
smoke: ha\asoʔ
smoke: kaasok
smoke: kaːsok
snake: mokoleng
snake: mokoleŋ
some: tosi-
spit: sula\aʔ
spit: sulaak-
stand: nan-
stand: nan-
star: senggeeu
star: sɛŋgelau
stick: taak
stone: dzamok
stone: dzamok
straight: dindiŋa
suck: bugo-
suck: bugo-
sun: weeng
sun: weːŋ
swell: somaro-
swell: somaro-
tail: dai
tail: dai-
that: lo
that: lo
there: endu
there: endu
they: iongongong
they: ioŋoŋoŋ
this: i
this: i
thou: gi
thou: gi
thou: i
thou: oŋo
throw: mesao-
throw: mesao-
tie: somoŋgo
tongue: neselang-
tongue: neselaŋ-
tooth: dzot-
tooth: dzot-
tree: ik
tree: ik
turn: meleen-
turn: meneːn-
two: woik
two: woik
vomit: lon-
warm: gerek
warm: gerek
warm: geriawok
warm: geriawok
wash: songbang-
wash: soŋgbaŋ-
water: apuk
water: apuk
water: o
weep: saː-
weep: saa-
we: nɔ
we: nono
we: nono
what: namungak
what: namuŋak
where: daangeng
where: daːŋeŋ
white: tataangkota
white: tataːŋkota
who: mong
who: moŋ
wind: ha\amoʔ
wind: haamok
wind: haːmok
wing: aŋgaŋ
wing: enggang-
wing: eŋgaŋ-
woman: embak
woman: embak
wood: taːk
worm: genambeŋ
yellow: gogoːkota
yellow: gogookota
you: ongo
