ankle: nuku
arm: l̪irin
arm: yun̪t̪u
ashes: pumpa
ashes: t̪ulŋun
ashes: wamu
back: miɲɟi
bad: t̪uŋumpiri
bad: yalaura
bark: t̪akat
belly: putu
belly: yarika
big: yaun
bird: t̪uruːn
bite: iɟai
black: maɟin
blood: uʎɟi
blood: uʎɟinta
blow: pupu
blow: pupulai
bone: ɟiriku
bone: kat̪ipina
boy: kaːŋku
boy: kuiri
branch: kunka
breast: maŋka
breast: mantar
breast: mimi
brother: t̪apu
brother: uŋkulu
burn: maniː
butterfly: kali
butterfly: yumpu-yumpu
calf: mala
calf: wanka
chest: mantar
chest: ŋaliɲiri
chest: ŋamuna
chest: ŋatil̪i
chest: wakita
child: pila-pila
chin: al̪inuku
chin: pinkut
claw: piku
cloud: iran-iran
cloud: yalpaɟa
cloud: yuruma
cold: ilit
cold: muntu-muntu
cut: iɲɟi
cut: iɲɟi
cut: ŋkai
cut: ntiali
cut: piɲɟi
dark: maɟin
dark: waṭa
day: piɲɟamu
day: piɲɟamu
day: wamila
die: uli
dig: an̪t̪akata
dig: wat̪ukati
dirty: muːyan
dog: t̪uku
dry: muɟuta
dust: kuri-kuri
dust: muː
dust: waɟali
ear: in̪t̪a
ear: pina
earth: kuri-kuri
earth: muː
eat: ai
eat: aili
egg: ɟikiliri
egg: ɟikiːri
egg: kut̪u
egg: ɲu
elbow: jurunuku
elbow: waɲi
emu: utiŋat
eye: milinu
eye: milinu
eye: milpuɲun
eye: mil̪t̪i
eye: miŋaŋkari
eye: miŋaŋkari
face: mun̪t̪u
fall: ŋui
far: yarka
father: kula
fat (n.): kuntali
fear: rumpi
feather: kut̪i
feather: pilun
fight: l̪ati
fingernail: minaŋara
fingernail: piku
fire: kurali
fire: uɟan
fish: wakari
five: makat̪i ayatn̪a
float: man̪iː
flower: pin̪t̪ikali
flower: wariɲɟa
fly (n.): yumuntiri
fly (n.): yumunturu
fly (v.): t̪una
fog: t̪ira-t̪ira
foot: t̪apantu
foot: wantu
forehead: mun̪t̪u kaːnta
forehead: mun̪t̪u miri-miri
four: l̪uati-l̪uati
fruit: kuɟanparu
full: an̪t̪an̪aiɲɟi
girl: wampa
girl: wampampala
give: aɲi
give: mitaː
good: putut
grass: ɟilkuruyan
grass: kaɲit
grass: kat̪it
grass: pit̪a
green: yalapu
guts: unu
hair: ɟit̪i
hair: kiɟikapua
hair: warapu
hair: warpanturu
hand: makat̪i
head: kan̪t̪a
head: mapa
heart: utuntu kan̪t̪a
heart: yanuanti
hear: yakapi
hear: yakapi
here: ɟaː
here: n̪aː
he/she: al̪aː ~ mun̪t̪i
he/she: laː
he/she: pakai
hit: l̪ai
hole: kili
hole: l̪apu-l̪apu
hole: ntuː
hole: t̪antu
horn: minaŋara
house: walipiri
hunt: kapani
husband: makutu ~ markutu
husband: yukuta
ice: wil̪t̪a
if: puyu
I: ŋai
I: ŋaɟi
jaw: an̪t̪a-ŋal̪t̪a
jaw: uku
kangaroo: maɟumpa
kill: l̪ai
knee: ipuru
knee: puru
know: ikani
laugh: iɟamai
leaf: puliṇṭi
left: kaluru
leg: wanka
lie: ɲan̪t̪ati
lie: nuː
lightning: yanpiri
lip: an̪t̪a-pinkut
liver: utuntu
long: ulkuːri
man: ɲarapuŋu
man: itiː
man: kulayaŋu
many: mal̪t̪a
man: yuru
meat: ati
moon: t̪untal
mosquito: mikaː
mosquito: mikara
mother: maṭu
mountain: ntia
mountain: purku
mountain: yaɲɟaːri
mouth: an̪t̪a
name: ipal
nape: ŋampu kan̪t̪a
narrow: ɟalkani
narrow: ɟalkiri
narrow: ɟumpun
navel: ɟiku
neck: kalaː
neck: kalara
neck: pantut-pantut
new: iʎaŋu
night: ilit-ilit
night: ŋain̪i-ŋain̪i
night: waṭaŋka
nose: ntuː muɲiri-ti
not: kuntu
old: ɟaiŋu
old: kupa
old: kupaŋuru
old: mun̪t̪a-mun̪t̪a
old: mun̪t̪a-mun̪t̪a
old: muɟu-muɟu
one: ayat
other: ŋara
play: wani
push: aŋkai
rain: kuː aṭiː
rain: mil̪t̪i
rat: ɟirima
rat: ɟirima
rat: pukuɟut
red: kuri-kuri
red: mila
ripe: mpuːŋu
river: kua
road: rutu
road: waru
rope: wanika
rotten: t̪ukarpayan
round: mil̪t̪i
round: uriɟiri
rub: kari
salt: 
salt: iʎu
salt: kalia
say: pati
say: pati
scratch: kiakai
sea: t̪iː
see: naɲi
sew: ŋkali
sharp: maɟal
short: miraŋkula
shoulder: ŋani
shoulder: warku
sing: apiː
sister: pua
sister: uŋkulu
skin: patinti
skin: waku
skin: waku
sky: mana-mana
sleep: wamila
small: kaɟakaɟakulu
small: minaŋara
smell: mputi
smoke: pulu
smoke: yumalka
smooth: ɟurut-ɟurut
snake: piru
snake: t̪uar ~ t̪uat
son: t̪unpuyu
spit: ɟampat
spit: ŋaka
squeeze: almi
stand: naː
stand: nanpi-nanpi
star: ɟirka
star: maraput̪aŋkali
star: put̪uruŋu
stone: ntia
suck: piṛimpi
suck: pupiti
sun: piɲɟamu
sun: wanaka
sweet: ikan
swell: pararali
swim: ɟara
