arm: suli
ashes: kau
bark: mondzi
bone: suwit
breast: namu
brother: tatan
dog: wawa
ear: kizap
eat: ne
fire: konop
foot: ki
full: pik
hair: dzomor
head: mam
he/she: yok
hole: dom
I: ni
knee: sat
leaf: endzel
left: kana
leg: ki
long: korep
louse: imɛn
moon: komnom
mother: naŋ
mouth: gbi
name: kpor
neck: eme
new: gbili
rain: map
road: kesɔp
sand: nupi
say: dzo
sister: nawil
skin: mondzi
sleep: eko
smoke: kasat
spit: nepa
star: isa
straight: tororogo
sun: paŋgat
thou: e
thou: gi
tie: dzoko
tongue: nembelam
tooth: ezet
warm: konopo
water: naŋge
we: ne
wind: pateŋ
wing: kpiŋgim
