all: náu
belly: ɓut
big: wujon
bird: ko
black: cip
blood: tàgàm
bone: és
come: wa
die: muut
dog: as
drink: swá
ear: kom
earth: jíl
eat: sə
egg: aas
eye: àjìt
fire: wus
fish: cerep
five: paàt
foot: kwak
four: féer
give: pən
hand: sár
head: káa
hear: kələŋ
he: ni
I: a
knee: fùrùm
know: man
man: dagwo
many: gwét
moon: tar
mouth: fwò
name: sum
night: lə̀par
nose: gəzəŋ
not: má
one: mé
red: ɓáŋ
road: wár
rope: páŋ
say: là
see: ná
sit: tòŋ
skin: ʃiʃik
sleep: saam
snake: wó
stand: jágál
stone: páŋ
sun: fuus
that: sə́
they: mə́
this: sə̀
thou: gə
three: kún
tongue: líis
tooth: àgàs
tree: tə́ŋ
two: vəl
water: am
we: mə̀
what: me
where: ne
white: pijà
who: we
woman: nàmat
you: gu
