all: ifo
arm: embiko
arm: embiko
arm: embi-ko
ashes: aka
ashes: urubu
ashes: urubu
ashes: urubu
back: repo
back: sugu
bad: menimo-mane
bark: feso
belly: na-mino
belly: ne-toro
big: maefoto
big: mafade
big: mafato
bird: karine
bird: karino
bird: karino
bird: karino
bitter: mesepo
black: bato
black: rififine
black: rififine
black: rififine
black: zati
blood: amaso
blood: amaso
blood: amaso
bone: toku
bone: toku
bone: toku
bone: utu
branch: menggaro
breast: musakibo
breast: onono
brother: aline
brother: namare
burn: bubuta
butterfly: momoka
cheek: baubu
chest: nafirare
child: amari
child: erema-kote
chin: andakuno
chin: nasino
cloud: amala
cloud: vanggako
cold: gemino
cold: nigubatine
come: mawe
come: mawe
come: ma-we
crocodile: mike
day: cho
day: tio
dog: rofo
dog: rofo
dog: rofo
drink: kuriba
dry: fiete
dry: swai
ear: na-kidabo
earth: kereko
earth: kereko
eat: ni-
eat: ni-
eat: ni-
egg: uku
egg: uku
egg: uku
elbow: me-tuguno
elbow: n-embiko-rapare
excrement: kato
eye: imagu
eye: imagu
eye: n-amagu
face: nemeko
far: memo
far: nanama
father: aj
fat (n.): gewiwa
fat (n.): mafado
feather: karoro
feather: mbra
finger: menggaino
fingernail: membisiko
fingernail: m-embi-si-ko
fingernail: n-embi-gi
fingernail: n-embi-si-ko
finger: n-embiko-mo (?)
fire: cua
fire: geriko
fire: geriko
fish: sakaro
five: rembikaisine
fly (n.): ereno
fly (v.): nej-bararo
fly (v.): urano
foot: ekepo
forehead: imbino
forest: tano
four: kaisifa
fruit: fuko
give: mingge
give: miŋge
good: nimo
good: nimo(mo)
green: bat
green: kinau
hair: kararo
hair: nasino
hair: na-sinu
hand: n-embiko
hand: n-ere
head: akabo
head: (n-)akabo
hear: oda-
heavy: mafade
here: indogogo
here: ndife
he/she: nde
hole: ebo
house: maro
how: esefamë
I: neri
I: ne-ri
kill: kogi!
knee: ekepo-rapara
knee: iemandea
leaf: eraino
leaf: runi
leg: ekepo
leg: ekepo
lightning: gereko
lip: misosono
lip: naesano
long: kupe
louse: kono
louse: kono
man: ordomi
man: rabine
man: rabine
man: rabino
many: mado
meat: babuge
moon: bugi
moon: moke
morning: aupete
mosquito: kinamo
mother: nau
mountain: koremo
mouth: epa
mouth: n-aba-go
name: eremo
name: n-irueng
name: nyo
name: nyo
navel: koro
near: efaito
near: ugeti
neck: otota-koro
new: iso
new: koto
new: nimomo
night: apu
night: aupu
night: aupu
nose: amitubu
not: ne
old: mafado
old: moni
one: onate
one: onate
person: kaeso
person: kaiso
rain: parato
rain: tote
rat: korambi
red: kahumba
red: mare
red: puane
right: doduri
ripe: sosuru
river: sau
road: aumu
root: gugu
root: oate
rope: mako
rope: warato
rotten: mesepo
sand: egar
sand: kebai
sea: sau
see: bantaba
seed: benai
seed: kufi
see: ete-
see: ete-we
see: gwanuke
shoulder: kaeba
sister: anejno
sister: namare
sit: amu-ngge
sit: amuŋge
skin: kiro
skin: nare
skin: riko
skin: riko
sky: tanggako
sleep: laige
sleep: laige
sleep: reyfeyba
small: akote
smoke: rosayno
snake: geyjhi
snake: kamano
sour: monitu
spit: mbotuno
spit: ndondono
stand: ire-we
star: geri
stone: faitu
stone: faitu
sun: erueng
sun: tefe
sun: tefe
sweet: nimotu
swim: rebeba
swim: ukafaibi
tail: rukao
tail: rukao
that: (ind)ama
there: indama
there: mamerago
they: nda
thigh: kaifuru
thigh: nekepo-mafatu
this: indogogo
this: ndo
thou: eri
thou: e-ri
thou: ideri
three: ugosona
today: endi-gaga
tomorrow: fiede
tongue: mou
tongue: naider
tongue: toko
tooth: eresino
tooth: eresino
tooth: neriso
tooth: unang
tree: keminu
tree: komino
tree: komino
two: uge
two: uge
walk: kimindadi
walk: orei-ba
walk: owe
walk: owe!
walk: saisiba
warm: duduno
warm: nigigi
water: sau
water: sau ~ saʔu
weep: senggindeybu
weep: sunggu-sau
we (incl.): i-di
we: indi
we: in-di
wet: gamanusu
we two (incl.): rainuge
we two: ndainuge
what: makemo
what: nakaromo
white: raat
white: teba
who: imandea
who: mandera
wind: woroï
wing: sadaro
woman: kaisandewinaro
woman: rafo
wood: keminu
yellow: kane(ng)
yesterday: cho-medo
you: i-deri
