all: omnis
and: et
animal: animal
ashes: cinis
at: ad
back: tergum
bad: malus
bark: cortex
because: quia
belly: venter
big: magnus
bird: avis
bite: mordere
black: niger
blood: sanguis
blow: aspirare
bone: os
breast: mamma
breathe: halare
burn: flagrare
cloud: nebula
cold: frigidus
come: venire
count: numerare
cut: secare
day: dies
die: mori
dig: fodere
dog: canis
drink: bibere
dry: aridus
dust: pulvis
ear: auris
earth: terra
eat: edere
egg: ovum
eye: oculus
fall: cadere
far: longinquus
father: pater
fear: timere
feather: penna
fight: pugnere
fingernail: unguis
fire: ignis
fish: piscis
five: quinque
flower: flos
flow: fluere
fly (v.): volare
foot: pes
forest: silva
four: quattuor
freeze: gelare
fruit: fructum
full: plenus
give: dare
good: bonus
grass: gramen
green: viridis
hair: capillum
hand: manus
head: caput
hear: audire
heart: cor
heavy: gravis
he: is
hold: tenere
horn: cornu
how: quo modo
hunt: venari
husband: maritus
ice: glacies
I: ego
if: si
in: in
kill: necare
knee: genu
know: scire
lake: lacus
laugh: ridere
leaf: folium
left: sinister
leg: crus
lie: cubare
liver: iecur
live: vivere
long: longus
louse: pedis
man: vir
many: multi
meat: caro
moon: luna
mother: mater
mountain: mons
mouth: os
name: nomen
narrow: angustus
near: propinquus
neck: cervix
new: novus
night: nox
nose: nasus
not: non
old: vetus
one: unus
other: alter
person: homo
play: ludere
pull: trahere
push: pellere
rain: pluvium
red: ruber
right: dexter
river: flumen
road: via
root: radix
rope: funis
round: rotundus
salt: sal
sand: arena
say: dicere
scratch: eradere
sea: mare
seed: semen
see: videre
sew: suere
sharp: acer
short: brevis
sing: cantare
sit: sidere
skin: pellis
sky: caelum
sleep: dormire
small: parvus
smoke: fumus
smooth: lenis
snake: anguis
snow: nix
some: aliquis
split: scindere
squeeze: premere
stand: stare
star: stella
stone: lapis
sun: sol
swell: tumere
swim: natare
tail: cauda
that: ille
there: ibi
think: cogitare
this: hoc
thou: tu
three: tres
throw: iacere
tongue: lingua
tooth: dens
tree: arbor
turn: vertere
two: duo
vomit: vomitare
walk: ambulare
warm: tepidus
wash: lavare
water: aqua
we: nos
what: quid
when: quando
where: ubi
white: albus
who: quis
wide: latus
wife: uxor
wind: ventus
with: cum
woman: femina
worm: vermis
year: annus
yellow: flavus
you: vos
