all: mbiri
ashes: piti
ashes: piti
back: sitin
bad: ˗kɔ
bark: čɪa
bark: gwaːŋgé
belly: puma
belly: pumaː
big: antuan
big: ˗tɔn
bird: d\iu
bird: ɗiu
bite: hʷɔc\ɔ
bite: hɔc\ɔ
black: anč\i
blood: č\amaʔ
blood: c\əma
blow: pʰwan
bone: šwe
bone: šwi
breast: kue
breast: kwei
breathe: sikʰ
brother: hamma
burn: sa
burn: syaotiː
claw: č\ik\ir
claw: c\ik\ir
cloud: šali
cloud: ǯibal
cold: c\em
cold: č\ɪm
come: ɟo
come: ǯoː
cut: mətya
cut: yepf
die: aruwei
die: weː
die: wɛi
dig: can
dog: teine
dog: teni
drink: apii
drink: pi˗
drink: yip
dry: aŋk\ao
dry: ˗kɔc\ɔ
ear: č\ɪː
ear: c\e
earth: k\ɔc\ɔ
eat: sa
eat: syaːn
egg: komo
egg: kumu
egg: kumu
eye: ɟe
eye: šʷi
eye: ǯii
fall: ampalo
far: set
far: sit
father: šommoʔ
fat (n.): ɟɛni
fat (n.): ǯiniʔ
fear: kowges
fire: wɔt\i
fire: wʊt\i
fish: wacʰa
fish: watya
five: muta˗kwei
fly (n.): kincʰa
fly (n.): tincʰa
foot: cok
foot: wʊni
full: tuta
give: kɛl˗
good: aŋk\ai
good: ˗kai
grass: šo
grass: sokuʔ
green: cirr˗
hair: šiyɛn
hair: šuyɛn
hand: bit˗
hand: k\iwi
hand: ˗kwei
hand: k\wi
hand: ˗mit\
head: buk\ɔ͂p
head: kopʰ
head: k\up
hear: aɣkaraʔ
hear: kar˗
heart: asik\
heavy: t\ekaw
here: apieno
hit: torarr
horn: keo
horn: kiu
horn: kiú
I: aga
I: aga
kill: k\ɔso
kill: kosuan
knee: k\uǯin
knee: kwɔɟɛn
know: agil˗
know: aragɛlat
leaf: ča
left: dok\əm
liver: č\ok\om
liver: duwen
long: nanisʲiɛk
long: sek
louse: šuk\ɛn
man: okaty
man: opuoʔ
many: ˗sai
many: u͂šai
meat: šuma
meat: šumaʔ
moon: addwe
moon: dwəi
mountain: ǯao
mouth: t\a
mouth: t\a
name: ɟuga
name: yintiyn
near: ˗isu
neck: bia
neck: biaʔ
neck: ɓia
new: apiu
new: ɟɛkis
night: ˗siːt
night: ǯiɛtao
old: koba
one: ɗeɗe
one: didi
one: ɔ͂suk\aː
person: sita
pull: hadi˗
push: lawr˗
rain: hɔ
rat: c\igi
red: ə͂k\apaː
red: kapa
right: ket
road: ˗purr
road: ǯiopur
root: kil
root: usʲitš\a
rope: šul
salt: taš
sand: poisa
sand: poyaʔ
sand: pɔya
say: tan
say: t\ɛt\an
scratch: c\ɔc\o
seed: ɟese
seed: k\ak\a
see: gel˗
see: gɪležaiʔ
sew: k\ɔs
sharp: ˗kaka
short: ˗tul
sit: watini
skin: dinč\a
skin: dinc\a
sky: wɔs
sleep: bat˗
sleep: nadisʲuʔ
small: aŋkala
smoke: kura
smoke: kuraot\i
snake: ɟoːʔ
snake: ɟɔ
snake: ǯooʔ
stand: p\ewɔš
stand: wurɟe
star: pisakɔ
star: pɪsakoʔ
stone: ɟao
sun: taː
sun: tai
sweet: ɟɛne˗
sweet: ku
swim: tɛɟil
swim: wunitaiǯiɛn
tail: uːl
tail: wʊl
take: pac˗
that: ˗re
there: ateru
think: car˗
thin: tetes
this: ˗ge
this: hotaː
thou: ay
thou: bwa
thou: uma
three: ə͂tusʲa
three: tušu
throw: siŋ˗
tie: ti˗
tongue: lit\a
tongue: lit\aʔ
tooth: se
tooth: syiː
tree: ca
tree: če
tree: tya
turn: wut˗
two: adidyan
two: suka
vagina: pit
walk: ɟa
walk: iǯaʔ
walk: wiya
walk: ya
warm: aŋkagaʔ
warm: kaga
water: ɟi
water: yiʔi
water: ǯiː
weep: ˗kwe
we (excl.): mina
we (excl.): mina
we (incl.): mana
we (incl.): mana
wet: ˗cirr
we: umaʔ
what: taiwaʔ
what: təna
when: gawe
where: ta ai
white: ampaɔt\a
white: pata
who: moi
who: tawa
woman: bapa
woman: bapa
year: kwawɟi
yes: piɛno
