all: marakon
and: ma
animal: katin haka
ashes: koloweh
back: kona-n
bad: ⁿdʳaʔin
bark: kuʔi kei
because: tasah
belly: ndʳabai
bird: sirih
bite: atoh
black: bokodon
blood: ⁿdʳaye-n
blow: oloh
bone: ⁿdʳuwi-n
breast: sur
breathe: koha-n
burn: sulumwi
child: nah
cloud: asi kaⁿdʳah
cold: ñalaʔan
come: n-wɔm
correct: amʷrnen
count: androm
cut: saniy
die: ⁿdʳa-amak
dig: aʔeh
dirty: koʔak
dog: mwi
drink: aʔun
dry: soboren
dull: madan maʔis
dust: kasu ⁿdʳen
ear: ⁿdʳañe-n
earth: muñak
egg: ⁿďʷusun
empty: aliybʷe
eye: mada-n
fall: tìbɔ
far: len
father: tama-n
fat (n.): ñamaη
fear: anoh
few: sеsе
fingernail: kuku
fire: ɟih
fish: ni
five: limeh
float: telebek
flow: atohou
flower: kañeu
fly (v.): atah
fog: wadur
foot: kati-n
forest: lo-kei
four: hahuw
frog: basen
fruit: buwa kei
full: idih
give: adeu
good: mʷasin
grass: bʷidiu
green: ñ̄orowan
guts: ⁿdʳine-n
guts: ⁿdʳine-n
hair: lami-n
hand: mine-n
head: batu-n
hear: anuhun
heart: aburo
heavy: mahaʔan
he: iy
hit: ubʷiy
how: buku sah
hunt: amʷi
husband: udu-n
if: buku
in: bolon
I: ɟo
kill: adai imek
knee: buli ⁿdʳuʔu-n
know: tanan
lake: li
large: tinan
laugh: eheʔen
leaf: laʔun
left: kamʷeu
leg: kati-n
lie: n-bɛy
live: mañah
liver: ade-n
long: lawe
louse: kuk
man: mʷan
many: soloʔan
meat: oda-n
moon: bun
mother: tine-n
mountain: maⁿdʳei
mouth: boho-n
name: ñara-n
narrow: bʷisik
near: mirihik
neck: bale-n
new: haʔun
night: ben
nose: noʔo-n
old:   malen
one: ari
person: ⁿdʳamak
play: ñorei
pull: ariu
push: atuw
rain: ur
red: saraman
right: salin
river: gʷa
road: san
root: kaⁿdʳon
rope: malou
rotten: abola
round: abuluw
rub: owei
salt: ⁿdʳas
sand: on
say: tiye
sea: gʷaⁿdʳas
sea: gʷaⁿdʳas
seed: badun
sew: asowek
sharp: madan
short: moʔon
sing: ayah wari
sit: mañah
skin: kuʔi-n
sky: kaⁿdʳah
sleep: amadin
small: bʷisik
smell: ahon
smoke: kasuʔer
smooth: ñemesen
snake: mʷak
some:  rayah
spit: sakaruk
split: apʷai
stab: aso\ei
stand: ales
star: ⁿdʳau
stick: kaⁿdʳo
suck: somosom
sun: an
tail: kiwi-n
they: uru
thick: hutuʔun
think: abudon
thin: meⁿdʳehe
thou: ah
thou: ou
three: taloh
throw: akahei
tie: aseu
tongue: kalime-n
tree: kei
turn: tubuηi
two: laʔuh
vomit: amok
warm: ñarahan
wet: sabu
what: saba lakou
when: saba len
which: ⁿdʳa heh
white: belen
who: are
why: tasah
wide: tinan
wife: udu-n
wind: siyer
wing: banin
woman: badih
worm: gεlat
wrong: aⁿdʳaʔi
year: ɟaha
yellow: ñokowan
