all: uddol
animal: wakkai
arm: add˗
ashes: kukuːs
back: ɗaɗaŋ
bad: taːs
bark: kuɓudu
belly: ɓileːke
big: ɓikke
bird: auɲiːs
bite: kasa
black: ǯ\uːl
blood: teːmak
blow: usi
bone: ŋoŋŋis
boy: čas
breast: kiɗiːge
breathe: uŋu
burn: aɓuxu
child: čas
cloud: tiːwit
cold: pəpx
come: ɓoŋǃ
correct: təbatto
count: agade
cut: abədo
cut: asdigiːk
die: əxs
dig: aɓoya
dirty: mudak
dog: iːs
drink: awuxi
dry: kəmaːsəs
dust: urga
earth: səkk
ear: wunett
eat: azeː
egg: oloːdos
eye: aun
fall: ˗ɗel
far: təxxan
father: me˗
fat (n.): muːǯ
fear: ɲag˗
feather: abax
few: teteoŋos
fight: aɗəseː
finger: px˗add˗
fire: maːs
fish: axsəs
five: mədək
float: ɓa
flow: biste
flower: tuːdul
fly (n.): amxouz
fly (v.): bak
foot: ix
four: tespet
full: təbb
give: abəŋe
good: loŋŋai
grass: ɲaːxəs
green: lassax
guts: kaǯalbək
hair: abaxtəs
hand: add˗
head: za
heart: kəɲaxs
hear: ǯule
heavy: təttəx
he/she: ma(n)
he/she: ma(n)
hit: aɓdouda
hole: axou
horn: yaxte
hunt: goːlo
I: aga
kill: abaxa
knee: səmd˗
know: yəx
lake: luːga
laugh: agugu
leaf: un˗ette
left: ɲogol
leg: ix
liver: mes
louse: təgge
many: datta
man: yox
meat: iya
mother: ɓo
mouth: əkk˗
name: agge
narrow: kəlləp
near: tariya
neck: aməč
night: woŋ
old: ɓoxkoɲ
one: nohorok
person: kik
play: coxo
pull: aɲase
push: siǯa
rain: koxa
rat: yiŋəs
rat: yiŋəs
right: ɓaːnəs
river: pox
road: ˗sokk
root: maxke
rope: sət
rotten: koǯopoŋei
round: kuggul
rub: abəski
salt: ulaŋ
sand: tuweːs
scratch: owoɲo
see: aɽa
seed: səɓeče
sharp: čeǯeːm
short: təlləŋ
sing: alaːŋe
sit: azŋutunda
skin: mmi
sky: koxa
small: teteoŋos
smoke: ləkk
smooth: sessex
snake: dol
spit: alək
split: dette
squeeze: amuxtiči
stand: usu
star: azaxtas
suck: aɓaːna
sun: oxgohoŋ
sweet: tumox
swell: kə˗ɓeŋ
swim: ɓa
tail: iːbe
they: zaki
thick: tiǯ\aːx
thin: wax
thou: ago
thou: kinaŋ
three: kodos
throw: aɗaba
tie: anze
tongue: ləbbəx
tooth: ɲixt
tree: eːwes
turn: agolokgoloŋ
two: pədax
vomit: aǯalage
walk: awede
walk: biste
warm: təppai
wash: aɗai
water: ma
we (excl.): asko
we (excl.): asko
we (incl.): konok
we (incl.): konok
wet: pəpx
what: waːyan
when: səxoŋ
where: tei
white: pabbal
who: keneːn
wind: mege
wing: kuɓuːdiče
woman: ux
wood: kax
worm: ux
worm: uːxus
year: čegga
yellow: pəxaɲ
