all: amaa
big: suur
bird: lind
black: motsaa
come: tuulda
dog: pin
drink: juuoda
earth: moo
eat: siiedo
eye: siilma
fat (n.): jamdo
fire: tul
fish: kalaa
foot: jaalga
give: aanda
good: jovaa
hand: kezh
head: paa
I: ma
kill: tappo
know: tiieda
long: pitkaa
man: miiez
many: paagin
mountain: mag
mouth: suu
name: nim
new: nuuor
night: iie
one: iksh
person: rishtiing
rain: sadaa
road: tiie
round: immor
say: kiito
see: naado
sleep: maggo
small: pishki
star: teedj
stone: kiv
sun: paa
that: se
this: se
thou: sa
tree: puu
two: kaksh
walk: kaado
water: vezh
we: meeg
what: Kis/Mis
white: vaalda
who: Kis
woman: nai
