all: ŋoto
ashes: taniavu
back: γatiγu-
bad: hantai
bark: vinu-n ɣ ai
because: bʷatu-na be
belly: ati bʷaŋi
bird: manu
bite: ɣasi
black: meto
blood: daɣa-
bone: hui-
breast: huhu-
breathe: mabu
burn: tunu
child: natu riɣi
cloud: ten-laŋi
cold: masisi
come: mai
correct: didini
cut: tai
die: mate
dig: ɣeli
dirty: biribiriʔa
dog: vʷiriu
drink: mʷinu
dry: mamaha
dull: bʷatoa
dust: taniavu
ear: bʷero-
earth: tano
empty: bʷen
eye: mata-
fall: taku
far: hautu
father: tama-
fear: mataɣu-ana
few: hen
fingernail: ɣari-n bihu-
fire: iei
fish: iɣe
five: ɣai-lima
float: halhala
flower: vira-n ɣai
fly (v.): ɣaɣa
fog: vivivi
foot: bʷalaɣe-
forest: ute-vono
four: ɣai-vasi
full: masiri
give: lai
good:  tavuha
grass: mʷanea
green: malaeha
guts: sine-
guts: sine-
hair: ilu-
hand: lima-
head: bʷatu-
hear: roŋo
heart: irubʷi-
heavy: marahi
he: kea
hit: tutui
horn: mamaua
how: hani-γi
husband: ahoa-
if: sobe
I: inau
in: alolo-
kill: wehi
knee: bʷau-
know: ilo
lake: wai
large: ɣaivua
laugh: mana
leaf: rau
left: mʷairi-
leg: bʷalaɣe-
lie: eno
live: rahu
liver: ate-
long: ŋava
louse: ɣutu
man: atamʷani
many: ivusi
meat: vihoɣo-
moon: vula
mother: ratahi-
mountain: vusi
mouth: bʷaŋo-
name: iha
near: abe-
neck: mʷaɣoro-
new: ɣara
night: boŋi
nose: ɣan-(i)hu
one: ɣai-tuvʷa
person: atatu
play: mosomoso
pull: rava
push: taɣara
rain: uhe
red: memea
right: mʷatua-
river: wai-rovo
road: hala
root: ɣaro
rope: ɣao
rotten: boni
round: ʔele
rub: maŋi
salt: [solo]
sand: one
say: veve
sea: tahi
sea: tahi
seed: biri
sew: ɣoliɣo
sharp: mamaɣani
short: vʷelvʷele
sing: lol iboi
sit: toɣo
skin: vinu-
sky: mahau
sleep: maturu
small: tiriɣi
smoke: ahu
smooth: maharavi
snake: teltele
some: rituai
spit: lodo
split: bola
stand: tu
star: visiu
stick: malio
suck: huhu
sun: alo
tail: gere
they: kera
thick: vonoɣa
think: redem
thin: manevnevi
thou: ɣigo
thou: kimiu
three: ɣai-tolu
tie: liɣo
tongue: mea-
tooth: livo-
tree: ɣai
turn: bulo-a
two: ɣai-rua
vomit: lua
warm: aruaru
wet: meho
what: hano
when: batenhano
which: kebe
white: maita
who: ihei
why: huri-hano
wife: tasala-
wind: laŋi
wing: ɣaba
woman: vavine
worm: silosi
wrong: hantai
year: taulu
yellow: aŋo-ɣa
