all: huhuru
arrow: kebolo
back: degera
big: wago
bird: manu
bite: apu
blood: lala
blow: puhodbau
bone: gisa
branch: daga
breast: hama
butterfly: bebe
chest: saga
come: hai
dig: lavilbaʔa
dog: dahari
drink: hihilmaʔa
ear: ʔope
eat: hihilmaʔa
emu: gulaha
eye: ini
fat (n.): mona
fire: heu
fish: ʔorabe
fly (n.): nagama
full: maʔapulaha
hand: saga
hear: nanbaʔa
heart: goigoibo
heavy: hurum
here: evade
house: uru
husband: hemeta
I: yaʔa
jaw: arena
knee: turuna
left: hebe
leg: ʔamo
louse: tuma
man: hemeta
moon: dovele
morning: houma
mosquito: nemo
mountain: horo
mouth: noha
name: nim
nape: geduna
navel: iribu
new: gadara
night: garuru
not: dau
old: baeau
old: bohae
push: bibilbaʔa
river: neʔama
road: vagorodi
root: tai
sand: aneʔa
see: helbau
sew: turilbaʔa
shoulder: gabi
sit: auri guduribaʔa
sky: goura
smoke: bausu
snake: 
snake: io
spit: horo
star: nigoru
stone: baga
swell: boboga
swim: lololibaʔa
take: ʔealbau
that: adan
there: adade
thigh: obe ~ ʔobe
this: ealbau
thou: gaʔa
thou: gaʔa
tooth: maʔa
tree: hana
turn: sovelelebaʔa
vomit: gobi
walk: honibaʔa
warm: hodahoda
water: neʔama
we: gea
wet: nudal
we two (incl.): nuyahae
when: aboham
where: abon
wife: havet
woman: havet
wood: hana
yellow: gobugoburu
you two: nuyahae
