all: awonsu
ashes: mishit
bark: wat
big: mujim
bird: kajil
black: mujal
blood: mash
bone: difup
burn: kutem
cloud: didj
cold: mashik
come: kwez
die: kufang
dog: kabu
drink: kunang
dry: muumin
ear: ditu
earth: div
eat: kudang
egg: diy
eye: dis
fat (n.): mujim
fingernail: ruzal ra kumuny
fire: kasu
fish: insh
fly (v.): kutwik
foot: chilaz
full: wizwilang
give: kupan
good: muwamp
green: wa ulombu wa mem ma matamb
hair: nsuch
hand: chikas
head: mutu
hear: ditu
heart: rudung
I: am
kill: kujip
knee: dinungun
know: kwijik
leaf: diyij
lie: kukas
liver: muchim
long: mulemp
louse: rukus
man: ikundj
many: yivud
meat: mbij
moon: ngond
mountain: mukandu
mouth: kan
name: dijin
neck: nshing
new: musu
night: uchuku
nose: muzur
not: bwat
one: umwing
person: muntu
rain: ruval
red: musuz
road: njil
sand: usukuril
say: kulond
seed: mbut
see: kuman
sit: kushakam
skin: chikit
sleep: kulaal
small: kakemp
smoke: kunang ruwand
stand: mwikadil
star: katumbu
stone: diyal
sun: muten
swim: kwisiy
tail: mukil
that: anch
this: ech
tongue: rudim
tooth: dizeu
tree: mutond
two: yaad
walk: kwend
warm: marungil
water: mem
we: etu
what: chawiy
white: mutok
who: wa...
woman: muntumband
yellow: ulombu wa kan ka diy
