all: [kabbʱi]
and: kalaban
animal: [kiban]
ashes: abu
back: təŋŋa
bad: ǰʱubaʔ
bark: kuliʔ-na kaǰu
because: [karana]
belly: tabuʔ
bird: manuʔ
bite: kikkiʔ
black: čəlləŋ
blood: ḍara
blow: sərrup
bone: tulaŋ
breast: susu
breathe: ñaba
burn: sulət
child: naʔ-kanaʔ
cloud: undəm
cold: čilləp
come: ḍatəŋ
correct: bəndər
count: ituŋ
cut: kəṭṭuk
die: mati
dig: maŋbaŋ ŋali(kali)
dirty: kutur
dog: patiʔ
drink: inum
dry: kərriŋ
dull: tumpul
dust: abu
ear: kupiŋ
earth: [bumij
egg: təllur
egg: təllur
empty: kusuŋ
eye: mata
fall: pʷawe
far: ǰau
father: əppaʔ
fat (n.): gʱaǰʱi
fear: takuʔ
few: sakunίʔ
fingernail: bʷisi lime-n
fire: apuy
fish: ǰʱiukuʔ
five: limaʔ
float: ŋambaŋ (kambaŋ)
flower: kəmbaŋ
flow: gʱili
fly (v.): abbʱər
fog: əbbʱun
foot: suku
forest: alas
four: əmpaʔ
frog: kataʔ
fruit: waʔ-buwaʔ-an
full: pussaʔ
give: bərrìʔ
good: bəččiʔ
grass: rəbbʱia
green: bʱiru
guts: pərroʔ
guts: pərroʔ
hair: ubuʔ
hand: tanaŋ
head: čiṭaʔ
hear: ŋ-iḍiŋ
heart: ati
heavy: bərraʔ
he: dflibiʔ-na
hit: pukul
horn: tanduʔ
how: ḍəʔrəmmaʔ
hunt: a-bʱuru
husband: laki
ice: [es]
if: kalamun
in: daləm
I: siŋkuʔ
kill: patiʔ-i
knee: tuʔut
know: tau
lake: [talaga]
large: raǰa
laugh: a-gəllaʔ
leaf: ḍaun
left: kačir
leg: suku
lie: ḍuŋ-tiduŋ-an
liver: ati
live: udiʔ
long: lañǰaŋ
louse: kutu
man: uriŋ lakiʔ
many: baññaʔ
meat: dʱagʱiŋ
moon: bulan
mother: əmbuʔ
mountain: gʱunuŋ
mouth: čuluʔ
name: ñarna
narrow: niŋkiʔ
near: sэmmaʔ
neck: liʔir
new: añar
night: maləm
nose: iluŋ
old: tuwa
one: sittuŋ
person: uriŋ
play: main
pull: taǰaʔ
push: suruŋ
rain: uǰʱan
red:   mira
right: kaŋan
river: suŋay
road: ǰʱalan
root: ramuʔ
rope: tali
rotten: buččuʔ
round: buntər
rub: kusut
salt: buǰa
sand: bəḍḍʱi
say: ŋučaʔ (-učaʔ)
sea: tasiʔ
sea: tasiʔ
seed: [bʱibʱit]
sew: a-ǰʱaia
sharp: taĵʱam
short: pinḍaʔ
sing: ñañi
sit: tuĵu?
skin: kuliʔ
sky: laŋŋiʔ
sleep: tiduŋ
small: kiniʔ
smell: [čiyum]
smoke: kukus
smooth: alus
snake: ular
snow: [salǰu]
some: sakuniʔ
spit: čupa
split: puka
stab: čuŏču
stand: mañǰəŋ
star: bintaŋ
suck: isəp
sun: mata ari
tail: buntuʔ
they: dʱibiʔ-na kabbʱi
thick: kandʱəl
think: [pikkir]
thin: tipis
thou: baʔna
thou: baʔna kabbfii
three: təlluʔ
throw: tambu
tie: pikut
tongue: ǰʱila
tooth: gʱįgʱi
tree: kaʔ-buŋkaʔ-an
turn: tuli
two: ḍuwaʔ
vomit: uta
warm: panas
we: siŋkuʔ
wet: bačča
what: apa
when: bila
which: si kəmma
white: puti
who: [sapa]
why: arapa
wide: libar
wife: bini
wind: aŋin
wing: kalimbaŋ
woman: uriŋ biniʔ
worm: čačiŋ
wrong: sala
year: taun
yellow: kuniŋ
