all: sab
and: aaro
back: paachu
bad: kharab
because: kiyae ki
belly: pet
big: badka
black: kaari
blood: khuun
bone: haddi
breathe: saans
burn: jaul
cloud: baadal
cold: thanda
come: chalu
correct: sahi
die: dehaant
dirty: gandaa
dog: kutta
drink: pii
dust: dhuul
ear: kaan
eat: khau
egg: andaa
eye: aainkh
fall: gir
far: duur
father: pitaa
fat (n.): moat
fear: dar
few: kanik
fight: jhagad
fire: aaig
fish: maanch
five: paanch
flow: bah
flower: phuul
fly (v.): ud
foot: paer
forest: jangal
four: chaer
fruit: phal
full: puuraa
give: de
good: badhiyaa
hair: kesh
hand: haath
head: maathaa
hear: sun
heart: dil
heavy: bhaari
here: aitham
hold: pakad
horn: singh
how: kenaa
ice: baraf
if: agar
I: hum
knee: ghutnaa
know: jaane
laugh: hans
leaf: patta
leg: paer
lie: jhuut
live: jii
long: lambaa
louse: dhiil
man: aadmi
many: bahut
meat: maans
mother: mae
mountain: pahaad
mouth: muunh
name: naam
near: paas
neck: galaa
new: nayaa
night: raet
nose: naak
old: puraan
one: ek
other: dosar
play: khel
pull: khiinch
push: dhakel
red: laal
river: nadi
rope: rassi
round: gol
sand: maet
say: kah
seed: beejaa
see: dekh
sing: gaa
sit: baeth
sleep: sut
small: chot
smell: suungh
