all: pokírà
and: ó
arrow: ɛŋ˗káww˗ò
ashes: in-kúrùòn
bark: Ink-abobók
bird: en-kúényì, e-mótonyî
bite: a-nyá
bone: ol˗óì˗tò
bone: ol-óìtò
burn: a-péj
come: a-lotú
dog: ol-dîâ
drink: a-ók
dry: a-toí
dust: en-térít
egg: ol-mósorî
fall: a-úr
feather: eŋ˗kópír˗ó
fish: o-sínkirrî
five: ímíèt
fly (n.): ɛŋ˗kɔ˗ɟɔŋ
forest: en-tîm
good: sídáí
horn: e-mówúó
many: kúmòk
moon: ɔ˗lápà
mountain: ɪ˗lapaːit˗ín
mountain: ol-dóínyó
night: ɛŋ˗kɛ˗warɪ́˗e
one: na-bô
play: a-dalá
rain: a-shá
river: e-wúásò
road: eŋ˗kóít˗óí
road: enk-óítóí
say: a-jó
sing: a-rány
skin: ol-coní
three: uní
tongue: ɔl˗ŋɛ́˗ɟɛ́p
two: aré
walk: a-ló
wide: dápásh
woman: en-kitók
yellow: sikítoi
