all: pësëkpep
and: mimbi
and: mimbi
animal: dzi
arm: bʌt
ashes: dzita
ashes: dzita
ashes: ko
back: beset-
back: beset-
bark: sʌk
belly: tip-
belly: tip-
big: këit.n
big: kʲn
bird: lau
bird: lau
bite: ye-
bite: ye-
black: sëmbopm
black: səmbopm
blood: sip-
blood: sip-
blow: orati
blow: orati-
bone: sɛt
bone: siet-
breast: na͂
breast: nam-
breast: nam-
breathe: andaɣəsa
breathe: andaghësa
brother: dat
brother: dat-
brother: dat-
burn: dzi-
burn: dzi-
claw: dzinggënggëng
claw: dziŋgəŋgəŋ
cloud: kumbu
cloud: kumbu
cold: takëng
cold: takəŋ
come: ko-
come: ko-
count: usun-
count: usun-
cut: lanti-
cut: lanti-
cut: v
die: gëki-
die: gəki-
dig: lo-
dig: lo-
dog: ta͂
dog: tã
dry: alanggë-
dry: alaŋgə
dust: wanawana
dust: wanawana
ear: bʌbʌsin
ear: bëbët-
ear: bəbət-
earth: misa
earth: misa
eat: ni
eat: nin-
eat: nin-
eye: dzi-
eye: dzi-
eye: dzin
fall: kao-
fall: kao-
father: bip-
father: bip-
fat (n.): kerëk-
fat (n.): kerək-
fingernail: dziŋgʌgʌŋ
fire: tedzi
flower: dzolam
flower: dzolam
foot: kët-
foot: kət-
foot: kʌt
fruit: kpën-
fruit: kpən-
full: dzʌdzʌgɔ
full: dzədzə ka-
full: dzëdzë ko-
give: naka-
give: naka-
good: sanggam
good: saŋgam
green: kok.ng
green: kokŋ
hair: dzup-
hair: dzup-
hand: bët-
hand: bət-
head: doŋgon
head: nok-
head: nok-
heart: wembë kët-
heart: wembə kət-
he/she: lʌ
he/she: lë
he/she: lə
hit: kun-
hit: kun-
hold: aŋga-
hold: wangga-
how: disi
how: disi
I: nʌ
I: na͂
I: nã
knee: kpekakpatë
knee: kpetapat
knee: pet
know: ningge-
know: niŋge-
lake: lëm
lake: ləm
laugh: yëyën-
laugh: yəyən-
leaf: sin-
leaf: sin-
left: kana
left: kana
leg: kʌt
long: kep.m
louse: lëm
louse: ləm
louse: lʌm
man: a͂
man: ã
many: kirisi
many: kirisi
meat: mirik-
meat: mirik-
moon: ayoŋgo
moon: ëyongga
moon: əyoŋga
mother: mam-
mother: mam-
mountain: kalang
mountain: kalaŋ
mouth: dzʌmbut
name: kot-
name: kot-
name: kɔt
neck: andeng-
neck: andeŋ
neck: toɣosan
new: alak
new: gorëng
new: gorəŋ
night: mimba
night: mimba
nose: singgeng
not: këm
not: kəm
old: kpën
old: kpən
one: kpedzi
one: kpedzi
play: dzëghodzë
play: dzəɣodzə
pull: menda-
pull: menda-
push: ɔtəɣə-
push: otëgë-
rain: ma
rain: ma
red: kukn
red: kuk.ng
right: pana
right: pana
road: kë
road: kə
road: kʌtʌrʌm
root: kindiri-
root: kindiri-
rope: tëk
rope: tək
round: waragën
round: waragən
sand: ganga
sand: gaŋa
sand: qʌŋʌ
say: dzʌ
say: dzë-
say: dzə-
seed: kët-
seed: kət-
see: nəɣəi
see: nëgëi-
sew: osə-
short: dandzi
short: dandzi
sister: lip
sister: lip-
sister: lip-
sit: ta-
sit: ta-
skin: sëk-
skin: sək-
skin: sʌk
sky: nombë
sky: nombə
sleep: we-
sleep: we-
small: namzi
small: namzi
smoke: dau
smoke: kësë
smoke: kəsə
snake: asi͂
snake: asĩ
some: but-
spit: dzëtupa-
spit: dzupati
stand: ta-
stand: ta-
star: dzëmërindzë
star: dzəmərindzə
star: dzʌmʌrimd`ʌŋ
stick: onze
stone: nandza
stone: nandza
straight: dʌndʌɣʌtn
suck: bësë-
suck: bəsə-
sun: kësu
sun: kəsu
sun: kʌsu
swell: simen-
swell: simen-
tail: dak-
tail: dak-
that: mei
that: mei
there: inda
there: inda
they: lene
they: lene
this: wi
this: wi
thou: gʌ
thou: ga.
thou: ga͂
thou: li
thou: li͂
throw: këtipe-
throw: kətipe-
tie: dza
tongue: nambalang-
tongue: nambalaŋ
tongue: nambalaŋ-
tooth: dzët-
tooth: dzət-
tooth: dzʌt
tree: të
tree: tə
turn: giridzë-
turn: giridzə-
two: dzeba
two: dzeba
vagina: kʌp
vomit: nua-
warm: kikipm
warm: kipkipm
warm: kipkip.m
warm: tedzi
warm: tedzi
wash: ëli-
wash: əli-
water: tu
water: tu
weep: sisu-
weep: sisu-
we: ni
we: ni.
we: ni͂
what: wana
what: wana
where: dene
where: dene
white: saghat.n
white: səɣatn
who: ala
who: ala
wind: tʌɣʌ
wind: təɣə
wind: tëgë
wing: kpogho
wing: kpoɣo
wing: poɣom
woman: imbi
woman: imbi
wood: onze
worm: go͂
yellow: alang
yellow: alaŋ
you: lĩ
