all: pɛ́tɛ́
animal: néri
arm: nɛ ɛ́
arm: nɛ ɛ́kpwɔ
arrow: nɛ́\ßaŋa
ashes: napú
back: néːŋgú
bad: mɛndaŋa
bad: mɛ́ŋandá
bark: nɛkɛ́\wɛ́
because: basí
because: sí
because: sídru
belly: nɛ́\ɔ
belly: nótú
big: mɛ́kipɛ
big: mɛndiɔ́
bird: nári
bite: ˗ɔ\ká
bitter: ˗ɔ̀ɔ́gú
black: melulu
blood: álí. álíkpwɔ
blow: ˗obwú
bone: nɛ́kpwɔ
boy: námasíŋgɔŋgwɛ
boy: nɛyáŋuɛ́
branch: namɔ́pá˗
breast: nɛ́ba
breast: nɛ́ba
breathe: námʊŋala
breathe: ˗ɔ\ɔ́
brother: nɛyáŋgwɛ́
burn: ˗ɛ̀ɛ́su
burn: ɔpɛ́
burn: ˗ɔsu
calf: nekudíríŋbá
calf: netópu
cheek: nekóŋgóŋgó
chest: negúgú
child: náːŋguɛ
child: nɛŋgɔ́ŋguɛ
child: nɛŋgwáːŋguɛ
chin: nɛ́kačíčí
claw: nɛkɛ́\wɛ́
cloud: námundukuba
cold: menieniélé
cold: nɛ̀ɛ́tʊ
come: ˗ekú
correct: mɛmɛ́yɔ
correct: mɛtɛrɛrɛ
count: ˗ɛ\ia
cut: ˗àáfó
cut: ˗ofo
cut: ˗ɔgɔ́
daughter: nándrɔgádɔ
daughter: nɛŋádɔ
day: nɛtiánɛ
day: netúne
die: nónzi
die: ˗onzɪ
dig: ˗ɔbia
dig: ˗oti
dirty: méɓiti
dog: nési
drink: ˗ɔmbuo
dry: mɛ́ŋo
dust: néŋbúlu
dust: néngúbu
dust: nómbulo
ear: nebɪ́
earth: ná¹ɛ
earth: úburú
eat: ˗aːniɔ́
eat: ˗ɔniɔ
egg: nɛbálákáká
elbow: nɛkósú
elbow: nɛ ɛ́kɔ́sú
eye: nɛ́gʊgʊ
eye: nɛ́ŋgɔ
face: ɛ́ŋɔ
fall: ˗oɗé
far: mɛ́ndrɔndrɔ
father: na\pá
fat (n.): ɛ́ɓʊ
fear: ˗ɛ̀ɛ́rú
fear: nɛ́ːru
feather: nɛ́kudu
fight: ˗ondré
fingernail: nɛkɛ́\wɛ́
fingernail: nɛ ɛ́kɛ́wɛ́
finger: nɛpuɛ́ŋuɛ
finger: nɛ\tɛ́
finger: nɛ\tɛ́ŋgwɛ
finger: nɛ\tɛ́ŋuayá
fire: nɛ́kagɔ
fish: nɛ́ŋgɛrɛ
five: tɔ́zɛrɛna
flower: nétoto\totó
fly (n.): nɛ́zɛ
fly (v.): ˗obwú
fly (v.): ˗ɔ\wi
fog: námundukuba
foot: nɛkɔ́nzɔ́
foot: notíndí
forehead: nɛ̀ɛ́pɛ́mbɛ́
forest: namɔwíá
forest: négbondó
four: sɔ́sua
