all: šwet
ashes: ts\iakŋ
bark: orgn
belly: čoːnu
big: yatsɪz
bird: kəbi
bite: wəts
bite: woːz˗o
black: ts\aːnɪz
blood: yarm
bone: uːsu
breast: t\iamu
burn: a\ts˗ɛw
claw: hialu
cloud: diː
cold: čou
come: yɛ˗\go
die: šu˗bo
dog: kianu
drink: bɛ\y˗ɛw
dry: kol˗ɪz
ear: aːi
eat: m˗\mo
egg: mʊlm
eye: aːbu
father: babu
fat (n.): koː˗baːb
fire: aːlu
fish: wərgɪtsi
fly (n.): wɛngi
foot: aː\šu
give: taː˗\so
good: ǯeš
grass: matn
hair: saːru
hand: kuču
head: geli
hear: sis˗ɛw
heart: čoːnu
horn: u\sum
house: iː
I: inu
kill: dɛb˗u\so
knee: kolu
know: t\u\s˗ɛw
leaf: aːi
liver: bou
long: šadnɪz
louse: čužu
man: yabu
many: yakɪz
meat: ačku
moon: atsɪm
mountain: t\umu
mouth: edu
name: sɪm(u)
neck: k\umu
new: k\alɪz
night: goːt
one: k\oːy
other: yʊnʊz
rain: dɪɛb
rain: iːru
red: its\uːbʊz
road: k\udu
root: č\wažu
sand: harči
say: gyɛ˗go
seed: bukmu
see: sə˗go
sit: a\l˗o
skin: kutʷ
sleep: so˗\go
small: yasɪz
smoke: č\ubu
snake: čwažu
stand: a\š˗o
star: biːzʲ
stone: nialu
sun: čažʲ
swim: bo\r˗o
tail: č\ɪru
thin: kolɪz
this: aŋgɪn
thou: yetu
three: kaːdu
tongue: yabɪlʷ
tooth: aːžu
tree: ɪnčʲ
two: t\aːgŋ
walk: tə˗\go
warm: k\ɛzɪz
water: aːi
we: inu
wet: k\ɛžuž
what: nakɪ
what: yɪri
white: gːdnɪz
who: iki
woman: koːčɪn
you: iti
