all: malgayayi
and: galimba
and: nabe
and: ŋaba
animal: yiɟa
ankle: guṇḍi
ankle: guṇḍi
arm: ɟalu
arm: murunɟi
arm: n-ɟaḷu
ashes: bulŋo
ashes: buḷŋu
ashes: guṇguṇ
back: maːlir
back: murguɔḍi
back: n-malir
back: n-ɟungu
bad: ŋaiama
bad: wirɟu
bark: n-ɲaḍin
bark: ŋguwur
bark: wiḷaba
bark: yalanu
bark: yulway
because: bigana
belly: guɲan
belly: guɲan
belly: n-ŋanɟa
big: balwayi
big: balwayi
big: ganuganu
big: garagaraɲu
bird: ɹ̣ayi
bird: ṛai
bite: ɟag
bite: gal-ɟinɟi
bite: gal ŋaduliyi
bite: -yay-
bitter: gundaṇḍa
black: wagmin
black: wag(-min)
blood: malawara
blood: ŋuliɟi
blood: ŋuliɟi
blow: bo ama
blow: bo ŋamanɟi
blow: bu
blow: wuy
bone: ŋayigad
bone: n-muliriɲ
bone: (n-)ŋayigan
boy: -agur
boy: nagul
boy: nɟalguyi
boy: walima
branch: guloːgab
branch: n-ɟaḷu
breast: guɲan
breathe: ḍulg
breathe: ŋəṛi ŋaniŋai
breathe: ŋiɹ̣
brother: baba
brother: baba
brother: ḍaŋan
brother: ḷalu-mar
brother: limbili
brother: ndaɟu-
brother: ŋuḷuŋgal
brother: -niriɟa
burn: ɟaḍ
burn: ɟ?aḍ ga(naɟa)
burn: balg ulinma
burn: bu
burn: bumbay
burn: ɟid
burn: marad
burn: wuɲ
burn: wuḍawuɹ̣a
burn: wul
butterfly: baḍbada
butterfly: baḍbaḍa
calf: gaṇgul
cheek: gaḷman
cheek: n-gaḷman
chest: mad̪aŋana
chest: n-maḍaŋar
child: -agur
child: baḍaḍa
child: baḍaḍa
chin: ɟawanda
chin: n-ɟawaṇḍa
cloud: ḍimaḷḍimaḷ
cloud: mala
cloud: maːla
cloud: miɲiriri
cloud: ṇuruṇuru
cloud: yunduyunduwara
cold: ɹ̣a
cold: maḍumaḍu
cold: maḍun
cold: magulmagul
cold: moːr anguĭŋa
come: gabu
come: ya ŋalindi
correct: gaiara
crocodile: baɟaŋi
crocodile: ḍaḍaɟara
crocodile: ḍaḍaiɟaru
crocodile: waḷaɟandama
cut: ɟadba
cut: ɟalg
cut: ḍaɲ
cut: lar ŋaganɟiyi
dark: munun
dark: wag-min
daughter: dalŋadi
daughter: n-ga-ni-ɟa
day: ɲamarɟaŋaŋa
day: guṇaru
day: yamariɟaŋana
day: yawuryawur
die: ŋabaɹ̣
die: ŋabaṛ ŋamanɟi
die: ŋabaṛuma
die: ŋambul ŋaɲi
dig: ɟau ŋamanɟi
dig: ŋur
dirty: gu \ guṛinmin
dirty: wag-min
dog: garuwiri
dog: garwiɹ̣i
drink: guḷ
drink: guḷg ŋaduliyi
dry: bunɟi
dry: bunɟi(wuma)
dust: galagi
dust: yunduyunduwara
ear: gwaḍa
ear: n-guwaḍa
earth: nalwur
earth: ṇalwur
eat: -ɟaḷi
eat: ŋaɟi
egg: (n-)ŋayigan
egg: waṛugu
egg: waɹ̣ugu
egg: wilaba
elbow: ɲaḍin
elbow: murunɟi
elbow: n-murunɟi
emu: guɹ̣iri
emu: ɟinaḷiri
emu: ɟiwid̪iwid̪i
emu: ɟiwiḍiwiḍi
eye: ɟäminɟamin
eye: ɟäminɟamin
eye: maːguṛ
eye: n-ɟaminɟamin
eye: n-maguɹ̣
eye: n-miṇmiṇɟal
face: moguṛ
fall: ḍalag
fall: dala ŋanbu
father: ga-nariɲa
father: nalur
father: ŋaluru
father: wabi-
fat (n.): ŋaiɟba
fat (n.): ŋalɲin
fat (n.): n-ŋaɟba
fat (n.): nɟuma
fear: yaguḷ
fear: yagul ŋaɟu-diyi
fear: yagul ŋáɟuliyi
feather: n-marda
feather: ṛaːman
few: murgu
few: wulmurgu
fight: ŋari
fight: ṛaŋ garigunɟala
finger: ɟarbu
finger: murɟi
fingernail: n-ŋa-ɹ̣aba
fingernail: n-ŋa-ɹ̣inaɹ̣ina
