all: momna
arm: etma
arm: etma
arm: m-ès
arm: m-è:s
arm: mɛs
arm: mɛs
arm: mɛːs
arm: mɛːs
arm: mitma
arm: mitma
arm: mitma
arm: mitma
arm: m-itma
arm: m-itma
arm: titim
arm: titim
arm: titim
ashes: (e)xèmis
ashes: (e)xɛmis
ashes: (e)xɛmis
ashes: hasmin
ashes: hasmin
ashes: hasmin
ashes: maywohka
ashes: maywohka
ashes: maywohka
ashes: maywohka
ashes: maywohka
ashes: maywokha
ashes: m(e)raxfaf
ashes: m(e)raxfaf
ashes: m(e)rax-faf
ashes: mokorum
ashes: mongkoru
ashes: moŋkoru
ashes: moŋkoru
at: skowyta
back: mijhmek
bad: osk(u)a
bark: ofos
bark: oros
belly: m-utkonu
belly: m-utuane
big: eteb
big: etemëmer
big: etev
bird: mem
bird: mem
bird: mem
bird: mèm
bird: mèm
bird: mèm
bird: mèm
bird: mè:m
bird: mɛm
bird: mɛm
bird: mɛm
bird: mɛm
bird: mɛm
bird: mɛm
bird: mɛm
bird: mɛm
bird: mɛːm
bird: mɛːm
bite: mofon
bitter: oska
black: axit
black: axit
black: axit
black: -axt
black: -axt
black: -axt
black: axta
black: axta
black: axta
black: axta
black: axta
black: axta
black: axta
black: axta
black: axt(a)
black: axtuk
black: axtuk
black: axtuk
blood: agof
blood: agof
blood: agof
blood: aguf
blood: aguf
blood: aguf
blood: -axof
blood: -axof
blood: -axof
blood: mokfo
blood: m-(u)fora
blood: m(u)fora
blood: m(u)fora
blood: mugufu
blood: mugufu
blood: mugufu
blood: okguwu
blood: okguwu
blood: okguwu
bone: acfora
bone: acfora
bone: acfora
bone: afar
bone: afar
bone: afar
bone: c(a)fon
bone: c(a)fon
bone: c(a)fon
bone: mofora
bone: mofora
bone: mofora
bone: (m)ogu(e)
bone: (m)oqgu(e)
bone: (m)oqgu(e)
bone: or
bone: or
bone: or
boy: orneteb
boy: redna
branch: efta
branch: esta
branch: ofok
breast: m-ingk
brother: edkuera
brother: edkuesa
burn: ais
burn: musmach
calf: mukom
cassowary: inonsa
cheek: rumnu
chest: m-ingkbesi
chest: m-ingkwesi
child: ebesa
child: efesa
child: ewesa
child: rofrokai
child: rufrokai
chin: m-oxka
chin: m-uxka
cold: eyech
cold: eyej
cold: metayeo
come: bin
come: bin
come: bin
come: bin
come: bin
come: bin
come: bi:n
come: biːn
come: biːn
come: binin
come: binin
come: binin
come: èn
come: ɛn
come: ɛn
come: in-
come: in-
crocodile: mechbemi
cut: mab
dance: mouka
dark: matkobax
day: mona
day: mona
dig: metsme
dog: mes
dog: mes
dog: mes
dog: mès
dog: mès
dog: mɛs
dog: mɛs
dog: mɛs
dog: mɛs
dog: mèt
dog: mɛt
dog: mɛt
dog: mèt(y)
dog: mɛt(y)
dog: mɛt(y)
dog: meyt
dog: meyt
dog: mèyt
drink: (mi-)ch
drink: m-ijhmei
dry: ahahei
dry: ofora
ear: mo
ear: rosu..?
earth: mahtefa
earth: mebi
earth: mebi
earth: mèwi
earth: mèwi
earth: mɛwi
earth: mɛwi
earth: mo:b
earth: moːb
earth: mohtefa
earth: moub ~ moup
