all: ibou-nai
and: bona
animal: manu
ashes: kahu
back: doru-na
bad: dika
bark: kopi
because: badi-na be
belly: boga-na
bird: manu
bite: kori-a
black: korema
blood: rara-na
blow: hiriri-a
bone: turia-na
breast: rata-na
breathe: hahodi
burn: ara-ia
child: natu-na
cloud: ori
cold: keru
come:  mai
correct: maoro
count: duahi-a
cut: iβa-ia
die: mase
dig: ɣei-a
dirty: mai miro-na
dog: sisia
drink: inu-a
dry: kaukau
dull: patutu
dust: kahu
ear: taia-na
earth: tano
empty: asi ani-na
eye: mata-na
fall: ʔəla
far: daudau
father: tama-na
fat (n.): diɣara
fear: gari
few: sisi-na
fingernail: kahau-na
fire: nəŋam
fish: gʷarume
five: ima
float: hure
flow: aru
flower: herahera
fly (v.): roho
fog: ɣinoβa
foot: ae-na
forest: uda
four: hani
frog: raparapa
fruit: au huahua
full: honu
give: heni-a
good: namo
grass: rei
green: Įgirini]
guts: bogaraurau-na
guts: bogaraurau-na
hair: hiu-na
hand: ima-na
head: kʷara-na
hear: kamonai
heart: kudou-na
heavy: metau
he: ia
hit:   kʷadi-a
horn: doa-na
how: ede-heto ede....toma
hunt:  labana
husband: adaβa-na
ice: [ais]
if: bema
I: Iau
in: lalo-nai
kill: ala-ia
knee: tui-na
know: diba
lake: gohu
large: bada
laugh: kiri
leaf: rau
left: lauri
leg: ae-na
lie: he-kure
live: mauri
liver: ase-na
long: lata
louse: utu
man: tau
many: momo
meat: hidio-na
moon: hua
mother: sina-na
mountain: ororo
mouth: udu-na
name: lada
narrow: he-kahi
near: kahira
neck: aio-na
new: matamata
night: hanua-boi
nose: udu baubau-na
old:   guna
one: ta
person: taunimanima
play:  gadara
pull: veri-a
push: dori-a
rain: medu
red: kakakaka
right: idiba
river: sinaβai
road: dala
root: ramu
rope: kʷanau
rotten: bodaɣa
round: kuborukuboru
rub: dahu-a
salt: damrna
sand: miri
say: gʷau
sea: daβara
sea: daβara
seed: uhe
sew: turi-a
sharp: mataka
short: kʷadoɣi
sing: ane abi-a
sit: helai
skin: kopi-na
sky: guba
sleep: mahuta
small: maraɣi
smoke: kʷalahu
smooth: manada-manada
snake: gaigai
some: haida
spit: kanudi
split: ha-parara-ia
stab: gʷada-ia
stand: gini
star: hisiu
stick:  itotohi
straight: maoromaoro
suck: topo-a
sun: dina
tail: iu-na
they: idia
thick: uduna
think: lalo-a
thin: seβera
thou: oi
thou: umui
three: toi
throw: taho-a
tie: ɣui-a
tongue: mala-na
tree: au
turn: ombui
two: rua
vomit: mumuta
warm: siahu
wet: paripari
what: dahaka
when: ede-na-nega-i
which: ede-na
white: kurokuro
who: daika
why: badi-na dahaka
wide: lababa
wife: adaβa-na
wind: lai
wing: hani-na
woman: hahine
worm: biluga
wrong: kerere
year: laɣani
yellow: laboralabora
