and: te
animal: nɔ́˗è
ankle: núbebea
arm: ɓɛ
arm: kwɛ
arrow: ǯɛ˗né
ashes: mbe˗mé
back: hé˗lè
bad: sísí˗gé
bark: koé
belly: ɓú˗lé
belly: ɓú˗lɛ́
belly: yá˗lè
bird: nú˗ê
bite: nɔ́mɔ́˗gé
black: bubu
black: búmbò
blood: zì˗mɛ̀
bone: ɓeɓe
boy: bìàkìàbìà
branch: há
branch: wéhá
breast: ká˗lɛ̀
breathe: wɔ˗gé
brother: ɓɔ́ndɔ˗ge
brother: ǯígbɛ̀˗gè
burn: bi˗gé
burn: ɗé˗gé
calf: sɔlɔ
cheek: ŋgbákɔ˗le
chest: ŋgbà˗gé
child: bia
claw: témè
cloud: lígè
cold: nduɔ˗ge
come: ɓó˗gé
count: tɛ́˗gé
crocodile: ŋgɔ́ndè
cut: dɔ́bɔ́˗gé
day: ɗo
day: kulú˗ge
die: kwí˗gé
die: kwí˗gé
dig: ǯɛ˗gé
dirty: sísí˗gé
dog: ɓíá
drink: ndǯò˗gé
dry: úɔ́˗gé
dust: mbu
earth: bé˗gè
ear: ǯɔmbɔ˗gɛ
eat: zɔ˗gé
egg: ŋgɔ̀zìà˗lè
elbow: čibɛ
eye: laki
eye: lá˗lè
eye: lambakwí
eye: ŋgólìsìvà
face: si
fall: té˗gé
far: dɔ́
father: tá
fat (n.): mó˗mè
fat (n.): mó˗mè
fear: go˗gé
feather: si
fight: gó
fight: go˗gé
finger: kyɔ́˗lɛ́
fingernail: témè
finger: tégɔ˗ne
finger: télè
fire: u
fish: ísò
fish: súsò
five: ɓǔmà
flower: čoá˗nè
flow: ya˗gé
fly (n.): nžánžáe͂̀
fly (v.): ya˗gé
fog: tumbúlu
foot: ɗɔ́˗lè
foot: ɗɔ́ndía
foot: va
forehead: sɛ̀bɛ̀ŋgbà˗nyè
forehead: síɓɛ̀˗lɛ̀
forest: za
four: aŋgbote
fruit: ní˗lɛ̀
full: sí˗gé
full: sísí
girl: bìàǯùbìà
give: ho͂˗gé
good: ɗɔ́bɔ́˗gé
grass: ŋwí˗zè
green: áɓokindá ŋgòmè
hair: si
hand: ɓɛ
hand: kwɛ
head: mbèá˗lè
heart: ǯòá˗nè
heavy: yaó˗gé
here: ànóà
he/she: í
he/she: ndè
hit: ndubɔ́˗gé
hole: kwa
horn: ɗí
how: ɗòáɓà
hunt: kítɛ˗gɛ
husband: kia
in: čí
in: ˗ne
I: nò
kill: kwí˗gé
knee: ŋgbɔ́ndɔ˗le
know: sélɛ́˗gé
lake: mbù˗lé
lake: mbù˗lé
laugh: nye˗gé
leaf: kásà
leg: ɗɔ́˗lè
leg: va
lightning: ŋgbɛŋgbɛ
live: ɗó˗gé
liver: ɓéà
long: gi˗gé
louse: kwe͂́
louse: zɔlɔ
man: kia
man: mbɔ
meat: nɔ̀zɔ̂˗gè
meat: zɔ́˗nɛ̀
moon: hɛ͂̀
morning: gyɔ́˗gè
mother: á˗yà
mountain: gò˗lɛ́
mouth: čí˗gè
mouth: mbɔ̀čɔ́˗lè
name: ɗé˗lè
nape: ŋgátè˗gè
narrow: zínɔ
near: gbíkà
neck: tsɔ˗nɛ
new: gbɔ̀ndɔ̀
new: tɔ̀
night: ɗɔ́lɔ˗ge
not: ɓɛ́
old: ǯígbɛ˗gɛ
one: uma
other: da
person: ndǯùàzû˗gè
play: gí˗gé
push: ndǯuí˗gé
rat: baká
rat: ɗaká
rat: mbándà
red: nzɛ́nɔ̀
river: ɗé
road: kwa
root: kwi
rope: kó
rub: čúmɔ́˗gé
salt: tɔ̀˗mɛ̀
sand: šéà˗nè
say: só˗gé
say: só˗gé
scratch: lɛčɔ́˗gé
seed: mbékɔ́˗lè
see: u͂́˗gé
sew: čuɔ˗gé
short: dúbèà
shoulder: póŋgbò
sing: tɔ́˗gé
sit: bɛnɛ́˗gé
skin: mbà
sky: lí˗gè
sleep: nà˗gé
small: čédɛ́
smoke: ŋgù˗mé
snake: kyá
split: gi˗gé
squeeze: ndǯuí˗gé
stand: lo˗gé
star: hɛ́mɛ˗nɛ
stone: ŋgá
straight: lélé˗gé
suck: lɔ˗gé
sun: ha
sweet: ndè˗gé
swim: dɔ́bɔ́˗gé
tail: sàgɛ́˗lɛ̀
take: tɔ́˗gé
there: zo͂́na
they: ɓɛ́
thick: gbyɔ˗gé
think: kámbá˗gé
thin: lapé˗gé
thorn: àčì
thou: ɗǒ
three: ɓìàlà
throw: ɓɔ́˗gé
thunder: ŋgbɛŋgbɛ
tongue: mí˗nè
tooth: tɛ́
tree: gá˗lɛ̀
two: ɓínɛ́
vomit: ǯi˗gé
walk: ɗɔ˗ge
warm: ɗí˗gé
water: ŋgó˗mè
weep: mí˗mè
we: í
wet: mbɔ˗gé
wet: tsɛ́˗gé
what: nyé
when: yelɔ́lànè
where: ɓa
white: ɓúkó
who: ndá
wide: gbyɔ́˗gé
wife: ǯu
wind: fɛ́fɛ̀˗lɛ̀
wing: fúfò
wipe: mbig˗é
woman: ǯu
wood: ì˗kpɔ́˗lè
worm: ánɔbia
year: u
yellow: alómbò
you: nyà
