arm: káčaːg
arrow: púnaːŋin
bad: waːráːt
belly: pípas
big: áram
black: čin
boy: nápat
breast: píːal
brother: túmaːki
chest: bičeːnč
cold: ačóːaːbet
come: ˗báːnde
daughter: námpaleːn
day: púnaːg
die: čat
dog: úboːs
drink: daː
dry: ákai
ear: kábaːt
eat: dɛ́ːhala
egg: nčɛ́ːnye
elbow: káčyɔːgi
eye: kikási béhɛ͂n
face: kíkas
fall: yɛ́r
father: ásiːn
finger: bípɛːn dekɔ́ːt
fingernail: kaŋkúːaːro
finger: pu koːánye
five: kányan
foot: pušoːánye
forehead: píǯug
four: kubáːkɛr
girl: námpali
good: awáːra
hair: úɛːl
head: béhɛːn
hear: tɛː
house: kátɔ
I: mán
I: ˗ǯi
knee: pičuːhul
laugh: čeː
leaf: íːto
leg: píːwat
lie: pɛ́ːntsa
man: neːnt
moon: púliː
mother: anéːn
mouth: ntu͂ː
new: káwaːlo͂
new: káwaːlo͂
night: bu˗raːm
old: átaːf
one: pulɔːlɛ
play: noːnt
root: íːbuhul
salt: púnaːm
sand: piːei
say: ˗lɛːnt
see: weːn
shoulder: puŋgáːma
sister: tumáːki nyéŋaːt
sit: tɛːf
skin: kátɛl
sky: mbitáːkala
small: tíːɛrš
snake: úkɔːputáːt
son: báǯaŋ
spit: tsɔ
stone: púlaːg
straight: ačɔːl
sun: búnoː
take: čɛːk
thigh: búmbɔːči
three: kuáːnt
throat: puŋgoáːgi
today: ta
tomorrow: faːŋ
tongue: príamd
tooth: íroːmágiː
tree: búkɔː
two: ŋgitáːba
walk: ˗tap
walk: tuk
warm: áːyak
water: ḿleːg
weep: káːha
wet: anyúːau
white: áfaːč
woman: ŋaːt
yesterday: táːkal
