all: wɔkənda
ashes: təːllə
bark: ǯena
belly: kʊnə
big: təlǯin
bird: diːnu
bite: kaɲə
black: ʊlʔʊl
blood: yimgʊ
bone: ʊnə
breast: tʲɛngə
burn: ill
claw: keyyɛn
cloud: pɔlo
cold: lʊlui
come: bɛdi
die: t̪uṇi
dog: gɔŋ
drink: mɔtča
dry: iːyu
ear: ǯitkə
eat: amǯa
egg: kʊm
eye: waŋʊ
father: wegen
fat (n.): čaːŋ
fire: maːnǯʊ
fish: yaku
fly (n.): laŋɲə
foot: kiɛ
give: wwɛngə
good: pweči
grass: luwɔm
hair: ǯei
hand: biyəŋʊ
head: ieɲu
hear: tieŋgya
heart: kiːma
horn: tuwoŋ
I: ʔi
kill: ṇəŋə
know: ur˗kɛndɛ
leaf: ˗ǯitkə
liver: čɛnə
long: bɛbɛːi
louse: ɲəgčan
man: mɛṇṇu
many: čəŋčəŋ
meat: yəŋɔ
moon: paːn
mountain: pʊmʊ
mouth: t̪ukʊ
name: yyɛntʊ
neck: dwɔŋɔ
new: wwɔnɔ
night: ača
one: čɛlɔ
other: gɛŋgə
rain: ɲaːlu
red: t̪it̪id̪ʊ
road: pɔyʊ
root: kerke
sand: ŋɔmʊ
say: gɔkt̪i
seed: pʲeča
see: gɔrčs
sit: čəča
skin: min˗warɛ
sleep: ninkʊ
small: diɛrče
smoke: ǯɛnu
snake: kaŋʊ
stand: yɔːṇə
star: kɛltən
stone: gweyu
sun: ɔŋwaːŋe
swim: ɲei pʲetin
tail: y\ile
thin: bomčin
this: gɛnɔnɔ
thou: eke
three: dəgʊ
tongue: lɛmmʊ
tooth: lɛkʊ
tree: ǯaːnʊ
two: yawə
walk: ʊːti
warm: mɛlčɛn
water: pʰiəgʊ
we: ikin
wet: t̪ɛt̪ɛyʊ
what: genə
white: bɔ˗šin
who: mɛnɛ
woman: ɛŋ
