all: ʔkay
big: wusdiː
bird: wegíd
black: kidík
breast: suːd
cloud: ɲarda
cold: kiri
come: nòrey
cut: ʔkwok
die: ey
dog: wiːs
drink: ǯa
ear: ɲuši
eat: šin
egg: kwɔːbɔ
eye: meše
fire: usugu
fly (n.): niːti
foot: war
give: koŋ
grass: teriː
hand: way
head: ʔureː
heart: ármi
hear: ǯánney
knee: kum
many: owd
meat: iːs
mouth: ʔaːwiː
night: íšè
one: kárre
person: are
road: foːk
say: ʔaŋǯ
see: wɛr
sit: ertír
sleep: ábney
small: tadán
snake: kwɔːba
stand: wùry
stone: ŋòrga
sun: iːri
three: ataye
three: ètte
tongue: laed
tooth: ɲoɲod
tree: kíŋet
two: wírre
walk: nèrey
warm: kèydi
water: kàra
white: aek
woman: i
woman: pl íriŋ
