ashes: nīy
belly: pūṭa
bird: puṭi
bite: kaca
blood: neter
claw: gūr
come: vā-
die: hā-
drink: un-
ear: giy
earth: nēl
eat: tin-
eye: kan
fat: kṛuva
feather: tūku
fish: min
foot: kāl
full(ness): neh-
give: hī-
good: nekran
hand: kiy
hear: ven-
heavy: pik-
horn: kumu
I: ān
knee: menḍe
know: pun-
leaf: āki
liver: ṭṛākeŋ
louse: pen
meat: ūŋge
moon: lēnj
mouth: vay
name: dar
new: pūn
night: nālaŋ
nose: muŋgel
one: ru
say: in-
seed: vīt-
sleep: hunj-
snake: trehe
stand: li-
star: hukeriŋ
this: ī
thou: īn
tooth: pal
tree: mar
two: ri
walk: tāŋ
we (excl.): ām
what: ina
white: ṛinj
who: amnan
wind: ṛiy
woman: āṛ
year: īyuṭ
year: ṛāṭihiŋ
