arm: kafe
ashes: konomboŋ
bark: geʔ
bone: kodeʔ
breast: nɨnok
burn: moda
dog: kʌmoe
ear: du
eat: nʌ
eye: da
fingernail: dinaʔ
fire: kʌdep
foot: kwane
full: motonek
hair: sak
head: kʌi
he/she: ado
I: noɣoʔ
knee: kaŋkariŋ
leaf: sak
leg: kwane
long: biagaŋ
louse: yim
moon: imak
mother: miaŋ
mouth: donɨ
name: utaŋ
neck: kode
new: ait
rain: wilʔ
road: kʌdiminaŋ
sand: yuf
say: ya
sister: ubeʌŋ susuʔ
skin: geʔ
sleep: fa
smoke: kʌdo\oʔ
spit: dep
star: dobɔk
straight: dinda
sun: mɛrɛʔ
thou: goɣoʔ
thou: si
tie: itaŋka
tongue: mimbeaŋ
tooth: mi
warm: gereune
warm: kadep-gok
water: inom
we: ni
wind: yukyuk
wing: fir
