all: dag
and: waːrg
ankle: wiḷḍa
arm: aṛṇḍäṛ
arm: irimíra
ashes: rärgad
back: wurulg
back: wurulg
bad: ŋandir
bark: bulɔwɔr
belly: ɣiwud
belly: ɣiwud
big: biḍawu
bird: baiɟaiɟ
bite: -da
bitter: muraɣaːrgu
black: buluŋɔyi
blood: diɟaːriɟ
blood: diɟaːriɟ
blow: -gubumi
blow: laraŋaryad
bone: aruwa
bone: aruwa
boy: ɣaralg
boy: laban̪
branch: aṛṇḍäṛ
breathe: dalamurd̪amurd̪a
breathe: yaṇalg
brother: mamug
brother: nɔiɟa
burn: biɲanabaraŋi
burn: -gaɲi
butterfly: aragarag
cheek: ɟaːla
chest: ŋabaḍ
child: muŋargɟiːgu
chin: ɟaːla
cloud: ɣaiɟäli
cold: maːin
come: ŋaɟaɣay-
correct: ɟaɟi
crocodile: ɣarmbur
cut: -ŋabuḍagami
dark: nugur
daughter: vaŋin
day: laɣaɟaɟ
day: yuryag
die: duan
die: duan̪
die: -luan
die: yirinbu marŋalg
dig: ŋalŋarwun
dirty: buluŋɔyi
dog: ɣaliɟ
drink: -yinbun
dry: man̪ɟiɟai
ear: ɾomad
earth: wuṛad
eat: -yinbun
egg: lawul
egg: yuṇgu
elbow: mirmun
emu: mangunuba
emu: mangunube
eye: daːḷa
eye: damurbiɟ
eye: damurbiɟ
eye: daːṛa
face: yuɾi
fall: mangaɟaɟuyaiɟ
father: buɲi
fat (n.): murgaiɟ
fear: ŋanaṛad
fear: ŋanaṛad
feather: maɟag
few: yirgaːyi
fight: ɣaːnu
finger: manawiyi
finger: wilud
fire: ɟuːṇa
fire: ɟuːṇa
fish: miːɟu
fly (n.): mɔlg
fly (n.): mɔlg
fly (v.): yid̪iri yiːɾid
fog: maiaid
foot: wilud
forehead: biṛud
forest: ŋaraḍ
full: ma burguyi mambal
full: mambal
girl: margalɟara
girl: yaɣawuḍi
give: -miṛu-
good: lururɔ
grass: wara
hair: birud\
hair: viya
hand: manawiyi
head: waɹ̣i
head: waṛi
hear: -alalgu
hear: ŋaḷagu
heart: mugamuga
heavy: mad̪aṛúwu
he/she: niyad
hit: -wun
hold: -ŋaŋi
hole: banaguyu
house: rambạ̈lg
hunt: gud̪iri wiɟuɟ
husband: yarrarbi
I: ŋaḍa
I: ŋaḍe
kangaroo: wiːɟuɟ
kangaroo: wiːɟud
kill: -wun
knee: aibiḷg
know: -galagwa
lake: malad
laugh: -wiridi
leaf: ŋɔlmumu
left: ɣilaɣan
leg: gungaːbam
lie: ŋuguyan
lightning: ŋangaṇi
lip: lamariala
lip: laːwar
live: ŋabunman
liver: ŋalgiɟ
long: laban̪
long: wulaːrud
louse: minaŋ
man: geiag
man: geiag
many: mele
meat: yala
meat: yala
moon: rana
moon: rana
morning: ŋarwarugu
morning: ŋarwarugu
mosquito: ŋaːḷi
mother: gamu
mountain: muḍu
mountain: muḍu
mouth: ŋaṛyad
mouth: ŋaɹ̣yad
name: gaŋaiɟ
nape: yulɣarva
navel: waṇurɣi
near: mundaiɟ
neck: yulɣarva
new: ɣiniyud
not: yagu
old: ŋalgarayi
old: ŋolgor
one: ṛuga
one: ɹ̣uga
other: yiniru
person: geiag
play: -aŋariɟidaŋa
rain: raːwan
rat: babirgaṛ
red: ṛoduːɾud
right: dalgulad
ripe: rarɣi
river: marɛi
river: mariːyi
road: aḷan
root: mudulundub
rope: baːlar
rope: baːlar
rotten: lawuya
round: magidbulan̪
rub: yanbalbuŋ
sand: wuɣai
say: -lawuɟi
scratch: -dgaiyan
sea: garar
sea: gawudbaḷu maṛimu
seed: duḷmaḷ
see: -lumi
sharp: liṛagu
short: gɔɟawu
shoulder: munbaram
sing: -maŋariɟi
sister: ɟaran
sister: ɟaran
sit: -laiyi
skin: laːɾar
skin: yuguṛan
sky: wiːrid
sleep: iyuɣaid̪
small: ɟiːgu
smell: -wuɟba
smoke: ŋoːḷan
smoke: ŋoḷan
smooth: maguɾan̪
snake: maruɣaiɟ
son: vaŋin
stand: -riɟi
star: wulariɟ
star: yambarbar
stone: ɣaiyaiɟ
stone: ɣaɪyaiɟ
straight: ɟaɟi
suck: ŋawanadaɟu
sun: muɹ̣i
sun: muṛi
sweet: wungu
swim: -waraŋniɟan
tail: marandu
take: -oɣodiri
take: yaŋaba
there: yimargu
they: naɣagiɲa
thigh: yidaŋaṛiala
thin: imalgbagban
think: gaːṛma
thou: niḍi
thou: vanani
three: two gina one
throat: baŋaṛag
throw: -waraŋan
thunder: ŋangaṇi
today: gani
tomorrow: mäɟi
tongue: ŋaṛyad
tongue: ŋaɹ̣yad
tooth: ɣiːyin
tree: ɟuːṇa
turn: -gidburan
turn: -igidbura
two: wuryarg
two: wuryurg
vomit: yiwuɟa
walk: -diri
walk: -diri ma (?)wɛla
walk: -ɟiri
wallaby: wiɟuɟ
warm: gaḷaḷiṛagu
wash: -uguraiyan
wash: yiruguran
wash: yiru gurun
water: ṛamigi
water: wobaiɟ
water: wobaiɟ
weep: -miyariyi-
we (excl.): ŋaḍab
we (incl.): ŋaraŋan
what: ŋundani
when: girini?
where: garaguni
white: galgararyi
who: ŋandani
wife: riɟi
wife: verbi
wind: mayaŋaya
wing: maɟag
woman: ɲunɔn
woman: ɲunɔn
woman: ɲunɔn
wood: ɟuṇe
wood: ɟuːṇe duan
woomera: ŋarawandug
yellow: waiḍbaḍ
yes: ɛ
