all: hansiak
and: tu
animal: [heiwan-e]
ashes: ogo tai-n
back: kaku-n
bad: boho
bark: kau oko-n
because: tu
belly: fuka-n
bird: manu-t
bite: hada
black: mite-t
blood: raha-n
blow: opi
bone: rohi-n
breast: soso-n
breathe: ahe-n
burn: pefa
child: ana-t
cloud: loko-n
cold: b-ridi-n
come: mai
correct: beta
count: hae-k
cut: lata
die: mata
dig: kali
dirty: mite-t
dog: asu
drink: ino
dry: maŋi
dull: dodo-t
dust: kahi-t
ear: etliŋa-n
earth: rahe
egg: telu-n
empty: fuu-n
eye: rama-n
fall: paʔu
far: b-rema-n
father: ama
fat (n.): miηa-η
fear: em-tako
few: ro-roi-n
fingernail: kuku
fire: bana
fish: ika
five: lima
float: edhama
flower: sawe-n
flow: mano
fly (v.): laba-k
fog: dimu
foot: kada-n
forest: mua
four: paa
frog: dole
fruit: fua-n
full: tau-n
give: tuke
good: gosa
grass: mehe-t
green: mua-t
guts: fuka-n wahe-n
guts: fuka-n wahe-n
hair: olo-n folo-n
hand: faha-n
head: olo-n
hear: čaa-n
heart: poso-n fua-n
heavy: beha
he: rine
hit: paha
horn: sodi-n
how: gam doo
hunt: hama
husband: geb-haa
if: eta
in: lale-n
I: yako
kill: ep-mata
knee: enolo-n
know: tewa
lake: tifu
large: haa-t
laugh: mali
leaf: omo-n
left: kaha-nbali
leg: kada-n
lie: naŋa-peʔu-k
live: newe
liver: nena-n
long: rema-t
louse: koto
man: ana-mhana
many: edeme-n
meat: isi-n
moon: fula-n
mother: ina
mountain: fuka
mouth: fifi-n
name: ŋaa-n
narrow: es-ŋapi
near: b-raŋi-n
neck: wadu-n
new: fehu-t
night: beto-n
nose: ŋre-n
old: em-keda
one: em-sia-n
person: geba
play: midi
pull: hesa-k
push: tobe
rain: deka-t
red: miha-t
right: kaha-n wana
river: wae
road: toho-n
root: lahi-n
rope: wahe-t
rotten: mefu-n
round: rm-loli
rub: isa
salt: sasi
sand: ena
say: prepa
sea: masi
sea: masi
seed: kiha-n
sew: sau
sharp: em-tae
short: ture-n
sing: wene
sit: eptea
skin: oko-n
sky: laŋi-t
sleep: bage
small: roi-n
smell: mai-k
smoke: bana fene-n
smooth: em-ribe
snake: i-nеwе-t
some: ro-roi-n
spit: stuha
split: sila
stab: seka
stand: kere-k
star: tolo-t
stick: tabu
suck: rapu
sun: lea
tail: iku-n
they: sira
thick: ef-telo
thin: em-nipi
think: nanu-k
thou: kae
thou: kimi
three: telo
throw: spele
tie: hapu
tongue: maa-n
tree: lahi-n
turn: polo duwe
two: rua
vomit: muta
warm: poto-t
we: ma
wet: wae-t
what: sapa-n
when: pila saa
which: teni-k
white: boti-t
who: sane
why: em-kua
wide: haa-t
wife: fin-haa
wind: moda
wing: pani-n
woman: ana-fina
worm: kalati-k
wrong: sala
year: musu-n
yellow: koni-t
