all: kol
ashes: geṭma
belly: kars(a)
big: rab(ba)
bird: ṣoprīna
bite: neχat
black: okūma
blood: dəmā
bone: germā
breast: sīne
burn: qəlā
cloud: īβ(a)
cold: məsī(yye)
come: aθā
die: mêθ
dog: kalba
drink: šāt
dry: yæbōš(a)
ear: odna
earth: artīβel
eat: aχal
egg: biyya
eye: īn(a)
fat (n.): terbā
feather: pær
fire: nūra
fish: fonīda
fly (v.): pəhar
foot: kerāya
give: ahaβ
good: šbīr(a)
green: yarāqa
hair: manzā
hand: īd(a)
head: rīš(a)
hear: ṣāt
heart: leb(ba)
horn: šāχ
I: an
kill: geṭal
knee: borka
know: qyādī (howā)
leaf: pær al-deraχt
lie: gənā
liver: kaβdā
long: erīχ(ā)
louse: qomolθā
man: gaβrā
many: genzā
meat: besrā
moon: ser(rā)
mountain: ṭōra rabbā
mouth: pom(ma)
name: ešma
neck: foqot(tā)
new: tāze
night: lili
nose: nehīra
not: læ
one: ehdā
person: barnāša
rain: maṭrā
red: somāqa
road: ohor
round: gerd
sand: hāla
say: emar
seed: bāzer
see: hezā
skin: meškā
sleep: genā
smoke: goṭor, goṭrā
stand: qām
star: koχβā
stone: gelāl(t)a
sun: šāmeš
tail: denβa
that: ahā
this: ā
thou: āt
tongue: lišān(a)
tooth: šenna
tree: deraχt
two: trēn
walk: hedar
warm: hamīma
water: mēn(a)
we: enī
what: mo
white: howāra
who: man
woman: eθθa
yellow: zærd
