all: tioʔ-tioʔ
and: ǰo
animal: binataŋ
ashes: abu
back: puŋgu{ə}ŋ
bad: buruəʔ
bark: kuliʔ kayu
because: [karano]
belly: paruyʔ
bird: uŋgeh
bite: gigi?
black: itam
blood: darah
blow: ambuyh
bone: tulaŋ
breast: susu
breathe: aŋoʔ
burn: paŋgaŋ
child: anaʔ
cloud: awan
cold: diŋin
come: dataŋ
correct: bana
count: etoŋ
cut: čatuəʔ
die: mati
dig: gali
dirty: kumuəh
dog: añjiəŋ
drink: minun
dry: kariəŋ
dull: maǰa
dust: abu
ear: taliŋo
earth: [bumi]
egg: taluə
egg: taluə
empty: kosoŋ
eye: mato
fall: rareh
far: ǰauəh
father: bapaʔ
fat (n.): lamaʔ
fear: takuya
few: sa-keteʔ
fingernail: faha-n era-n
fire: api
fish: ikaη
five: limo
float: ma-rapuəŋ
flower: buŋo
flow: ma-iliə
fly (v.): tabaŋ
fog: kabuyʔ
foot: kaki
forest: rimbo
four: ampeʔ
frog: koñčeʔ
fruit: buah
full: panuəh
give: agi{ə}h
good: eloʔ
grass: ɯmpuyʔ
green: iǰaw
guts: paruyʔ-pañǰaŋ
guts: paruyʔ-pañǰaŋ
hair: abu{ə}ʔ
hand: taŋan
head: [kapalo]
hear: daŋa
heart: ǰantu{ə}ŋ
heavy: bareʔ
he: iño
hit: lakaʔ
horn: tandu{ə}ʔ
how: ba-a
hunt: ba-buru
husband: laki
ice: [es]
I: den
if: ǰokoʔ
in: didalam
kill: bunu{ə}h
knee: lutuyʔ
know: tau
lake: danaw
large: gadaŋ
laugh: galaʔ
leaf: daun
left: kida
leg: kakí
lie: ba-goleʔ
live: iduyʔ
liver: ati
long: pad\ǰaŋ
louse: kutu
man: uraŋ laki-laki
many: bañaʔ
meat: dagi{ə}ŋ
moon: bulan
mother: andeh
mountain: gunuəŋ
mouth: araŋ
name: [namo]
narrow: sampiʔ
near: dakeʔ
neck: kudu{ə)ʔ
new: baru
night: malam
nose: idu{ə}ŋ
old: tuo
one: čieʔ
person: uraŋ
play: main
pull: elo
push: tulaʔ
rain: uǰan
red: sirah
right: suoʔ
river: suŋay
road: labu{ə}h
root: ureʔ
rope: tali
rotten: busuəʔ
round: buleʔ
rub: gosoʔ
salt: [garam]
sand: pasi{ə}
say: ba-[kato]
sea: lawiʔ gadaŋ
sea: lawiʔ gadaŋ
seed: [biǰo]
sew: ǰaia
sharp: taǰam
short: pendeʔ
sing: ma-ñañi
sit: dudu{ə}?
skin: kuliʔ
sky: laŋiʔ
sleep: laloʔ
small: keteʔ
smell: idu
smoke: asoʔ
smooth: aluyh
snake: ula
some: sa-keteʔ
spit: ma-liuə
split: balah
stab: tikam
stand: taga7
star: bintaŋ
stick: tuŋkeʔ
suck: mañusu
sun: mato ari
tail: iku{ə}
they:  iño
thick: taba
think: mar-[pikkir]
thin: mipih
thou: aŋ
thou: [kali] an
three: tígo
throw: lantì{ə}ŋ
tie: kabeʔ
tongue: lidah
tooth: gigi
tree: bataŋ
turn: bali{ə}ʔ-an
two: duo
vomit: mutah
warm: aŋeʔ
we: kami
wet: basah
what: apo
when: bilo
which: nan ma
white: putiэh
who: si-apo
why: maŋa
wide: leba
wife: bini
wind: aŋin
wing: sayoʔ
woman: uraŋ padusi
worm: čači{ə}ŋ
wrong: salah
year: taun
yellow: kuniəŋ
