all: aawïnunu
arm: faayu
ashes: waraaga
bark: yaraana
belly: avgwa
big: yaini\
bird: inko
bite: araavanta
black: paare\
blood: taagi
bone: yaanga
breast: aamïgo
burn: tava daigerieri
claw: avevana
cloud: aavgwa
cold: yamga(va)
come: navwiaarï
die: navaago
dog: tayo
drink: inaaga namdï
dry: yaayï\
ear: araa
earth: warïgwarï
eat: n-amda\
egg: m.ge
eye: aagwaai
fat (n.): aawa/m.ge
feather: fave\
fire: ta(vï\)
fish: pe\
fly (v.): aagana\
full: maagwa\
give: namaandï\
good: naagoge\
green: wanaagwei
hair: ndaa(vï\)
head: mïnggaaya
hear: ara andegï
heart: fawa
horn: kampianga
I: n.na/ndo
kill: naav-o\
knee: wamgaya
know: namdïnogara
leaf: (i)wana
leg: avga
lie: ewegï\
liver: bemgai
long: toyaavegi
louse: ye
man: avo/waako
many: taavïraavi
meat: mgawe\
moon: aamnggo
mountain: aai
mouth: maaga
name: ntaga
neck: abdï
new: sanko\
night: mvovïna
nose: hamï
not: fe-
one: fonu\
person: avo
rain: m.na
red: taarai\
road: faai
root: avakï
round: mïmagaai
sand: inamne
say: dï-nandï\
seed: (iga)avgwe
see: woamdegu
sit: omaagï\
skin: yara(na)
sleep: ya wamdï
small: saaigwa\
smoke: umaga(vï\)
stand: erewagu
star: anaaga
stone: andaga
sun: avgwo
swim: avaamdï\
tail: yasinkava
that: aai
this: dade
thou: ndï/ogï
tongue: aabgwa/aavwia
tooth: maaga
tree: iga\
two: faaina
walk: nawaarï
warm: tanne\
water: inaaga
we (incl.): naaitone
what: namape
white: avwa
who: ntaankoga
woman: abaagi
yellow: meraai
