belly: puṛa
big: ḍaṭe
bite: qaswe
claw: orgu
come: bare
die: keye
drink: ōne
ear: qethwu
eat: tinde
eye: qanu
fire: cicu
fish: mīnu
full(ness): ninde
give: ciye
good: neke
hand: qeqe
head: tali
hear: mene
hear: qēge
I: ēn
lie: kōḍe?
louse: pēnu
man: āl-urqe
man: geṇḍa
name: pinje
near: aṭge
new: pune
nose: mun̲yu
not: -l-
one: -ond
one: ort
red: qēso
road: pāwu
say: āne
seed: bīci
seed: goṭa
sleep: qandre
stand: ile
sun: nīṛu
that: ā
this: īh
thou: nīn
tooth: palu
tree: manu
two: iwr
walk: ēke
we (excl.): ēm
we (incl.): nām
what: nē-
white: bilbilre
who: neˊre(h)
worm: pocru
