all: sâsâwâ
and: eme
and: eme
animal: dzomak
arm: me
arm: me
arm: me
ashes: dzafe
ashes: dzafe
ashes: kɔme
ashes: kɔme
ashes: kɔme
back: ngari-
back: ŋari-
bark: mɔdzi
bark: mɔdzɔ
bark: sakiʔ
belly: ata-
belly: ata-
big: yasogo
big: yasogo
bird: wârâ
bird: wɔrɔ
bite: ki-
bite: ki-
black: gâgâwuk
black: gɔgɔwuk
blood: dari-
blood: dari-
blow: pute-
blow: pute-
bone: hiaʔ
bone: siaʔ
bone: siaʔ
bone: siak-
bone: siak-
breast: mong-
breast: moŋ
breast: moŋ-
breast: susu
breast: susu
breathe: naka-
breathe: naka-
brother: kaka-
brother: kaka-
brother: kakaʔ
brother: kakaʔ
brother: kakaʔ
burn: dza
burn: dza
burn: dza
burn: dza-
burn: dza-
claw: yuyung-
claw: yuyuŋ-
cloud: gâweng
cloud: gɔweŋ
cold: mâtengne
cold: mɔteŋne
come: wape-
come: wape-
count: âse-
count: ɔse-
cut: ketikga-
cut: ketikga-
die: kâme-
die: kɔme-
dig: use-
dig: use-
dog: kpodo
dog: kporo
dog: kporo
dog: kporo
dog: kpɔrɔ
dry: dziga-
dry: dziga-
dust: yak
dust: yak
ear: kadze-
ear: kadze-
ear: kadzeʔ
ear: kadzeʔ
ear: kadzeʔ
earth: mâreng
earth: mɔreŋ
eat: na-
eat: na-
eat: nɔ
eat: nɔ
eat: nɔ
eye: dzingâ-
eye: dziŋɔ
eye: dziŋɔ
eye: dziŋɔ-
eye: dzɔŋa
fall: waki-
fall: waki-
father: mam-
father: mama-
fat (n.): widzi-
fat (n.): widzi-
fingernail: hɔrikiʔ
fingernail: sorikiʔ
fingernail: sorikiʔ
fire: dzoʔ
flower: âri-
flower: ɔri-
foot: kiga
foot: kigâ-
foot: kigɔ-
fruit: fâik-
fruit: fɔik-
full: fɔ\ɔʔma-
full: fuse
full: fuse
full: fuse-
full: fuse-
give: nare-
give: nare-
good: fiine
good: fiːne
green: buge
green: buge
hair: dzou
hair: hokɔʔ
hair: kangdzang-
