all: mawr
arm: korau
arm: korox
ashes: timbwe
ashes: timbwo
back: reen
bad: kotof
bad: saf
bark: kwipar
belly: gerer
belly: kerer
big: anep
big: anep/kofe
big: yumto
big: zumbenzumb
bird: udjif
bird: uɟif
bite: imbr
bitter: saf
black: singgu
black: siŋgu
blood: ŋgorom
blood: nggoròm
bone: nggwar
bone: ŋgwar
boy: noanám
branch: kwaragh
breast: yembò
burn: pu
calf: bearo
calf: mpol-mpol
cheek: samà
chest: kule
chest: kura
child: meipur
chin: soar
cold: pwatak
come: umon
come: umon
crocodile: ndelhube
dark: urindzji
daughter: yayu
day: ad
day: raogh
die: yaba-nggu
dig: tembu
dog: koro
dog: kor(r)o
drink: kafra
dry: saka
ear: meregh
ear: murowë
earth: keer
earth: keer
earth: ruwe
eat: kef
eat: kef
egg: vi
egg: vi
elbow: mewer
eye: ayigh
eye: ayix
eye: kind-iput
eye: kind-iput
face: kon
fall: sron
far: timo
father: pari
fat (n.): kober
fingernail: titn
finger: paran
finger: titin
fire: sir
fire: sir
fish: awe
flower: moronggrab
fly (n.): urimbar
fly (v.): mer
foot: nggwar
foot: tegù
foot: togu
forehead: tur
forest: merer
four: ndenadu
fruit: yewì
give: ndzjim
give: nɟim
good: mein
good: mein
guts: erà
guts: pwerè
hair: pu
hair: pu
hand: korogh
head: merao
head: merao
head: mu
hear: nur
heart: won
heavy: rem
heel: tepod
here: tanamba
he/she: nggafi
hit: kui
hit: term ≈ k.s.m. (?)
house: soùr
husband: rimen
I: na
I: na
I: nèga
kill: kwei-term
knee: réèrwo
know: anep
know: raron-nggu
leaf: yarwo
leg: tegu
leg: tombumeyi
lightning: peenòng
live: kayri-nggu
liver: mbur
long: kiriwèn
louse: nemengk
louse: nemeŋk
man: yeghri
man: yexri
many: ociftere
many: usin
meat: mei
moon: mbare
morning: yerpaengk
mother: mam
mountain: kolutprè
mouth: tening
mouth: terogh
name: negh
name: nex
nape: timuk
navel: dekum
near: efreu
neck: wondor
new: nomon
new: nomon
night: mi
night: peeŋk
night: ruoko
nose: kon
old: tamon
old: yurapur
one: sekodu
one: sekodu
one: sukodu
person: puruàm
rain: yavà (?yarà)
rat: tuben
rat: woro
red: pra
ripe: tambayan
river: (e)rur
root: nggon
rope: yer
sand: sa
say: fi
see: if
see: if
short: soòro
shoulder: rudj
sing: mbojo-jojo
sister: muen
sister: nin
sit: mi
sit: öme
skin: par
skin: par
sky: kum
sleep: kufu
sleep: kufu
small: mendzjun
smell: megh-uri
smoke: titar
snake: kaf
son: awòn
spit: kosè
stand: inonngo
stand: nem
star: kerdji
stone: mere
stone: nere
sun: kum
sun: kum
sweet: ndzjom
swim: kwem
tail: bomok
tail: fieru
tail: ŋgui
tail: ngguì
take: abon nggu (?)
take: werm
they: nggamde
thick: zumbe-nzumb
thigh: bagà
thigh: beghè
think: roan-mi
thin: ndaghar
thin: pal-pal
thorn: ban (?)
thou: ka
thou: ka
thou: kie
three: penare
three: pener
throat: aimbangh
throw: ndengg
thunder: ruru
tie: purer
tomorrow: pamnggu
tongue: mberengke
tongue: mrengh
tooth: soraw
tooth: terogh
tooth: terox
tree: kwi
two: yenadu
two: yenadu
vagina: tor
warm: mbi-mbi
wash: yerwu
water: dekà
water: deke
weep: namanggén
weep: namasiro
we: nie
we: niè
wet: debedub
what: aimbèni
white: kwodje
who: aina
wife: nuron
wife: ramon
wind: ofdok
wing: tomof
woman: ramon
wood: kerew
wood: kwi
yesterday: vis
you: kiè
