arm: kafuŋ
ashes: kundufuruŋ
bark: girim
bone: sail
breast: nom
brother: dal
burn: da
dog: sap
ear: pawa
eat: nʌna
eye: dae
fingernail: fider
fire: kudup
foot: kʌda
hair: sɨsa
head: kʌi
he/she: ada
I: noɣo
knee: kʌdatmu
leaf: sɨsa
leg: kʌda
louse: mi
mother: mi͂
mouth: maŋ
name: wow
neck: buwut
new: kubuli
rain: gwi
road: tɛlɛ
sand: ki\iŋ
sister: wi
skin: girim
sleep: dʌmudu
smoke: tafo
spit: maluluk
star: sɔreŋe
straight: didimi
sun: maim
thou: do
thou: si
tongue: mabim
tooth: ma
warm: kundutkawa
water: ime
we: in
wind: fifiŋ
wing: pʌpal
