all: ini
arm: te ~ teri
arm: te ~ teri
arm: te ≈ teri
arm: tò
ashes: kukwa sekeri
ashes: kukwa sekeri
ashes: kukwa sekeri
at: a
at: tee
at: tere
at: ya
back: kaki
bird: má
black: boroga
black: boroga
black: boroga
blood: ɟanɨ
blood: ɟanɨ
blood: djanï
bone: toko
bone: toko
bone: toko
brother: ké
brother: kenee
cassowary: witi
child: meé
come: kati-
come: meiyo
come: meiyo
come: meiyo
cut: bi-
cut: to-
die: kweea-
dog: kwoka
dog: kwoka
dog: kwoka
earth: boóroo
earth: burukwe
earth: burukwe
eat: nowa-
eat: nowa-
eat: nowa-
eat: re(e)-
eat: ru-
egg: magisaga
egg: magisaga
egg: magisaga
eye: otu
eye: otu
fall: reka sire-
fingernail: tewin
fingernail: tewin
fire: kukwa
fire: kukwa
give: kana-
give: kana-
give: sera-
good: kwone
good: kwone
hair: toko-ate
hair: toko-ate
head: memenee
head: toko
head: toko(o)
he/she: mo
he/she: mo
he/she: V-oo
hit: bo-
house: boó
I: -a
I: na
I: nagu
I: nagu
in: bokoo
in: tee
kill: meranee-
kill: o-
leg: idjo-ku
leg: iɟo-ku
louse: amega
louse: amega
man: mogo-mearu
man: mogo-mearu
many: titi
meat: taeé
morning: keera-
morning: keera-
mother: noó
near: booro
night: kwiree-kwiree-
not: mera
not: nà
not: sei
one: outoo
one: rookoò
person: meé aroo
person: nyá
river: ín
road: oto
say: ya-
see: baree-
see: bari-
see: bari-
see: beresini-
sit: bu-
sit: bu-
skin: ke
skin: ke
skin: kè
sleep: mee-
sleep: nono-nono mei-
sleep: nono-nono mei-
small: sooe
snake: ké
stab: to-
stand: takee-
stone: kɨ
stone: kï
sun: eekee
sun: ïkï
sun: ɨkɨ
swim: koo-
tail: eebee
tail: ton.gua bamò
tail: tongua bamɔ
take: kyesini-
take: te(e)-
take: wera-
that: anee
there: kera
there: kooto
they: -era
they: tun
this: me
thou: ko
thou: -o
today: abee
tooth: iɟa
tooth: idja
tooth: yoó
tree: boò
tree: kò
tree: kwo
tree: kwo
turn: tetera-
two: keiyo
walk: be-
walk: bo-
walk: boo-
walk: o-
walk: retoo-
walk: to-
water: ín
water: ingga
water: iŋga
weep: teetee
weep: teetee te-
we: -era
we: in
we: inanuga
we: inanuga
wife: manta
with: keiyoko
woman: nooain
you: -era
you: kun
