ankle: masi-kamaden
arm: ta
arm: ta
arm: ta
arm: to
arrow: pala-dai
arrow: pala-dai
ashes: ku-song
ashes: ku-sung
ashes: ku-sung
ashes: ku-sung
ashes: ku-suŋ
ashes: ku-suŋ
back: alündi
back: arondi
bad: ambrang
bad: kukut
bark: wafung
bark: wapung
belly: anu
belly: anu:
belly: anu(ng)
big: këmbesin
big: kembising
big: mesi
big: mising
big: sansuk kembesing
big: tangtëmbunare
bird: u
bird: u
bird: u
bird: ü
bird: ü
bird: ü
bird: uʔu
bird: uʔu
bite: kupwe
bitter: peti
bitter: peti
black: inggo
black: kuari
black: songko
black: sunggo
black: suŋgo
black: suŋgo
blood: den
blood: den
blood: kin
blood: kin(g)
blood: kiŋ
blood: kiŋ
bone: den
bone: den
bone: den
bone: don
branch: kali
branch: kali
breast: min
breast: min
breast: min
breast: min
breast: min
breast: min manim
breathe: dambunese
brother: aka
brother: dateng
brother: tongkroi
burn: breng
burn: kiewatong
burn: nambet
butterfly: u kambet
butterfly: u-kambod
butterfly: u kambot
calf: masi-nanggom
calf: sia tamba
cassowary: suali
cassowary: suari
chest: bud
chest: but
child: do
child: do
child: donak
chin: ringgen
cloud: ana
cloud: wai
cloud: wau
come: huntung
come: kamënatru
come: kundèi
come: manjene
come: pong
come: poŋ
come: poŋ
crocodile: kaigrum
crocodile: nunggaem
crocodile: nuŋgaem
crocodile: nuŋgaem
cut: kop asing
cut: kope
dance: baguse
day: ku
die: kembong waruk
die: kombong
die: kumbon(g)
dig: waprang emdei
dog: ando
dog: ando
dog: ando
dog: ando
dog: andoʔo
dog: andoʔo
drink: bu dam
drink: bu dame
drink: bu dame
drink: bu dame
drink: dam
dry: anu
dry: arënggatung
dry: arngga
dry: sung
ear: kama
ear: kama
ear: kama
ear: kama
ear: kama
ear: kama
ear: kama
ear: kama
earth: kënan
earth: kənan
earth: kënan-bu
earth: kmanggeng
earth: knan
eat: anime
eat: anime
eat: anime
eat: dam
eat: dam
eat: dame
eat: dame
eat: dame
eat: kutdei
eat: sëmia
egg: sëbi
egg: səbi
egg: səbi
egg: sipi
egg: siti
elbow: ta-bum
elbow: ta-bum
excrement: ame
excrement: ame
eye: namo
eye: namo
eye: namo
eye: namo-den
eye: namo(-den)
eye: nëmu-tëkon
fall: bungdei
far: tab-karang
far: wembre
father: ay
father: ay
fat (n.): bena
fat (n.): bëna
fat (n.): bna
fear: sarap
feather: (u-)dibid
feather: u difit
feather: u dipit
finger: masi-bro
finger: masi-bro
fingernail: "foot-nail
fingernail: masi-on = "hand-nail
fingernail: tam-bro shaon
fingernail: (ta-)won
fingernail: ta-won
fingernail: -won
finger: nanggom
finger: ta inon
finger: tam-bro
finger: tam-bro
fire: kei ini
fire: keisini
fire: kei sini
fire: kei-sini
fire: kei(-sini)
fish: dasi
fish: dasi
fish: dasi
fish: manai
fish: manai
fish: manai
fish: manai
five: tandi
fly (n.): kwalang
fly (n.): kwarang
fly (n.): kwarang
foot: masi
forehead: saong
forehead: saongdon
forest: mama
forest: mama
four: siambrong
fruit: di-den
fruit: sni
full: anu dap
full: anu dap
full: ka yamse
give: ati
give: ati
give: ati
give: eti
good: taob
good: taob
good: taop
good: towop
grass: wung
grass: wung
green: kiki
green: kiki
green: krepik-krepki
guts: kutukon
guts: kutunggon
hair: bete
hair: bete
hair: bëte-rep
hair: bəterep
hair: difit
hair: dipit
hair: pëte-rek
hand: tʌ
hand: ta
hand: ta
hand: ta
hand: tah
head: ikembu
head: ikembu
head: ingkabu
head: saong
head: senot
head: yakambu
head: yekembu
head: yekembu
hear: tup
hear: tup
hear: tup
hear: tup-trei
heavy: arinare
heavy: eli
heel: masi bun
heel: masi pun
here: nggyese
he/she: nëmore
he/she: nmot
he/she: nomot
hit: butarai
hole: pud
hole: pud
hole: put
house: wasib
house: yap
house: yap
house: yap
how: kainyamse
how: senggataika
husband: si
husband: si
I: ka
I: ka
I: ka
I: kat
I: kat
I: kat
in: ku
in: tambuma
kill: bularei
kill: bula-rei
knee: shambum tunggun
knee: siambum
knee: siambum
know: sënung
leaf: dep
leaf: dep
leaf: dep
leaf: dep
left: te-kikandi
leg: masi
leg: masi
leg: masi
leg: masi
lightning: kuirep
lightning: kuirep
lip: sesug
lip: sesuk
live: wali
live: wali
long: walang
long: warang
long: warang
louse: sëna
louse: səna
louse: sna
man: sɪ
man: si
man: si
man: si
man: si
many: mamnare
many: mamnare
moon: bano
moon: bano
moon: bano
moon: banu
morning: kmaning
morning: omble
morning: ombre
mosquito: sen
mosquito: sent
mosquito: sien
mother: inja
mother: nya
mountain: mëndung
mountain: menduŋ
mountain: mndung
mountain: mundung
mouth: dam-pud
mouth: damput
mouth: dam-put
mouth: dam-put
mouth: dam-put
name: siu
name: siu
name: su
name: su
name: sü
navel: musu
navel: musü
near: danggu
near: warmi
neck: susu
neck: susu
neck: susu-den
neck: susu-den
new: konggwot
new: meni
new: nim
new: nim
new: nim
new: snang kpa
new: taop
night: nansing
night: wansing
night: wansing
night: wansiŋ
nose: imbiet
nose: mbied
nose: mbied-put
nose: mbie-put
nose: mbiet
nose: mbiet
not: kafa
not: kefa
not: kpa
not: kwa
old: nale
old: petua
old: soli nale
old: soli petua
old: uali snang
one: kafrai
one: kapray
one: kapray(-tre)
other: soli ngga
person: soli
person: soli
person: soli ~ sori
rain: kusa
rain: kusa
rain: kusa
rain: kusa
rat: asum
rat: asum
rat: asum
rat: asum
red: bom
red: bom-bom
red: (m)bom-bom
right: sëmënandi
ripe: anu
ripe: sëning
river: boto
river: boto
river: bu
road: tap
road: tap
root: (di-)singgyang
root: sindang
root: sinjang
rope: tanggan
rotten: krep
round: arkok
round: kmuk-kmuk
sand: kasëngget
sand: kasnget
sand: kasngget
say: itrai
say: nëmbut (urop)
sea: baip
seed: den
seed: (di-)den
see: (namo) pat
see: namo pat
see: pormatrei
see: porma-trei
see: tot
short: tëmbuto
short: tumbuto
shoulder: yalu
shoulder: yaru
sing: kongatrei
sing: usam
sister: aka
sister: krëman
sister: tongkroi
sit: keitre
sit: kune-sum
sit: sum
