all: poduk
arm: veniŋ
arm: veniŋ
ashes: sa.ebiye
ashes: sa.ebiye
ashes: salle-biyé
back: kadebu
bad: esegi
bark: bal
belly: esenim
big: feli
bird: kele
bird: kele
bird: këlé
bitter: po
black: pedu
black: pədu
black: pədu
blood: hiɟeg
blood: hiɟeg
blood: hiyeg
bone: kedog
bone: kedoq
bone: kedoq
branch: ko-masa
breast: sup
butterfly: kela-wadeb
cheek: yugom
chest: bafiye
child: bowe
chin: edark
cold: pagebi
come: nase
come: nase
come: na-se!
crocodile: udjero
cut: nalano!
day: bele-bela
dog: goung
dog: ŋouŋ
dog: ŋouŋ
drink: na-gëla-k
dry: fu-selo
ear: tëfë
earth: bi
earth: bi
eat: n-agrem!
eat: nagrimi
eat: nagrimi
eat: n-at
egg: begu
egg: begu
elbow: ë-në-sijé
eye: sgol-fun
eye: sgolgun
far: pelus
father: nëma
finger: ënë-tevu
finger: ërë-tevu
fingernail: enegedi
fingernail: ene-gidi
fire: salp
fire: salp
fish: garawag
five: mahat
fly (n.): sabar
foot: ëré
forehead: sadi
forest: mbagere
four: hat
fruit: phung
give: naŋase
give: nangasé
good: ebeli
good: ebeli
hair: edijë
hair: sadie
hair: sa-dije
hand: uning
hand: vening
head: sawag
head: sa-wag
hear: newenifësé!
heavy: mitilje
heavy: ucen
here: basego
he/she: m-
he/she: nik
house: keiik
I: tit
I: tit
kill: nëbëbluse!
knee: re-sifef
leaf: peláh
leg: ere
lightning: jil
lip: idije-fal
live: nosaro
long: fulus
louse: ong
louse: oŋ
man: dli
man: no-dli
many: nagaswok
meat: pege
moon: mo
morning: bijhe
mosquito: wono
mountain: sabo
mouth: idije
name: numhamone
near: fada
neck: mabu
new: bi
new: noifi
night: tedow
night: tedow
nose: erafale
nose: erawadeb
old: bingkok
old: sawom
one: mereh
one: merəh
person: no
rain: hedjin
rat: medji
red: pehe
ripe: gmada
road: kela
root: pere
sand: be
say: narogefisé!
say: n.grofse
see: ləvəse
see: lëvësé!
short: pamog
skin: balg
skin: balg
sky: juk
small: we
smoke: sal-bu
snake: luwijeb
sour: pebi
spit: elogdijë
stab: n-sga-sé
star: tolg
stone: amp
stone: amp
sun: telu
sun: telu
sweet: powas
swim: ndahok-ä
tail: peap
they: mona
they two: bone
thigh: gabat
thou: ?metobou
thou: nagumeré/noritib
three: tëluk
thunder: godru
today: basego
tomorrow: wada
tongue: padeb
tooth: etəla
tooth: étëlá
tree: pelu
tree: pelu
two: telok
two: tëlok (?)
walk: te-tanya
warm: teba
water: këla
water: kəla
weep: s-golijé
we (incl.): tebok
we: papatëbo
we: papetebo
wet: po-gebu
we two (incl.): la aban
we two: la aban
white: seju
wind: moham
wing: pelu
woman: na-ridi
yesterday: jhogo
you: metoboü
you two: nagolo
