and: ɛ́
animal: à˗nɔ́˗ŋgbɔ́
ankle: tízú˗à ŋgaka
arm: à˗bɛ́
arrow: á˗ŋgbàsɔ́
ashes: à˗vu˗kpó
back: à˗zú˗wɔ̀
bad: álɛ̀mbà˗
bark: kùpáŋgbúga
belly: à˗vu˗lò
bird: à˗nú˗ɓɔ
bite: lɔ͂́mà
black: ɓí˗sì˗
blood: à˗kúkú˗ɓɔ́
bone: à˗ŋgáti˗lɔ
boy: wù˗l˗á ŋgbù˗lɔ́
branch: bɛ̀˗y˗à ŋgbúgà
breast: à˗a͂
breast: à˗mámu͂́˗lo͂̀
breathe: wɔ́wà
brother: à˗ɓɛ̂zɔ̀˗lɔ́
brother: à˗ɛ́sí˗ɓɔ́
brother: á˗zùnù˗ɓɔ́
burn: ɗɔ́˗gà
burn: zízì˗gà
calf: á˗kpùà˗ɓɔ
calf: à˗mɛ͂˗ɮɔ
cheek: à˗bakà˗lɔ̀
chest: à˗lísɔ́
child: á˗wù˗lɔ́
chin: à˗kákpɔ́
claw: a˗ŋgísa˗kpɔ̀
cloud: à˗ndù˗lɔ́
cold: à˗zí˗lɔ́
cold: fɔ͂̀l˗
come: dímù˗gà
count: sàyí˗gá
crocodile: àŋgɔ̀ndé
cut: sɛ́pà
day: à˗dɛ̀bá
die: à˗kpíyó
die: kpí˗gà
dig: gɛ˗ga
dirty: bìsír˗
dog: à˗vúnɔ́
drink: ndɔ́˗gà
dry: ús˗
dust: a˗turubo
ear: à˗sí˗wó
earth: à˗sú˗lɔ̀
eat: sú˗gà
egg: à˗pa͂́ló
elbow: à˗ŋgbútùkù˗lɔ́
eye: à˗fá˗lɔ̀
face: yɛ̂fá˗lɔ́
fall: sópáì
far: mùsíká
father: búbà
fat (n.): à˗nzɛ́mɛ́
fat (n.): à˗nzɛ́mɛ́
fear: agombiyo
fear: á˗gɔ́mbìyɔ́
feather: à˗tíŋgbúlánú˗ɓɔ́
fight: à˗í˗wɔ́
fight: kànɔ́
finger: à˗ŋgbɔ́rɔ́˗ɓɔ̀
finger: a˗ŋgísà˗kpɔ́
fingernail: à̀ŋgísa˗kpɔ̀
fingernail: kɔ́rùbàbɛ
fire: á˗wà˗wɔ
fish: à˗mí˗rɔ́
five: nábɛ̀nàbì
flower: á˗fɛ̀lɛ́rɛ̀
flow: ùlú˗gà
fly (n.): à˗ɗú˗ɓɔ́
fly (v.): wúrùbá
fog: á˗ndù˗lɔ́
foot: à˗ɗàlà
foot: àdíndí˗lo
foot: à˗kú˗ló
foot: à˗ŋgáká
foot: à˗pápú˗lɔ̀
forehead: à˗kúmbú˗lɔ́
forest: à˗ŋgɔ͂́wà
four: wɔ̀ná
fruit: á˗lìtì˗lɔ́
full: yi͂́l˗
girl: wù˗l˗à halɔ
give: fú˗gà
good: yɛ˗
grass: á˗kpě
hair: nzɛ̀kpalî˗wó
hand: à˗bɛ́
hand: à˗pápú˗lɔ
head: à˗lí˗wó
hear: gimu˗ga
heart: à˗lí˗mɔ́
heavy: lo͂́fù
here: fíndì
he/she: kɔ́
he/she: ndɛ́
he/she: ɔ́
hit: wówà
hole: à˗dúkɔ́
horn: à˗hɛ˗wɔ
horn: à˗ŋgbɛ́ŋgì˗yó
how: gé
hunt: ka͂́nyà mbá
I: mu͂
in: yɛ́
kill: wómó˗gá
knee: à˗ŋgbú˗kpɔ́
know: háŋ˗gà
laugh: mɔ˗ga
leaf: á˗kpɛ̌
leg: à˗kú˗ló
leg: à˗ŋgáká
lip: sare
live: gúsà
liver: à˗líbá˗lɔ́
long: nzìn˗
louse: à˗lí˗ɓɔ́
louse: á˗ŋvùrùkpɛ̀˗bó
man: à˗kɔ́fɔ́
moon: à˗tímbá
morning: á˗gɛ̀nàgu͂́˗(w)ɔ
mother: nana
mother: nínà
mountain: à˗ga͂́lá
mountain: à˗ga͂́lá
mouth: à˗mú˗wɔ́
name: à˗lí˗mó
nape: kɔ̀rèli˗o
narrow: kìtí˗
navel: à˗kí˗lɔ́
near: pɛ́nɛ̀
neck: à˗mɛ́˗lɔ͂̀
new: fo͂˗
night: a͂̀˗li͂́mɔ́
night: à˗ŋgɔ́tà
not: pítà
old: zi͂́˗
one: ɓɛbú
other: ɓ˗
person: á˗bìyó
play: a˗́kàló
play: á˗kànó
push: su͂́˗à
rat: à˗kúló
rat: à˗súmba
red: ɓolu
river: à˗ɓí˗lɔ́
road: à˗gɛ́nɔ́
root: ŋgàkàŋgbúgà
rope: à˗úwɔ̀
rub: kpínyà
salt: à˗yɛ̀˗mɔ
sand: à˗š˗kpɔ
say: ruku˗ga
say: ruku˗ga
scratch: kpání˗ɛ̀˗tá
seed: à˗lúzú˗kpó
see: ɛ́˗gà
short: zɔ́r˗
shoulder: á˗kàŋgbɔ
sing: fí˗gà
sit: zu˗ga
skin: à˗kúsà
sky: lɛ̀tímu
sleep: lɔ͂˗gà
small: ki͂́ya͂̀
smell: u͂́˗là
smoke: à˗ŋgí˗mɔ
snake: à˗bɔ́˗bɔ́
sour: sîra
spit: à˗turu˗ɗɔ̀
split: hɛ́rìkà
squeeze: kpúsùrù˗gà
stand: yá˗gà
star: à˗nzɛ́kpɛ̀lɛ́˗bɔ́
stone: á˗màtá˗lò
straight: ɗúwà
suck: ɓɔ͂́˗nyà
sun: á˗dɛ̀bá
sweet: à˗fɔ́˗ɓɔ́
swell: àyílɛ̀
tail: à˗ta͂́˗wó
take: ɗí˗(hí)˗gà
take: namú˗gà
there: ɗɛ̀ndí
they: ípò
they: ndìró (inanimØ
thick: míb˗
thin: a͂̌tɛ̀˗
think: wágyà˗gà
thorn: à˗sí˗wɔ́
three: basi
throat: à˗ŋgbɔ́ká
throw: bal˗ga
thunder: à˗yála
tongue: à˗mɛ́˗kpɔ́
tooth: à˗sɛ́˗kpɔ́
tooth: sɛ̀˗kpà ŋgálì˗ɓɔ̀
tree: à˗ŋgbúgà
two: bóì
vomit: zízà
walk: músà
warm: zìzì˗
wash: zɔ́màyì
water: à˗ŋgú˗mɔ́
we: ɛ̀pí
wet: ɓíd˗
what: gɛ́rɛ̀
when: ɗàgbúg̀ tángù
where: fúɗɛ̀
white: fufu˗
who: má
wide: tɔ́kpɔ˗
wind: ˗à˗yá˗rɔ́
wing: à˗mbápɔ́
wipe: sáfà
woman: à˗hǎ˗lɔ́
wood: ɓɛ̀rí˗gɔ̀
worm: á˗sɔ̌nì˗ɓɔ́
year: à˗ga͂́là˗gbɔ́
you: òpú
