all: d\oːko
animal: kɛlɛgé
animal: kɛlɛkí
arm: ɛɓa
arm: ɛɓæːti
arrow: ðalač
ashes: buːr
back: ɓowič\
bad: gɛrðɛ́
bark: mɛlɛːk
belly: keːŋ
big: adɪgɪrr
big: (č)ǎpì
bird: kibalɛtʲ
bite: adaːk
bite: ɗaki
black: kɔːli
black: očoli
blood: biːyeː
blood: ɓiyê
blow: kaɓó
blow: toɓo
bone: amɛ́
bone: amɛn
bone: rɔɛːtʲ
breast: kéðìn
breast: keðìt
breast: keːθ
brother: alaɲit
brother: gɔtɔni
brother: vadɛ
brother: vat
burn: avaːt
burn: kotâ
burn: owat
chest: eyɔ̀
child: dɔl
child: ɗoleč
chin: nyemurèt
claw: fəleyit
cloud: diːð
cloud: ɗîðɔ̀
cloud: ɗíðwá
cold: alal
cold: lɛǯʲu
come: iǯɛ
come: kakun
count: agil
count: kakɛ̂p
cut: atɛt
daughter: ɗoleciŋàč
day: iː
day: iː
day: kɔr
day: kɔr
die: aðai
die: aday˗
dig: kaɗáːlòč
dog: orðé
dog: ɔroθ
dog: ɔrrɔs
drink: awuɗi
drink: wd\e
dry: ɔdɔy
dust: tɔdɔ
ear: itàt
ear: iːtət
earth: tɔɗɔwar
eat: ɗaki
eat: d\awɔ
eat: kaɗui
egg: bro
egg: buro
elbow: lubuli
eye: kɪbereːč
face: ŋum
fall: itya
fall: iya
father: b\ab\aː
father: ɓate
fat (n.): nɔ́rrɔ̀č
fat (n.): wtʲi
fear: koŋolɪ̂
fight: karwónà
finger: komolit
fingernail: falak
fire: goː
fire: gu
fish: kulu
fish: kulugit
five: tur
fly (n.): kiroŋit
fly (v.): okúl
foot: ðɔː
foot: ðoč
forest: kilyač
four: weč
girl: agul
girl: ɗolečiŋàːč
give: ɛnyɛk
give: nya(ndà)
good: abn
good: aɓún
grass: arteːn
grass: ðari
green: čolak
guts: koloktɛ̀
guts: kolotɛ̀č
hair: em
hair: ima
hand: aːðeːtʲ
hand: aðin
head: (h)ɔː
head: ɔː
head: óti
hear: ðeːɔ
hear: kɛðɪ(wɔ̀)
heart: ðinið
heart: nyinɪs
he/she: čení
he/she: čení
he/she: čigin
he/she: čigin
he/she: (ɛčó)
he/she: (ɛčó)
he/she: gi
he/she: gi
he/she: nya
he/she: nya
horn: ɔtɔn
house: čieð
husband: etčimaːči
I: aneːt
I: anet(a)
I: čan
I: nánà
kill: eruk
kill: kətʰ
knee: kɔðɔŋ
know: kaːga
laugh: karar
leaf: itəːt˗
left: či kaŋetit
lie: kataŋu
liver: nyɔː
long: wːn
louse: rrɔyeč
man: eːtʲ
many: mɛleː
meat: idiŋ
moon: nyeːlɔkɔ
mother: yai
mountain: beʲ
mountain: bɛ
mouth: ɔtɔkɔ
name: ðaːr
neck: alem
neck: inya
new: čɔlak
night: baːl
night: b\aliːn
one: adoi
one: čoɗóì
other: uːma
rain: təmʷ támà
rat: muɗêč
red: meri
red: meriːk
right: čaði
river: lel
road: gɔːl
root: agɛrnat
salt: kado
sand: kaðaːč
say: ðɔð
say: ðɔːs
see: ačin
see: čɪn
seed: ləbiːtot
see: ečina
shoulder: lodom
sister: nɔːni
sit: afo
sit: ave avu
skin: rtšyɪːn
skin: ručeːn
sleep: ɔŋ
sleep: taŋu
small: kɪdɪtʲ
small: kideč
small: miliɲ
smoke: brrɛt
snake: kowat
snake: p\aːp\u
son: lɔgoð
spit: kerití
split: pai
stand: abil
stand: katiŋa
stand: tɪŋa
star: mɔɲaɲitoːt
star: moɲaːtɔt
stone: beːy
suck: roit
suck: rɔk
sun: iː
sun: kɔr
sweet: leteč
swim: b\aːyiðɔ
tail: kul
take: ɗúm
that: čo
that: čógó
that: ́ ɛču
that: ničo
they: čígêč
they: negɪ
thin: arabɔk
this: čegi
this: čení
this: ničo
thou: čigun
thou: čúgùn
thou: igeːt
thou: igêt
thou: ineːt
thou: inét
thou: niga
thou: nínà
three: (h)iyu
three: iːyu
tomorrow: tiŋerê
tongue: (h)aːt
tooth: nɪgɪtaːt
tree: kɛtʲ
two: ram
two: rrəmɔ
walk: ako
walk: bɪtɔː
walk: kakûn
walk: owa
walk: to
warm: abrr
warm: abur
wash: atɔɲ
water: mam
we: ageːt
we: agêt
we: čígáǯàk
weep: lu
we: naga(ro)
wet: čəkčəy
wet: čɔkčɔi
what: getaːtθ
what: nya
white: ɔvɔr
white: vɔrr
who: ŋɛnɛn
woman: ŋaː
wood: arima
wood: nyadɔrɛč
yesterday: ɓalawáθ
