all: tukutuk
ashes: romi
belly: irei
big: tein
bird: legei
bite: ˗qau˗
black: kumbu
blood: sogo
bone: mučo
claw: sgilli
cloud: katamboi
cold: demato
come: alehe
come: lɛʔɛ
die: akehet
dog: kwehen
drink: n˗ukha
dry: čeːʔan
ear: nibe
eat: ˗deta
eat: ˗ek˗
egg: kečepošon
eye: ila
far: sɛkɛ
father: pa˗
fire: iku
fish: singiri
fly (n.): esanit
fly (v.): ˗per˗
foot: miǯǯi
give: iːn
good: šobošo͂n
grass: hilet
hair: risit
hand: tegei
head: mitei
heart: ičei
horn: opet
I: kongo
know: čeheno
man: iei
man: sei
meat: iyou
moon: lɛːʔ
moon: lei
name: iši
near: t\aːwatu
neck: točono
one: wɛhɛ
one: we͂het
rain: soho
red: wehen
road: dar
say: okhoi
see: ˗doyia
see: ˗wax˗
sit: a˗kupehem
skin: keshi
sleep: nbomi
small: niʔin
small: tini͂n
snake: murhot
star: eso
stone: tebu
sun: tezo
tail: kidongoi
thou: k˗agu
three: ha͂ːt
tongue: ɛrɛ
tongue: erei
tooth: indʒi͂˗t
tree: keded
two: čei
walk: habi
water: antu
we: k˗ege
we: niːni
white: pokenyei
woman: damatut
you: k˗abu
