all: čɔk
ashes: búr
ashes: dʊm
bad: gerθi
bark: gɔ́ŋwì
belly: kyáŋɔ
big: bwiː
bird: šwái
bite: ́ŋí˗dó
black: kɔrroi
blood: nyáʋà
bone: gíːyè
breast: wáːdì
brother: gwodine
burn: báká
claw: kùliló
cloud: ídò
cold: lælínì
come: kówá
day: kali
die: ɛ́rrá
die: reθ˗
dog: rossò
dog: rrɔ̀ssò
drink: írrá
drink: mat˗
dry: d\órɔ́ːsì
ear: ɲàbíː
eat: baːk˗
eat: báká
egg: bùrrái
eye: kábárí
fall: daːk˗
father: šúːnɛ̀
fat (n.): gɔ́rài
fire: gò
fire: guː
fish: úrrgùssì
five: háːnán
fly (n.): kìrɔ̀ŋɔ̀i
foot: ǯáːri (dul)
forest: gai
four: uwì
four: wuːš
give: aínɛ́á
give: ˗aǯ˗
good: čálì
grass: lǽɲywí
hair: čóre
hair: tsɔ́ːrè
hand: síːrò
head: sàbà
hear: šíkà
heart: hóhùː
he/she: ˗e˗
he/she: ˗e˗
he/she: nene
he/she: nene
he/she: ŋoŋ
he/she: ŋoŋ
hit: rak˗
horn: kɛ̀rrèː
house: dɔri
I: ɛ̵́ì
I: ˗in˗
I: naːno
kill: tə̀ːdà
knee: kɔ́nì
know: ga˗
know: táká
leaf: b\àlógì
leg: ǯaːre
liver: tàrrà
long: ræ̀mài
louse: úɲòi
man: hir amai
man: màì
many: mɛ́ri
meat: àčùk
moon: tàːgi
mother: ǯone
mountain: kùtùn
mouth: tùgò
name: sárá
neck: ŋʊ
new: ŋàŋàčágìː
night: bàró
not: ˗ŋau
one: d\òːnè
one: koːn
person: hiri
person: mai
person: θuwo pl
rain: gwìyɔ̀
red: gɔ̀lɔɲì
river: kido
road: gɔ̀rò
root: kìrìnógì
sand: kǽθái
say: sékéː
see: ar˗
see: árrɛ́
seed: lìbá kábárì
see: or˗
sister: ŋone
sit: íhóbài
skin: érí
sleep: ŋus˗
sleep: túŋá
small: tíːní
smoke: b\úrrí
snake: kɔ̀nùː
stand: šílɔ́
star: muɲiɲi
stone: bɛ́
sun: suː
swim: ðǽní
tail: kùrɔ̀
that: ŋa˗tuni
they: ˗e˗
they: ne
they: yok
thin: b\wɔ̀čá
this: ŋaìnà
this: ŋa˗ta
thou: ì̵è
thou: ìgɛ̀
thou: ˗in˗
thou: nunu
thou: nwi
thou: ˗un˗
three: sìzzì
three: θìzzì
tie: čep˗
tie: čip˗
tongue: kàːyɔ̀
tooth: ɲídaì
tree: kìːò
two: rræ̀màn
walk: óká
warm: bùrɛ́nì
wash: čur
water: mmàː
we: aːgì
we (excl.): nai
we (incl.): nau
we (incl.): nau
we: ˗it˗
wet: lɔ̄tɔ̄gì
what: ɔŋ
white: hɔ́lì
who: aínéi
wife: ŋaː
woman: hìræ̀ŋáhà
