all: moaruŋa
and: be
animal: ŋado
ashes: zepu
back: noʔu
bad: goala
bark: ʔai-ʔusi
because: baʔara
belly: dabuliʔi
bird: maŋ-si-siʔi
bite: ʔarati
black: zimzim
blood: dara
blow: euri
bone: tapou
breast: ruru
breathe: uasa-rape
burn: bulai
child: natu
cloud: oaru
cold: madidi
come: ame
correct: iuia
count: uare
cut: toto
die: mate
dig: ʔeii
dirty: ziʔaziʔa
dog: ʔeu
drink: siŋ
dry: barabara
dull: mata-tagotago
dust: gapu-gapu
earth: ʔateʔa
ear: ʔuŋi
egg: maŋ-patu
empty: ubanaba
eye: mata
fall: gʱaggʱar
far: ʔasauba
father: ί tama
fat (n.): rára
fear: taburi-ra
few: tago-ʔoʔoʔo
fingernail: kukuʔ
fire: eoa
fish: iʔa
five: lima
float: poati
flower: moare
flow: panana
fly (v.): ro
fog: ʔasu-ʔasu
foot: ae-baba
forest: siŋaba
four: oati
frog: ʔidiʔidi
fruit: ʔaliŋo
full: ʔauri
give: ani
good: iauia
grass: siresire
green: ʔarairai
guts: tinae
guts: tinae
hair: doŋa
hand: luma
head: semana
hear: loŋo
heart: babu
heavy: moatubu
he: ŋai
hit: paliti
horn: toŋi
how: baituʔa
hunt: ŋado
husband: roa-moane-ʔa
ice: [aisi]
if: tago-ŋe
I: ŋau
in: ilonalo
kill: uni-be-mate
knee: tuʔu
know: ʔaoa
lake: daŋ-boaʔu-boaʔu
large: biabia
laugh: ao
leaf: dau
left: ege-ŋasi
leg: ae
lie: ales
live: ne iauia
liver: moagemoage
long: salaga
louse: ʔutu
man: moane
many: biataŋa-ʔoʔoʔo
meat: mizaʔa
moon: ʔalea
mother: tina
mountain: buʔu
mouth: aua
name: ara
narrow: bazali-mapala
near: sariŋa
neck: audo
new: uauau
night: oabubu
nose: moagaruŋa
old:   toiraira
one: teʔe
person: tamoata
play: guzui
pull: repe
push: ele
rain: ura
red: daradara
right: ege uana
river: zagura
road: zala
root: ziri
rope: uarige
rotten: moapuru
round: boaʔuboaʔu
rub: ara
salt: maʔasi
sand: lulu
say:  ipile
sea: maʔasi
sea: maʔasi
seed: ʔaŋʔaŋ-patu
sew: ʔalauri
sharp: sagode
short: tuʔura
sing: moasi
sit: soa?iria
skin: ʔusi
sky: laŋ
sleep: eno
small: muʔu-muʔu
smell: boau-iloŋo
smoke: ʔasu
smooth: ʔusi-malazi
snake: moata
some: älu
spit: moŋo
split: sare
stab: naguri
stand: tui
star: goai
stick: siʔa
suck: nono
sun: amari
tail: eʔu
they: di
thick: matoli
think: ilo-ani
thin: manipi
thou: ʔaiʔo
thou: ʔam
three: toli
throw: roʔaʔi
tie: uauri
tongue: meme
tree: ʔai
turn: baga-buiri
two: rua
vomit: ʔulena
warm: ragogo
we: ʔita
wet: tubutubu
what: raʔana
when: aira
which: naŋata
white: uauaua
who: naita
why: baʔaraʔa
wide: pala
wife: roa-aine-ʔa
wind: oasa
wing: bazi
woman: aine
worm: koromʷeh
wrong: giriʔi-emaʔi
year: barasi
yellow: aŋotaŋota
