all: mura
arrow: tayak
bad: gegeyad̪
big: kəy
big: koei
boy: garka
child: mapet
child: moegikaːzi
child: muginakaz
come: bə-
come: uzar
cut: pata-
die: umaŋa
ear: kaura
earth: buːt̪
egg: kakur
eye: dan
eye: purka
fall: pud̪-
far: gar
far: utima gar
fingernail: auar
fire: muikun
fire: muyi
fish: wa(ː)pi
foot: san
good: kapu
hair: ialbup
hair: yalbup
hand: get
here: ina
here: yina
he/she: na
he/she: na
he/she: na
he/she: nad̪
he/she: nan
he/she: nui
he/she: nuid(i)
he/she: nuin
he/she: nuŋu
he/she: nuy
hit: mat̪am
hole: arkat
house: lag
house: muda-
how: mid̪ikid̪
I: ŋai
I: ŋana
I: ŋat
I: ŋau
I: ŋay
kangaroo: wəsar
kill: wutu-
knee: kulu
leg: ngar
leg: ŋar
lightning: pənipan
man: garka(z)
meat: wapi
moon: məlpal
morning: bataiŋa
mother: amal
name: nel
new: kayn
new: kayn
not: giŋa
not: lauŋa
not: lele
not: mabag
one: urapun
one: wurapun
person: mabaig
person: mabayg
road: yabuguḍ
sea: malu
sea: malu
see: im-
sing: napuida-
sit: dada-
sleep: wuṭu-
small: kazi
smoke: tu
star: tituy
stone: kula
stone: kula
straight: puiḍa
sun: gəyga
swim: paur
take: ma-
that: sa-
that: se-
there: sa-
there: se-
there: sena
they: tana
they: tanamun
they two: palai
think: waka-
this: yina
thou: ŋi
thou: ŋi
thou: ŋid
thou: ŋin
thou: ŋin
thou: ŋinu
thou: ŋita
thou: ŋitamun
throw: tayak
thunder: gigi
today: kayb
tomorrow: baŋal
tomorrow: bat̪ayŋa
tooth: daŋ
tree: bup
tree: puːi
tree: puyi
two: ukasar
two: ukasar
walk: tari-
walk: ulayke
walk: uzar
walk: uzar
wallaby: wəsar
water: ŋuki
we (incl.): mura
we (incl.): ŋura
we: ŋura
we two (incl.): ŋaban
we two (incl.): ŋalamun
we two (incl.): ŋalmun
we two (incl.): ŋalpan
we two (incl.): ŋalpan
we two (incl.): ŋoeba
what: mipa
what: miza
white: gamul
who: ŋa
wind: guba
woman: yipka
woman: yoepkaz
wood: bup
wood: puyi
wood: watar
year: wat̪
yesterday: ŋul
you two: ŋipil
you two: ŋipil
you two: ŋɪpen
