all: muːk
ashes: d\uka
bark: šiːʔit
belly: ki\æŋʔ
big: bui˗\tini
bird: šoʲ̌
bite: ani\t˗
black: ko\rɔi
blood: ɲaba
bone: giʔ˗eč
breast: wɛ\dit
burn: gia\m˗
claw: ko\bologit
cloud: hi\di
cold: tu\luk
come: kowa
die: e\r˗
dog: rɔsɔ
drink: i\r˗
dry: romosi
ear: nǎb˗eč
eat: u\s˗
egg: mu\l˗ač
eye: kabar˗eč
father: ba\ba
fat (n.): k\u\da
fire: g(ʷ)oː
fish: k\ayoč
fly (n.): k\esoč
foot: ̰̰̰̰̰̰̰̰ǯar˗eč
give: a\y˗
good: šeʔi
grass: ha\bai
hair: č\ore
hand: sit
head: saɓo
hear: ši˗
heart: ši\ni
horn: k\ɛrǯe
I: a̵i
kill: (h)i\n˗
knee: k\om˗ɛč
know: ta\k˗
leaf: sa\l˗ɛč
liver: tara
long: ramatu
louse: un\čoč
man: mɛʔ(ɛ)n
many: mɛri
meat: a\čuk
moon: tais
mountain: eleʔ
mouth: tuk
name: rɔŋi
neck: k\o\rɔŋ
new: čaʔi
night: bar\keŋʔ
one: k(ʷ)o\naŋ
other: a\yai
rain: tu\mɔ
red: gi\loɲ
road: gʷo\ro
root: kiri\m˗oč
sand: še\ga
say: sewaɲe
see: a\r˗
seed: duʔut
sit: i\w˗abuʔ
skin: gogu
sleep: tuŋu
small: t\iːni
smoke: ŋɔt
snake: kono
stand: te˗
star: to\b˗oč
stone: betɔ
sun: su\sɔ
swim: d\imiti˗\
tail: daʔa
thin: leši
this: dia
thou: edu
thou: i\̵u
three: siːzzi
tongue: kaːt
tooth: niʔi\d˗ač
tree: kɛdo
two: ramaŋ
walk: ogua
warm: gʷoː
water: maː
we: e\da
wet: laːtɛgu
what: aŋ
white: holi
who: an
woman: mo\kač
