arm: kandi
ashes: nombo
bark: kowi
bone: wimbi
breast: susu
brother: pa
burn: tɛ
dog: isa
ear: ɔsumbi
eat: ne
eye: tɔŋi
fingernail: ngawate
fire: te
foot: ki
full: maŋgore
hair: hu
head: kemba
I: no
knee: poto
leaf: kɔmir
leg: ki
long: piru
louse: imi
moon: kɔmbo
mother: nimi
mouth: maŋgo
name: owe
neck: puŋi
new: kɛta
rain: sono
road: ore
sand: sotama
say: yɛ
sister: kuwi
skin: kowi
sleep: ɛtɛ
smoke: wɔro
spit: tutowu
star: tutu
straight: rɔnɛnɛŋ
sun: okisa
thou: ke
thou: ye
tie: kusiya
tongue: mipi
tooth: miti
tree: de
warm: tiwi
water: sono
wind: matu
wing: wire
