and: tê
animal: nɔ́˗ŋgɛ̀
arm: ɓê
arm: i˗kápu˗lɛ
arrow: kokó˗lɛ̀
ashes: mbé˗mè
back: he˗lɛ
back: kámbí
bad: ɛ̀˗sísólí
bark: kwíyɛ̀
belly: ɓú˗lɛ̀
belly: yá˗lɛ̀
bird: nú˗ŋgɛ̀
bite: é˗nɔ́mɔ̂
black: pî
blood: ɓíndâ
bone: ɓéɓê
branch: gawehá
breast: ká˗lɛ̀
breathe: é˗vémánâ
brother: ŋgɔŋgɔ̀
brother: ǯigbè˗gè
burn: e˗déɔ
burn: e˗tovɛ
calf: sɔ̀lɔ̀
cheek: ŋgákpò˗lɛ
chest: ŋgbá˗gɛ̀
child: bíá˗ŋgɛ̀
chin: ɗɔ́kúɗɔ̂
claw: témé˗(h)ɛ̀
cloud: ì˗pátá˗lɛ̀
cold: ɓíɔ́˗lɛ̀
cold: ɓìɔ̀lɛ̀
come: é˗ɗɔ̂
count: è˗tɛ̂
crocodile: kɔ́lì
cut: a˗kélè
day: ɗò˗hɛ̀
day: mbìyɛ̂
die: ɓímbá˗mɛ̀
die: é˗kpíò
dig: e˗ǯɛ̂
dirty: ɛ̀˗sísílì
dog: ɓàlâ
drink: e˗nyɔ̂
dry: ɛ́˗ówɔ̀
dust: dútú˗lɛ̀
earth: tínɔ˗zɛ
ear: ǯɔ̀mbɔ́˗gɛ̀
eat: é˗zɔ̂
egg: kwe˗he
egg: ŋgɔ́há˗lɛ̀
eye: ŋgbakidî
eye: vákwí˗hɛ̀
eye: và˗lɛ̀
fall: é˗téò
far: édɔ́
father: bâ
fat (n.): momó(˗mɛ)
fat (n.): momó(˗mɛ)
fear: e˗gulô
fear: gó˗lɛ̀
feather: kùŋgà
fight: gó
fight: kwi˗ge
fingernail: témé˗(h)ɛ̀
finger: té˗lɛ̀
fire: ílá˗gè
fish: sí˗hɛ̀
five: kàɓé
flower: fùlɛ́lɛ̀
flow: é˗tíndóâ
fly (n.): babû
fly (v.): é˗pimbóà
foot: ì˗lìndígbɔ̀˗gɛ̀
foot: ì˗líndí˗lɛ̀
foot: vâ
forest: zá˗hɛ̀
four: ívíví
fruit: ní˗lɛ̀
full: ɛ̀˗síɔ̀
give: a˗hó
good: é˗mbáha
grass: híá˗hɛ̀
green: ŋgùndá ŋgòmɛ̀
hair: sumá˗hɛ̀
hand: ɓê
