all: ɓɛp
animal: žebitə
ashes: žɛt
bark: hʊp kɪlɪk
belly: lɔə
bird: yaq
bite: ɗɔbɛ
black: suːl
blood: ɲif
blow: fulil
bone: yo
breast: ɓip
burn: tʊkit
child: kəkœ
cloud: ner
cold: sʌs
come: ʔac
count: kin
die: hul
dig: suʲ
dog: ɓʊh
drink: han
dry: su
dust: pənda
ear: nœf
earth: feːi
eat: ɲam
egg: wah
eye: ʔil
fall: keɛn
father: cacʰ
fat (n.): fəžum
fear: neːh
feather: lam
fingernail: cçigilan
fire: kiː
fish: ɟʝin
five: ʔip
fly (v.): pʰun
foot: qɔtʰ
four: ʔiniːl
full: lif
give: žɛt
good: wœn
guts: lil
hair: fɛn
hand: žaʔ
head: ʔaf
hear: kɛlɔx
heart: gumiɔn
hit: labɛ
horn: yit
house: fam
husband: yali
kill: hap
knee: ɗi
know: žuh
laugh: yɛn
leaf: saf
lie: fanɔx
liver: kɛɲ
long: ʔot
long: ʔot
louse: ɗiɲ
man: yal
many: tul
moon: cein
mountain: daŋ
mouth: ɓuk
name: tiː
navel: sʊru
neck: lum
new: has
night: ʔelek
one: žinə
person: ʔɔʷ
play: hegiləʔ
pull: hɛc
push: žeɲ
rain: tɔp
red: lʊːm
river: laːh
road: wal
root: nil
rope: nih
round: mʌlɔŋ
salt: mera
sand: kolɛɲ
say: wʌn
scratch: hɔcçɔx
seed: tisɔx
see: ʔɔt
short: lu
sing: yɛːk
sit: tɔːq
skin: lipfan
sky: suŋkɔ
sleep: nɛʔ
small: žutuʲ
smoke: ɗukə
snake: gɔŋ
spit: ɓɔf
split: ɗat
squeeze: pʰot
stand: kɔlɔx
star: xol
stone: laʔ
suck: ɓaːs
sun: naʔ
swell: hʊfil
swim: nʊr
tail: luq
take: lɔh
three: ʔeo
throw: bac
tongue: pɛrɛm
tooth: sis
tree: kɪlɪk
two: ʔana
vomit: ɓɔt
walk: tilɛ
warm: tam
wash: ɓɔhɔ
wash: xɔs
water: mʊlop
what: ɗiži
white: na
who: ɗiwah
wife: ɓɛlɛɓi
wind: ŋgilao
wing: pap
woman: ɓɛlɛp
wood: kɪlik
year: kil
