arm: nedabit
arrow: ?avel
ashes: mapo
bark: apoto
belly: atum
big: gwok
bird: asue
bird: sowe
bird: tuwe
blood: emep
bone: owaʔ
bone: owak
breast: amu
cloud: o kenaʔ
cold: gweyak
come: lapiki-o
dog: yeŋeh
dog: yengge
dry: buk
ear: eyago
ear: ninie
earth: gweya
earth: gweyak
earth: wonang
eat: nalasu
eat: nënëm-
egg: (sowe-)egen
egg: (tewe-)egen
eye: idi
eye: nëlënggen
eye: ŋelegen
feather: sowe asu
feather: usu
fire: enduk
fire: kan
fly (v.): pututuk nil
foot: iyoʔ
foot: iyok
give: wok-niti
green: ki
hair: menasue
hair: menasue
hair: menasue
hand: igi
hand: neneŋi
head: agotaʔ
head: nanggul
hear: keyago kuli-d
heart: idi
house: yeweh
I: an
kangaroo: besam
kill: wuti
know: alu
know: n-elaluk
leaf: eŋga
lip: emene
louse: pi
man: ap
man: niaŋoh
meat: ino
mountain: napnak
mountain: putom
mouth: emene
name: unu
navel: əmenip
neck: utusuwak
one: ambui
one: misik-et
person: is
person: kwe-ap
rain: ima
road: tula
road: tuʔlaʔ
root: emegen
round: kumuk-gen
salt: mayu
sand: bini
say: kene ʔi
seed: uwi
see: ketegen kai
see: kil yet-kemen!
skin: apoto
small: matiɟ-o
smoke: kule
stand: meni-o
stone: kelip
stone: këlip
stone: ketep
sun: dugi
sun: o-tegen
swim: ŋgumo wari-o
tail: ai
tail: eʔe
that: ati
thou: kat
tongue: mere
tooth: erk
tooth: eyak
tooth: n-eniak
tree: bene
two: pere
walk: wotoki-o
walk: wotoki-o
warm: ebem
water: i
water: i
water: ies
water: yi
we: nis
what: nono
white: lato
who: ta
woman: kwe
woman: wedene
