all: nodei
and: ka
animal: guaŋod
ashes: čekol
back: čō
bad: nia
bark: nenun
because: weno
belly: ete
bird: iaded
bite: kuze
black: ḍiḍi
blood: ḍa
blow: uti
bone: dun
breast: mimi
breathe: n̥on̥o
burn: θenon
child: morowe
cloud: yeʔawe
cold: čeon
come: pina
correct:  seseko
count: ieie
cut: θa
die: net
dig: kin(i)
dirty: eon
dog: pailai
drink: kua
dry: papa
dull: čabaŋ
dust: aerawa
earth: ḍo
ear: wabaiwa
eye: waegogo
fall:  -kapusi
far: iθua
father: čečen
fat (n.): dirič
fear: pareu
few: wakaredo
fingernail: newanin
fire: yabi
fish: waʔie
five: sedoŋ
float: manid
flower: aŋasereie
flow: la
fly (v.): dede
fog: kalekal
foot: wata
forest: wočeḍan
four: eče
fruit: aŋaore
full: punič
give: kano(n)
good: roi
grass: gewoč
green: mečiwe
guts: čereθan
guts: čereθan
hair: direhawo
hand: nin
head: hawo
hear: taeḍeŋi
heart: n̥or
heavy: nure
he: bon
hit: čaʔataŋoni
horn: tutun
how: koiwan(e)
husband: čam̥anien
if: ma
I: inu
in: ri
kill: ataŋoni
knee:  kared(i)
know: ule
lake: gučele
large: m̥a
laugh: n̥uma
leaf: runen
left: ŋoroṇi
leg: tan
lie: θaeti
liver: guat
live: roi
long: iweiai
louse: ote
man: ŋom(e)
many: ačala
meat: guia
moon: čekol
mother: m̥aien
mountain: weč
mouth: yepeh
name: yelen
narrow: waʔami re zaŋan
near: m̥ūla
neck: gureθo
new: kabe
night: riḍi
nose: gupied
old: gumom̥a
one: sa
person: ŋom(e)
play: eleda
pull: uši
push: puze
rain: dua
red: ḍičaḍiča
right: nata
river: karačele
road: len
root: weresereie
rope: n̥awose
rotten: momoč
round: waela
rub: tʰiri
salt: alase
sand: gunin
say: ie
sea: čele
sea: čele
seed: čačawin
sew: yese
sharp: neičie(n)
short: gukokod
sing: eran
sit: meneŋ
skin: nenun
sky: awe
sleep: θaeti
small: waʔami
smell: bo(n)
smoke: kali
smooth: kuarori
snake: une
some: kosoten
spit: kadeu
split: kedi
stand: ser(e)
star: waǰekol
stick: guto
straight: netiti
suck: kuamimì
sun: du
tail: wabun
they: buič
thin: ami
think: nanoa
thou: bo
thou: bun̥iǰ
three: ten
throw: čedon
tie: wose
tongue: čadaneŋoč
tooth: yege
tree: sereie
turn: auleleni
two: rewe
vomit: niǰa
warm: pho
wet: čaibi
what: ŋe
when: oḍael
which: ŋeŋo
white: gada
who: la
why: se ŋe
wide: m̥arezaŋan
wife: m̥enuen
wind: n̥ayeŋo
wing: kataʔad
woman: m̥enew(e)
worm: enid
wrong: giḍo
year: wakoko
yellow: wineḍe
