ashes: ʔɛmo
back: mosalɛ
belly: itɛʔ
big: andage
bird: igʌ
bite: dzɛli
black: dumu
blood: dʌdʌma
bone: olitʰɛʔ
breast: ʔanduʔ
brother: yangʌe
cloud: moli
come: heyɛ
dog: wʌnyʌ
ear: alɛt
earth: yu
eat: namale
egg: ʌßa
emu: ʔaymʌ
eye: lɛdi
father: aßo
fat (n.): gadiyʌ
finger: kʰinšußat
fire: siɛʔ
forehead: onote
four: tuɣumʌdʌ
green: sɛdɛßiŋge
hair: idihi
hand: kiaßɛ
head: ayumbit
heart: ɛnbʌlɪtʰ
he/she: oɣo
house: andaʔ
I: namba
leaf: yoho
leg: kʰingotʰɛ
louse: lema
man: alaɣiʔ
meat: howʌʔ
moon: ana
mother: ama
mountain: adi
mouth: ambulu
neck: masyɛdi
night: iwɛteʔ
not: naßɪt
one: mʌndi
rain: giŋgiʔ
rat: andaßi
red: dadʌma
road: asiɛʔ
root: yongobidiʔ
see: dalɛwɔkʰ
shoulder: oratɛ
sister: imaliŋgeʔ
sit: pʰɪdimail
skin: imbətʰ
small: hoyɛndoßʌgi
smoke: siɛmurut
snake: malußaysi
stand: ʔalamale
star: adʌdʌʔ
stone: ana
sun: naiʔ
tail: ɛrɛʔ
they two: niɛmbʌ
they: φidowa
thou: nimba
thou: yalamba
three: teßoʔ
tongue: gʌdatɪ
tooth: nyɛdiʔ
tree: siɛ
two: laßo
wallaby: amayndzolok
water: ißʌʔ
we (excl.): nanimaʔ
we two (excl.): nalimba
white: hakʰɛʔ
wing: paßʌyčidʌʔ
woman: winyʌ
you two: labo
