all: aioko
and: e
and: e
arm: nümu
arm: nümü
ashes: nubu
ashes: nübu
ashes: nümbu
back: nibu
back: nimbœ ~ nɔtwɔmbœ
back: notwó:n(u)bö
bad: itʰu
bad: itua
bad: itúa
bark: be
bark: mbe-nuŋo-a
because: moⁿdakio
belly: tapólo
belly: tapu
big: ilœpʰi
big: i´lö:pi
big: ilupi
bird: ⁿdoɣe
bird: dœwe
bird: doke
bird: doue
bite: mʷakä
bite: make
bite: ti
black: ibo
black: ibo
black: imblu
black: mbɔ
blood: mœpiœ
blood: mopiu
blood: möpyö
blow: ivei
blow: vio
blow: yuki
bone: adu
bone: andu
bone: uado
branch: lœlaːnuŋɔ
breast: nətʰi nœye
breast: nöti
breathe: niau
brother: miei
brother: miyei
burn: iuole
burn: ivœlä
burn: wolepe
butterfly: mbə ~ mœmbœ
butterfly: mö:bö
child: kalakiso
child: obwa
child: ɔmbia
chin: bwala
cloud: doba
cloud: doba
cloud: ⁿdɔmba
cold: apuo
cold: imya
cold: ipwï
come: vam
come: vïm-
come: vïp-
correct: ikore
count: aki
count: nakiu
crocodile: kakópli
crocodile: kʰakʰɔpli
cut: lapʷœki
cut: mbɔ
cut: piaki
cut: pua
dance: nalea
daughter: opnéy
day: ngale
day: o:bu
day: ɔːmbu
die: bwï
die: ibua
die: mbʷə
dig: ku
dig: nœkʷœ
dirty: ingogo
dirty: onoŋgo
dog: kuli
dog: kuli
dog: kuli
drink: gï
drink: ŋgə
drink: ngu
dry: imiŋa
dry: imingï
dry: ipla
dust: depu
dust: okio
ear: lo
ear: lodóto
ear: lɔndɔtɔ
earth: kotóno
earth: kɔtɔnɔ
earth: mʷeitnɒ
earth: otono
eat: ma
eat: mʷä
eat: nga
eat: ŋa
egg: naimï
egg: na:li
egg: nalitnɒ
egg: neindoɣe
egg: ney
eye: mnï
eye: mnɒ ~ pnɔ
eye: pno
fall: ido
fall: təmʷou
fall: utʰa
far: me
far: mo (?)
father: iyé
fat (n.): nïpnïlu
fat (n.): nœtuanɔ
fat (n.): nötuano
fear: ikola(u)
fear: ikolo
feather: nïplu
feather: nœplü
fight: otai
fingernail: benakö
finger: nayboke nümü
fire: aku
fire: a:ku
fire: aːkʰu
fish: nətʌ͂
fish: nïta
fish: nɒtnɒ
fish: nutnï
five: lʌməf
five: mapnu
five: mö:p(u)m
five: nolü
float: ilambe
flow: lewi
fly (n.): mumʷɔ
fly (n.): mumwo
fly (v.): ilvœ
fog: akambœ
fog: akap-bu
fog: mʷäŋü
fog: mwä:ngü
forehead: pweleuno
forest: pedo
four: lʌfɔ
four: tu-pwo:
fruit: noa
fruit: nɔa nuŋɔ
fruit: nua
full: ilopnu
give: lae
give: laembe
give: lai
give: lai
good: ikotei
good: ikʰotʰei ~ iko
good: ikotéy
grass: laepnu
grass: läp(u)m
grass: lɛpmü
green: iblïng(u)
green: imbiɒŋɒ
guts: bilu
guts: mbeloti
hair: nïplu
hair: nœplü
hair: nöplü
hand: numu
head: nao
head: nao
head: naɔ
head: nau
heart: keleliœ
heart: tabu
hear: ulung
hear: wəlɛ
hear: wö-l´é
heavy: imalue
heavy: imalwe
here: me
here: me
he/she: ⁿde
he/she: ⁿde
he/she: nide
he/she: nide
he/she: niⁿde
he/she: niⁿde
hit: lauta
hit: tabu
hit: tə
hit: tï
hold: male
hold: mwale
house: ma:tu
house: maːtʰu
how: dwai
how: maⁿda kai we
how: -ye
how: yö´kä:
hunt: ŋuma
husband: mwenalu
if: naŋi
I: ni
I: ni
I: ni
in: nike
I: nu
jaw: bwala
kill: inubi
kill: nimbi
knee: nauplɔne
knee: nawplöne
know: ikiau
know: ikyɒu
laugh: iopai
laugh: iopʷai
leaf: lepu
leaf: lepu ~ lɛu
leaf: leu
leaf: lew
left: (ka)mo
left: kanumœ
leg: ne
leg: ne
leg: nï
lie: nɒ
lie: nï
live: ili
live: nelia
liver: oki
liver: ɔki ɛnde
long: ibowi
long: ibowi
long: ibúki
long: imbuki
louse: nawi
louse: nïwi
louse: nœⁿda
louse: nɒwi
man: löpíle
man: nɔⁿde
man: nownh.de
many: iklu
many: iklu
meat: nïtwa
meat: nɒtwa
meat: nɒtwa
moon: təmʷə
moon: te:mwï
morning: mʷaⁿǯiⁿǯi
morning: mwadyídyi
mosquito: mʷaläla
mosquito: mwa-´läla
mother: isé
mother: ite
mother: piye-
mountain: nɛwə
mountain: nowa
mountain: nöwwa
mouth: nabwa
mouth: nabwa
mouth: nambʷa
name: nïtn
name: nɒtnu
narrow: ika
navel: nɔutəmbi ənde
near: (eke)ioviëm
near: yoyam
neck: nuo
neck: nwo
new: nabu
new: nambolu
night: mwi:lo
night: noabu
night: no:bu
night: nɔːmbu
nose: dïtu
nose: dotum
not: toku
old: blïlu
old: lakulœ
old: lakulœ
old: mbialo
one: təte ~ œte
one: tö-ti:
one: tu-te
person: lepmelɒ
person: lïpulï
play: yawe
pull: io
pull: yœ
push: alwo
push: iambu
rain: ipmü
rain: i:pmunh
rain: ipnu
rat: dyapmugu
rat: ⁿǯapuŋge
red: ibla
red: imbia
right: (ka)node
river: mbɔloku͂
road: läpóki
road: lapuki
road: lœpœki
root: lapu(de)
root: nabo
root: nambɔ nuŋɔ
rope: na
rope: naː
rotten: ebwemi
rotten: imbʷemi
rotten: ipuⁿda
rub: kai
rub: opu
sand: ⁿdanɔ
say: pi
say: pi
scratch: noukou
sea: ⁿdakawü
sea: dakáwü
sea: kolam
sea: puala
seed: nwa
seed: ot-
see: mœ
see: mola
see: mɔla
see: ungona
sew: yalu
sharp: imaiyœ
short: ibotu
short: ibótu
short: imbɔtu
shoulder: nabwe
sing: ke
sing: ke
sister: we-
sister: wenï
sit: tuena
sit: uei
sit: wäplɒ
sit: wena
skin: benótu
skin: mbe
sky: bongawë
sky: bongá:wï
sky: mbɔŋawə
sleep: mu
sleep: mu
sleep: tumu ~ mu
small: u:ta
small: uːtʰa
small: utopwa
smell: tnu
smell: wö-tü
smoke: nɒkaku
smoke: oko
smoke: ó:ko
smoke: ɔːkɔ
smooth: malilo
smooth: vuva
snake: numë
snake: nümʷə
snake: nümwa
spit: nïweungani
spit: obuida
split: itaŋalei
squeeze: nœvio
stab: aleku
stand: tuyë
star: pipi
star: pipi
star: pupi
stick: nungo
stone: opia
stone: o:pya
stone: ɔːpya
straight: itumbu
suck: yombu
sun: nepi
sun: nəpi
sun: nö:pi
swell: imbu
swim: yo
tail: nu-glu
tail: nu-gütlu
tail: nüŋgütlu
take: tïya
that: eka
there: ga
there: ŋgɛka
they: ⁿd{
they: nine
they: ningö
they: ningu
thick: imele
thick: ive
thin: imele
think: awœ
think: nanutnia
thin: mboa-
this: eke
this: eke ~ ekä
thou: m
thou: mu
thou: nim
thou: nim
thou: nim
thou: nimu
three: lʌtü
three: tu-tu
three: tü-tü:
throw: oto
thunder: təlika
thunder: tökíla
tie: lavi
tie: lawi
tie: lue
tie: vlï
tie: vulei
tongue: nalambʷe
tongue: na-lapmwë
tongue: na-lapn
tooth: nungu
tooth: nu͂ŋu͂
tooth: nunh.ngunh
tree: no
tree: nungo
tree: nüŋo
turn: alaœ
two: lʌli
two: tu-li
two: tü-li:
vomit: noŋumbao
walk: twa(pn)-
walk: vë
walk: wö
walk: wœ
walk: wœ-n
warm: upu
warm: upu
wash: kurai
water: loknu
water: loku
water: lo:k(u)m
weep: iuni
weep: yœni
we (excl.): ŋg{
we (excl.): niŋg{
we (excl.): niŋgœ
we (incl.): ŋg{
we (incl.): ŋgœ
we (incl.): nidabwe
we (incl.): nidámwe
we (incl.): niŋgɒ
we (incl.): niŋgɒ
we: nimwe
wet: ibu
we two (incl.): niⁿda
we two (incl.): niⁿda
we two: nida
what: ⁿdoei
what: dwai
when: ⁿdœkɛ
when: mwe-likaipu
when: näü
where: iupu
where: meiⁿde
white: lawi
white: upɒ
white: upwa
white: upwë
who: iœkɛ
who: iukae
