all: wɛ
and: a
and: e
and: na
and: χataχa
ankle: ǃnuaša
arm: ǁko͂a͂ša
arrow: ǂaːba
ashes: ǁnumša
ashes: touša
back: ǃkɔri
bad: ǁkɑː
bark: čɔraba
because: ǃaroːn
because: kama
belly: ǀnaːsa
belly: nɑːša
belly: ǃnum
big: kei
bird: čaraba
bite: k\\ɑːɑ
bite: tɑːɑ
black: ǂnuː
blood: ǀausa
blow: ǃgum
blow: šwaba
bone: ǀo͂a͂
breast: biːsa
brother: ǃkwi͂ba
burn: dau
burn: karu
calf: ǁgeː
cheek: ǂɔbiži
chest: ǁgu
chest: ǁxi͂ː
child: ǀkwa
chin: ǃgani
cloud: tuː ǃnaro ǀu͂ǯi
cold: ǂxei
come: hɑː
come: ši
cut: ǂa͂
cut: ǁkau
cut: ǀnii
cut: xam
cut: ǃxan
day: čeːša
day: ǀkamsa
die: kaː
die: ǁoː
dig: čau
dig: ka͂i͂
dog: auko
drink: k\\aː
dry: ǀoː
dust: ǂkeːsa
ear: xumsa
eat: ǂübi
elbow: ǂhuni
eye: ǂxeː
face: k\\eːs
fall: ǀkaua
fall: ǀkei
fall: ǂkheː
far: ǃnuː
father: auba
father: ǁku͂ːba
fat (n.): ǁnwiːba
feather: ǁu͂aba
finger: čou ǀkhɔnu
fingernail: ǁkɔro
finger: ǃnare ǀkɔnu
fire: ǀeːša
five: čou
five: kɔro
flower: ǁaːba
flower: ǁɔreba
flow: ǂna
fly (n.): gəniba
fly (v.): ǁka
fly (v.): ǃxweː
foot: ǁnarə
foot: ǃnwaša
forehead: k\\ɛːba
forest: ǀeːša
forest: hiːba
four: haka
four: ǁxeː
fruit: ǂaːro
fruit: tsare
full: ǁka
full: ǀweːka
give: auː
give: maː
good: ǃka͂i͂
good: to͂i͂
grass: ǀga͂ša
green: ča͂
guts: ǀk\œnša
hair: ǀu͂ː
hand: čou
head: ǃkuša
hear: kum
heart: ǃgausa
heavy: thu
here: ǀniː kwe
here: xɑːa
he/she: ˗ba
he/she: ˗ba
he/she: ˗č
he/she: ˗č
he/she: i
he/she: i
he/she: i
he/she: i
he/she: ˗m
he/she: ˗m
he/she: s
he/she: s
he/she: š
he/she: š
he/she: ˗ša
he/she: ˗ša
he/she: ˗ši
he/she: ˗ši
he/she: xa
he/she: xa
he/she: xa
he/she: xa
he/she: xaba
he/she: xaba
he/she: xam
he/she: xam
he/she: xam˗di
he/she: xam˗di
he/she: xasa
he/she: xasa
he/she: xaːsa
he/she: xaːsa
he/she: xas˗di
he/she: xas˗di
hit: ǁkʌm
hole: k\amša
horn: ǁnaː
house: ǃnuːša
hunt: ǃkai
hunt: ǃxa͂i͂
husband: hoːba
husband: ti kweːba
if: kama
if: ne
I: te
I: ti
I: ti
I: tira
I: tire
kill: ǀku͂
knee: ǃkuru
know: ǂa͂na
laugh: ǃka
leaf: ǂganaba
leaf: ǀxe
leg: ǁnare
leg: ǀo͂aba
lie: ǁgweː
lie: ǂnuː
lightning: tuːša ko tabe
lip: čumba
live: ǁe͂i͂
live: k\we͂
liver: ǁk\e͂i͂sa
long: kei
man: k\au kweba
many: kei
many: keisi
meat: k\ɔxo
moon: ǁnweːba
mother: eiša
mother: ǁku͂ša
mountain: ǃgabiša
mountain: ǃnauʃa
mountain: ǃnoaša
mouth: k\amša
name: ǀkwi͂sa
navel: ǃnum
near: ǀkuː
neck: ǀkauša
new: kaba
new: kɑba
new: ǀkwa
night: ǃgwaba
night: ǀnuːba
old: kei
old: ǀne
old: xai
one: ǀkwi
other: ǀeba
other: ta͂
person: kweba
play: gwa͂ː
play: ǀki
pull: ǂkeː
pull: ǀxo
rain: tuː
red: ǀnuoa
right: k\au
road: dauba
road: dumba
root: kaua
root: ǃnɔro
root: tɔːɔː
rope: ǃgwiːša
rub: ǃkuː
rub: ʢxeːi
salt: dabe
sand: xum˗ša
say: ǃkau
say: k\wi
say: maː
say: miː
say: ǁnai
say: ǁne
seed: ǀne ǀkeːsi
see: m
see: muː
sew: ǃga͂i͂
sew: ǂxe͂i͂
short: ǃgum
short: ǁkum
shoulder: ǁkum
sing: ǁnei
sister: ǃkwi͂sa
sit: ǂnuː
sit: ǃnwa
skin: kɔː
sky: ǃnériːba
sleep: ǁk\um
sleep: ǁk\weː
small: ǀk\are
small: ǀkwa
smoke: ǃkoː
smoke: ǀxɔru
smooth: to
snake: ǃgauːba
snake: ǀkauːba
snow: ǃhou
spit: ǀko͂a͂
spit: ǁk\ui
split: ǁau
split: ǁk\au
squeeze: ǀeri
stand: te
star: ǁgɔnu
stone: ǁnɔ͂aːba
straight: ǃaːsen
straight: ǂguː
suck: čɔre
suck: ǀkum
sweet: danɪša
swell: xa͂i͂
tail: čauba
take: šɛ
take: u
take: ǃxo
that: ǀne
that: xa
there: hanaha
there: ǁna
they: ni
they: ši
they: xaːǁkwa˗di
they: xan
they: xan˗di
they: xaːši
they: xaːšidi
they: xaːǯi
they: ǯi
thigh: te͂ša
thin: ǀk\are
think: ǂi͂
this: ǀne
this: ǀni
this: xa
thou: ča
thou: ča˗di
thou: ša
thou: ša˗di
thou: sas˗di
thou: sa˗ši
thou: sa˗tu
thou: sa˗tu˗di
thou: sa˗ǯi
thou: sa˗ǯi˗di
three: ǃnwɔna
throat: dɔm
throw: auː
thunder: tuːša ko ǁk\waː
thunder: tuːša k\wi
tie: ǂam
tie: ǃkai
tie: xwo͂i͂
today: ǀnaː
tomorrow: ǃkauam
tomorrow: ǃuːka
tongue: dama
tooth: ǁk\ɔ͂ɔ͂
tooth: ǯum
tree: hiːba
turn: ǁkei
two: čʌm
