all: gabul
and: (ŋaiga)nigininɟi
and: yiɲɟi
animal: ɹ̣ay
ankle: ŋoḍogoc
arm: guwanɟad
arm: waɲɟat
arm: wanɟad
ashes: buḷŋuʔ
ashes: gubulŋo
back: bolkoc
back: guɟungo
back: ɟuṇgu
bad: boḍewk
bad: gɔːṛ
bark: gonogowo ð
bark: gula
bark: yaḷkic
belly: guwar
belly: guwar
belly: ɟiŋ
belly: worʔ
big: guḷagaḷ
big: ŋolko(ŋaɲin)
big: ŋɔllgɔ
bird: ɟerk
bird: ŋalbuṛ
bite: be-
bite: -bɛbɛ
bitter: balggin
black: ŋoliyi
black: ŋuḷyiʔ
blood: gurac
blood: guraiɟ
blood: ma-guraiɟ
blow: -bobo
blow: -ɟuruwɛn
bone: maɹ̣aka
bone: ŋaɹ̣aga
bone: ŋaṛaga
boy: bandari
boy: boɹ̣yi
boy: miṛibara
branch: gubɛl\
breast: ɟeŋe
breathe: -ŋɛṛ\
brother: buypu
brother: gaka
brother: gaka
brother: nubuibu
brother: nugoga
burn: ḍulʔ-ga-
burn: -gudulgga-
burn: ṇe-
burn: ɹ̣u-
burn: wire gaguru\ru
butterfly: baṭbaḍa
butterfly: buṇba
calf: yalka
cheek: dagal
chest: bere
chest: gubɛrɛ
child: miɹ̣para
child: miribara
child: wɛlɛŋɛ
chin: guɟawarag
chin: ɹ̣oŋ
cloud: gunɔŋ
cloud: guṇuŋ
cold: -gŭɟäl
cold: guʔɟelʔ
come: -rabuɲi
correct: ŋinma\
crocodile: naŋguru
crocodile: ṇaŋguru
cut: ḍac-ga-
cut: -daiɟ
cut: ḍerk-
cut: rodaiɟ
dark: gugɔnmɔgŋɔn
dark: muṇun
daughter: ɟugɛ
day: ɟaiɟabaraŋ
day: gaigubur
die: ɲaɹ̣ʔ-
die: ɲaṛ\min
die: ɲaṛ\min
die: -wɛṛiwɛ\ga-
dig: buriɲʔ-
dig: ŋurumʔ-
dig: -(ɟɔlg)gugaḍan
dig: yilk-bu
dirty: guɟalggɔlɔɾɛw
dog: gaɟaʔ
dog: gaiɟa
drink: weʔ-ŋu-
drink: -wɛ\ŋun
dry: -gaburg-
dry: gapuɹ̣k
dry: weɹ̣ʔdak
ear: ganam
ear: ganam
earth: guɟɔlggɔ
earth: ɟolko
eat: -ŋu-
eat: ŋu-
egg: -lambag
egg: ḷambak
egg: ŋalbuṛ
egg: ŋalpoɹ̣
elbow: gubɔn
elbow: waḷmor
emu: ŋurundɔiɟ
emu: ŋurundɔiɟ
emu: ŋuruṇḍuc
eye: ɟamin
eye: ɟamin
eye: ŋanɟula
eye: ŋanɟula
face: ŋanɟula
face: ɹ̣oŋ
face: walama
fall: ḷer-
fall: ŋoɹ̣ʔ-
fall: -ŋwɔr\-
far: gakeŋ
father: mokol
father: numɔgɔl
fat (n.): mina
fat (n.): minaʔ
fear: -geːyanmin
fear: -geːyanmin
fear: ŋeɹ̣ʔbarʔ-
feather: buḷuk
few: buruyar\mɔḷg
fight: -buɟi-
finger: guɲamaŋ
finger: guŋarin
fingernail: biṇiɲ
fire: guŋwɛ
fire: guŋwɛː
fire: ŋoy
fish: ɟeɲ
fish: ɟɛɲ
flower: ŋoro
fly (n.): bɔd
fly (n.): bɔd
fly (v.): -burugalu
fog: guyuyu
fog: yimiliʔ
foot: ɲamaŋ
foot: guɲamaŋ
forehead: walama
forehead: walama
forest: gubɔd
full: ɟalawarca
full: burkaɟi
full: goɹ̣ci-
full: -miligɔṛiɟɔ
full: ŋɔlgaɟumaŋa
girl: mariɲ
girl: ɟu(marin)
girl: ɟumiṛibara
give: -wɔ-
give: wu-
good: ma(ː)ʔ
good: maː
grass: ṇoco
grass: wɔrɔ
green: wolobɛl ŋoliyi
guts: moɹ̣moɹ̣
guts: ŋoʔ
hair: ɹ̣alʔ
hair: ɹ̣awʔ
hair: mural
hand: guŋarin
hand: maɹ̣ɟi
head: mira
head: miːra
head: miːra
hear: -babanara
hear: -babanara
hear: banar-
hear: banar-
hear: ɟeṭ-ɟa-
heart: guŋɛṛ
heart: ŋeɹ̣ʔ
heavy: -ŋud
here: goʔye
he/she: ɟiɲɟaʔ
he/she: ɟiɲɟaṇiʔ-yiʔ
he/she: -ŋoɟi
he/she: niɲɟaʔ
he/she: ṇiɲɟaṇiʔ-yiʔ
he/she: -ṇowi
hit: -baɟɛ
hit: bu-
hold: -mɔd
hold: mụʔ-
hole: gubaḍeyeleːyi
hole: yele
horn: guṇḍaɹ̣oro
house: guɟulban
house: guwambi
hunt: ɟaŋ-ga-
hunt: -raban-
husband: gopo
husband: nugɔbbɔ
I: naiga
I: ŋaikaʔ
I: ŋaykaṇiʔ-yiʔ
I: -ŋini
jaw: ɹ̣eyʔme
kangaroo: goɲ
kangaroo: goːin
kangaroo: guin̪
kill: bu-
kill: -maṛɛ
knee: gubɔn
knee: muḍuḍuʔ-ɟa-
know: burʔ-ṇa-
know: -gɔyi
lake: laŋga
laugh: -wag
laugh: wak-
leaf: beḷŋʔ
leaf: gubɛl\
left: bala-ɟaku
left: balabɔɾɛw
leg: ɟarpic
leg: gaṇḍa
leg: gugurgur
lie: -ɟɔŋguarmiɟan
lightning: mai\
lightning: min
lip: guɟaːla
live: -dura
live: ṇa-
liver: guɟiwi
long: geŋgeŋ
long: giyaŋ
long: ilunɟa
long: wiriɟiʔ
louse: meɹ̣k
louse: mumid
man: bigur
man: bigur
many: buruyara
many: waḷamanʔ
many: yarʔ
meat: ɟaŋgu
meat: ɟaŋgu
meat: ɹ̣ay
meat: gudaŋgu-
moon: gurŋa
moon: gurŋa
morning: guɟɔḍɔḷ
morning: munamuniɲu
morning: ɟoḍowʔ-
mosquito: baḍi
mosquito: baṭiʔ
mother: manaŋ
mother: ɟumanaŋ
mountain: biṇ
mountain: gala
mountain: gubiṇ
mountain: gubiṇ
