arm: kir
ashes: nʌmbum
bark: git
bone: kat
bone: kudar
breast: mom
brother: kuyaŋ
burn: dʌ
dog: sap
ear: du
eat: na
fingernail: fen
fire: kʌdʌp
foot: kayoŋ
full: lokŋalokŋa
hair: ambun
head: ke\e
he/she: ŋandik
I: nʌk
knee: mundʌn
leaf: sese
leg: kayoŋ
long: kolmiŋ
louse: sɔgum
moon: ŋəmʌk
mother: miŋ
mouth: mɛ
name: wup
neck: bukŋan
new: kayak
rain: naŋgi
road: kadit
sand: ŋofuŋ
say: ra
sister: kuyaŋ lahep
skin: git
sleep: fa
smoke: kadigi
spit: dip
star: saunak
straight: lutʌmgeʌk
sun: nʌma
thou: gʌk
thou: si
tie: lusupmʌ
tongue: membim
tooth: me
tree: kadap
warm: kʌdʌp-tuan
water: ŋʌmi
we: ni
wind: gufu
wing: fur
