ashes: paw-kawque
back: daduck-quack
bad: mattitt
belly: nut-ah!
bird: piss-seeques
black: oaskag-u
blood: puck-cuchque
bone: whis-scan
breast: noo-naque
child: awauntet
cloud: matchkatquot
cold: tagh!quiow
correct: ko-o-lam
die: ungue-lack
dog: al!um
drink: minnih
dry: kow-kitt-ow-a
ear: nuch-tow-huck
earth: ahkee
eat: meetsee
egg: waawhq
eye: nucks-skenceqūah
fall: ah-kinnitsish
far: wachschuit
father: nowoze
fat (n.): pim
fear: quischa-asch
fingernail: nuck-can sump
fire: tunt
fish: wammass
five: nup-pai-a
four: yaguh
freeze: togh!poh!
good: wee-ee
grass: mass-que-quise
green: ah!skaah-tuck-qui-a
guts: walah-kiss-sisk
hair: nee-eesquat
hand: nut-untz
head: neelahammon
hear: no-oan-tum
husband: nups-soh!soh!
ice: hah!laggu-quutz
I: nee
kill: nepoickt-tow
leg: much-cat
lie: cow-si-nee
live: ne quee-quaaawk
long: quah!!nah!!!qut
man: wohacki
meat: pumantah
moon: atupquonihaque
mother: nicque
mountain: pomat-tinike
mouth: huntowey
narrow: tsipais-u
near: pechtschtscu
neck: nissi-kip-puchqh!
new: whuis-kai-u
night: toopquow
nose: nick-kee-u
old: kutt-a-nai-u
one: nukquit
rain: winieow
red: psquai-u
river: pamptuckquahʼ
salt: tzee-e-oose
sand: loh!-ki
sea: mank-nippint
see: naa-m-m
sing: nuck-und-oh
sit: qui-ah-quup
skin: nowas-sium
sky: moosecaquit
sleep: n-upp
small: lamaisu
smell: ne quees-sum-un
smoke: p-simoi
snake: ash-quoke
snow: qūoono
stand: dogh-kinch
star: poomolasuque
stone: kawscup
straight: lemat-tahʼ-quot
sun: ah-quak
that: you-kan-nah
there: ennuk
thick: kee-puck-an
thin: ah-shee-penz-o
this: you-kan-nah
thou: kee
three: nis (whu)
tongue: neeannow-ah!
tooth: beeput-tumps
tree: petuicque
two: na-eez
walk: n-gutt-o-was
water: nip
wet: kiss-ep pai-u
white: waap-pay-u
wife: nee-eeswah!
woman: acquahique
year: nuquolacutquomai
yellow: wee-sa-way-u
