arm: kafɔŋ
ashes: kudufuruŋ
bark: git
bone: kitir
breast: nom
brother: dar
burn: da
dog: kamo
ear: magi
eat: na
eye: dau
fingernail: fider
fingernail: fir
fire: kudip
foot: kayoŋ
full: toko
hair: dumu
head: mebi
he/she: adi
I: nu
knee: muŋ
leaf: sap
leg: kayoŋ
long: kwehiyaniŋ
louse: tumun
mother: miŋ
mouth: maŋ
name: wow
neck: kodi
new: kaepmoŋ
rain: gwi
road: talɛk
sand: kiŋ
say: ya
sister: wiwi
skin: git
sleep: fara
smoke: kuduge
spit: merit
star: sina tarama
straight: didimɛniŋ
sun: mɛlɛ
thou: du
thou: he
tie: tibikerite
tongue: mambam
tooth: maŋ
warm: kudut
water: imi
we: in
wind: gufut
wing: papal
