all: akina
and: dash
animal: awakaan
ashes: bingwi
at: wenipazh
back: -pikwan-
bad: maji-
bark: wanagek
because: onji-
belly: -misad-
big: gichi-
bird: bineshiinh
bite: dakwam
black: makade-
blood: miskwi
blow: boodaazh
bone: -kan-
breast: -dppdppshim-
breathe: bagidanaamo
burn: zakide
child: abinoojiinh
cloud: aanakwad
cold: dakaagami-
come: bi-izhaa
correct: gwayak
count: agindaaso
cut: giizhkizhige
day: giizhig
die: nibo
dig: nandwaanikaadan
dirty: wiinad
dog: animosh
drink: minikwe
dry: baaso
dull: ashiwaa
dust: wiiyagasenh
ear: -tawag-
earth: aki
eat: wiisini
egg: waawan
eye: shkiinzhigw-
fall: bangishin
far: waasa
father: -baabaay-
fat (n.): wiinin
fear: goshi
feather: miigwan
few: bangii
fight: miigaaso
fingernail: -shkanzhy-
fire: ishkode
fish: giigoonh
five: naanan
float: agomo
flower: waabigwan
flow: izhijiwan
fly (v.): babaamibide
fog: awan
foot: -zid-
four: niiwin
freeze: mashkawadin
full: mooshkine
give: miiN-
good: mino-
grass: mashkosiw
green: ozhaawashko-
guts: bagojiin
hair: -iinisiz-
hand: -ninjy-
head: -shtigwaan-
hear: noondan
heart: -de-
heavy: gozigwan
here: omaa
he: wiin
hit: bakiteigaade
hold: dakonan
horn: eshkan
how: aanin
hunt: giiwose
husband: -naabem-
ice: mikwan
if: giishpin
in: biinde
I: niin
kill: nishi
knee: -gidigw-
know: gikenim
lake: zaagaigan
laugh: baapi
leaf: aniibiish
left: namanjinik
leg: -kaad-
lie: gawishimo
live: bimaadizi
liver: -kon-
long: ginoozi
louse: ikwa
man: inini
many: niibowa
meat: wiiyaas
moon: dibik-giizis
mother: -maamaay-
mountain: wajiw
mouth: -doon-
name: izhinikaade
narrow: agaasadeyaa
near: besho
neck: -kwegan-
new: oshki-
night: dibikad
nose: -jaanzh-
not: gaawiin
old: gete-
one: bezhig
other: agaamayiii
person: anishinaabe
play: odamino
pull: wiikobidoon
push: gaandinam
rain: gimiwan
red: misko-
right: gichinik
river: ziibi
road: miikana
root: ojiibik
rope: biiminakwaan
rotten: bigishkanad
round: waawiyeyaa
rub: zinigonen
salt: zhiiwitaagan
sand: bingwi
say: ikido
scratch: jiichiigii
sea: gichigami
seed: miinikaan
see: waabi
sew: gashkigwaaso
sharp: giinaa
short: dakoozi
sing: nagamo
sit: namadabi
skin: zhagaay
sky: giizhig
sleep: nibaa
small: agaasaa
smell: biijimaam
smoke: bakwene
smooth: zhooshkozi
snake: ginebig
snow: goon
some: aanind
spit: ziko
split: daashkaa
squeeze: maagobizh
stab: bazhibaan
stand: niibawi
star: anang
stick: mitig
stone: asin
straight: gwayak
suck: wiikwamo
sun: giizis
swell: baagishi
swim: bagizo
tail: -zow-
that: a-aw
there: imaa
they: wiinawaa
thick: gipagaa
thin: bibagaa
think: maaminonendam
this: wa-aw
three: niswi
throw: apagidan
tie: dakobidoon
tongue: -denaniw-
tooth: -iibid-
tree: mitig
turn: biimiskonen
two: niizh
vomit: zhigagowe
walk: bimose
warm: abaagamide
wash: giziibiiginan
water: nibi
we: niinawind
wet: nibiiwan
what: wegonen
when: apii
where: aandi
white: waabishki
who: awenen
wide: mangadeyaa
wife: -wiidigemaagan-
wind: noodin
wing: ningwiigan
wipe: giziinan
with: wiiji-
woman: ikwe
worm: moose
year: gikinoonowin
yellow: ozaawi-
you: giin
